pathway,pval,padj,log2err,ES,NES,size,leadingEdge,collection,padj_percollection,padj_joint
REACTOME_CHONDROITIN_SULFATE_DERMATAN_SULFATE_METABOLISM,0.881048387096774,0.91156662942091,0.0518457624865066,-0.217776449160344,-0.729203759731414,35,CSPG4;IDS;BCAN;CHST12;UST,Reactome,0.91156662942091,0.91639778474951
GOBP_LENS_MORPHOGENESIS_IN_CAMERA_TYPE_EYE,0.881048387096774,0.91833944751686,0.0518457624865066,0.228608793614138,0.671288586105778,20,LCTL;TDRD7;SHROOM2,GO:BP,0.91833944751686,0.91639778474951
GOBP_CELL_ADHESION_MOLECULE_PRODUCTION,0.881287726358149,0.91839259536703,0.0517405459873163,0.272822857246393,0.665924568433224,10,FUT7;PPIA,GO:BP,0.91839259536703,0.916499639686644
REACTOME_DOWNREGULATION_OF_TGF_BETA_RECEPTOR_SIGNALING,0.882,0.911864559819413,0.0514264916187015,0.222914429379657,0.68572990331774,26,PPP1CC;USP15;PPP1CA;UCHL5;STRAP;UBA52;UBB;XPO1;TGFBR1;TGFB1;MTMR4,Reactome,0.911864559819413,0.917093213540831
GOBP_REGULATION_OF_RETINOIC_ACID_RECEPTOR_SIGNALING_PATHWAY,0.882235528942116,0.919183854513196,0.0513223330421143,0.254229650680948,0.666438573947264,13,TRIM16;EZH2;CALR,GO:BP,0.919183854513196,0.917190962956986
GOBP_IRE1_MEDIATED_UNFOLDED_PROTEIN_RESPONSE,0.882956878850103,0.919738889398227,0.0525898950623616,0.224663304764564,0.685094062121185,23,COPS5;BAX;HSPA5;ZBTB8OS;RTCB;UFL1;DDRGK1;BAK1;ERN1;PTPN1;DNAJC10;XBP1;FICD;TMEM33,GO:BP,0.919738889398227,0.917793669900163
REACTOME_SYNTHESIS_OF_PC,0.883168316831683,0.912385915283258,0.0509082865515105,0.221674529733736,0.689245163721206,27,CSNK2B;SLC44A2;CHKB;STARD7;LPCAT1,Reactome,0.912385915283258,0.917855699210495
GOBP_REGULATION_OF_MODIFICATION_OF_POSTSYNAPTIC_STRUCTURE,0.883299798792757,0.919899576871739,0.0516355964484201,0.271870518157958,0.663600034474196,10,EGLN1;BAIAP2;CYFIP1,GO:BP,0.919899576871739,0.917855699210495
GOBP_P_BODY_ASSEMBLY,0.883495145631068,0.919906540699784,0.0499913914024592,-0.224166312654771,-0.688721387561371,23,NBDY;EIF4ENIF1;LIMD1;TNRC6A;ATXN2;EDC3;DYNC1H1;CNOT6L;PAN3,GO:BP,0.919906540699784,0.917911516324936
GOBP_POSITIVE_REGULATION_OF_CELL_FATE_COMMITMENT,0.883858267716535,0.9200041428565,0.0506004243853618,0.266740029153352,0.672017500327355,11,IL23A;IL12RB1;OPA1;IL12B,GO:BP,0.9200041428565,0.918106607703127
GOBP_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_MEDIATED_BY_A_CHEMICAL_SIGNAL,0.883966244725738,0.9200041428565,0.05378728077603,0.211936004538212,0.750412519738583,46,REN;SLC2A5,GO:BP,0.9200041428565,0.918106607703127
GOBP_REGULATION_OF_CELL_FATE_COMMITMENT,0.884210526315789,0.92006199878698,0.0536769600638127,0.207578986585665,0.722804498858361,42,LOXL3;MTA2;MBD3;GATAD2A;IL23A;IL12RB1;OPA1;TBX21;HDAC1;JAK3,GO:BP,0.92006199878698,0.91821317433947
GOBP_CELLULAR_RESPONSE_TO_UV_A,0.885148514851485,0.920422320704611,0.0508054139066364,-0.273318495176853,-0.66750521627553,10,CERS1,GO:BP,0.920422320704611,0.918745599736143
GOBP_MAINTENANCE_OF_PROTEIN_LOCALIZATION_IN_ENDOPLASMIC_RETICULUM,0.885148514851485,0.920422320704611,0.0508054139066364,-0.272866800194238,-0.666402075571985,10,INSIG2;INSIG1,GO:BP,0.920422320704611,0.918745599736143
GOBP_RESPIRATORY_CHAIN_COMPLEX_III_ASSEMBLY,0.885148514851485,0.920422320704611,0.0508054139066364,-0.274145076387978,-0.669523913435942,10,LYRM7;TTC19;UQCC2,GO:BP,0.920422320704611,0.918745599736143
GOBP_RESPONSE_TO_NITROSATIVE_STRESS,0.885311871227364,0.920422320704611,0.051530912208539,0.271376904584349,0.662395188922413,10,ATG5;PARK7;STOX1;ADH5,GO:BP,0.920422320704611,0.918768012397846
REACTOME_RHO_GTPASES_ACTIVATE_PKNS,0.88560157790927,0.913034518597275,0.0506004243853618,0.219440802983444,0.712678351135987,32,CDC25C;YWHAB;RAC1;MYH9;YWHAE;MYL12B;KDM1A;YWHAZ;RHOA;SFN;YWHAH;YWHAQ;MYL6,Reactome,0.913034518597275,0.918921522002879
REACTOME_NPAS4_REGULATES_EXPRESSION_OF_TARGET_GENES,0.885826771653543,0.913034518597275,0.0504983044100709,-0.253551620657776,-0.691359801215132,16,ARNT;RET;BDNF;ARNT2;MAPK1;CREBBP,Reactome,0.913034518597275,0.919008052999298
REACTOME_TRP_CHANNELS,0.886274509803922,0.913034518597275,0.0502948063662358,0.223997012396012,0.66005673446742,22,MCOLN2;TRPV3;MLKL;RIPK3,Reactome,0.913034518597275,0.919325399814215
REACTOME_TBC_RABGAPS,0.886454183266932,0.913034518597275,0.051011413203915,0.207039994623849,0.724272948590978,44,RAB5A;RABGEF1;RAB11A;RAB35;RAB8A;TBC1D3;RAB7A;RAB6A;TBC1D2;RAB33A,Reactome,0.913034518597275,0.919364628220993
GOBP_ESTABLISHMENT_OF_EPITHELIAL_CELL_POLARITY,0.886756238003839,0.92156862745098,0.0492917662312669,-0.214485986694765,-0.686933244596443,28,HES1;SYNE4;CAMSAP3;OPHN1;SIPA1L3;MYO9A;TTC8;LAMA1;CYTH3,GO:BP,0.92156862745098,0.919421194495673
GOBP_POSITIVE_REGULATION_OF_PROTEIN_TRANSPORT,0.886792452830189,0.92156862745098,0.048505983646947,-0.178350549143083,-0.843288744375222,216,B3GAT3;MYRIP;ASPH;TGFB2;SYTL4;VAMP2;WLS;AACS;PIK3R1;SEC31A;APOE;OSBP;PLA2G6;ABAT;ZDHHC2;CHP2;IRS2;SORL1;CHRM1;EFNA5;SIRT3;ANG;SOX4;GNAS;CD81;PRKD1;EFCAB7;APBB1;TCF7L2;PPM1A,GO:BP,0.92156862745098,0.919421194495673
GOBP_MODIFICATION_OF_SYNAPTIC_STRUCTURE,0.88715953307393,0.921728067596032,0.0498907356726307,-0.207130845004412,-0.700401702665737,35,RHOB;FILIP1;PFN2;DLGAP4;AMOT;DIXDC1;CTTNBP2;AGAP1;DRD1;SARM1;ARHGAP44;ABL1;SPTB;PGRMC1;ZDHHC17;REST;WASF3;ITSN1,GO:BP,0.921728067596032,0.919654659925166
GOBP_ASPARTATE_TRANSMEMBRANE_TRANSPORT,0.887323943661972,0.921728067596032,0.0514264916187015,0.233408352904554,0.669223992117106,18,SLC1A1;LRRC8D;SLC25A13;LRRC8B;SLC1A3,GO:BP,0.921728067596032,0.91967799118395
GOBP_ATRIAL_CARDIAC_MUSCLE_TISSUE_DEVELOPMENT,0.888,0.922037478705281,0.0511147954416412,-0.239637919061279,-0.674643812580336,17,GATA6;CACNA1G;TBX18;SHOX2;PITX2;WNT2;PROX1;TBX3;NOG;BMP4,GO:BP,0.922037478705281,0.920084412470024
GOBP_NEGATIVE_REGULATION_OF_ENDOPLASMIC_RETICULUM_UNFOLDED_PROTEIN_RESPONSE,0.887983706720978,0.922037478705281,0.0519512476197082,0.229234734125502,0.681747588120878,21,ATAD3A;HSPA5;NCK1;NCK2;UFL1;DDRGK1;AKT2;PTPN1;PPP1R15B;XBP1,GO:BP,0.922037478705281,0.920084412470024
GOBP_CELLULAR_RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN,0.889830508474576,0.923544818927636,0.0536769600638127,0.184109558753683,0.794417208875506,118,FUT1;PARP8;EIF2AK2;MANF;ABCB10;SHISA5;STAT3;ATAD3A;EIF2S1;COPS5;BAX;HSPA5;CUL3;PTPN2;ERO1A;ZBTB8OS;YOD1;TMED2;RTCB;RNF7;NCK1;DAXX;DERL1;VCP,GO:BP,0.923544818927636,0.921686355349805
GOBP_COLLAGEN_METABOLIC_PROCESS,0.889748549323018,0.923544818927636,0.0494904866135495,-0.190741133972241,-0.776865513945887,91,TMPRSS6;RGCC;LARP6;KLF15;TNS2,GO:BP,0.923544818927636,0.921686355349805
GOBP_REGULATION_OF_DENDRITIC_SPINE_MAINTENANCE,0.890438247011952,0.923978908795548,0.0508054139066364,-0.250859584026771,-0.651104408858522,12,APOE;NEDD9;ZNF804A,GO:BP,0.923978908795548,0.922168468981218
GOBP_MIRNA_MEDIATED_GENE_SILENCING_BY_MRNA_DESTABILIZATION,0.891348088531187,0.924726229718738,0.0512184348540341,0.269986620567613,0.659001689223782,10,CNOT7;MIR130B,GO:BP,0.924726229718738,0.922963246807896
GOBP_REGULATION_OF_CALCIUM_MEDIATED_SIGNALING,0.891682785299807,0.924876677541344,0.0493910105981501,-0.191080236951685,-0.768010458629717,83,ERBB3;PDK2;LRRK2;RGN;MYH7B;EDN2;CHP2;NEUROD2;ATP2B4;TMEM100;MAPT;AKAP5;GSK3B;PPP3CC;PPP3CB;NFAT5,GO:BP,0.924876677541344,0.923162321330359
GOBP_REGULATION_OF_CILIUM_MOVEMENT,0.891891891891892,0.924896823663306,0.0526973085708419,0.214502322470281,0.684696421459354,28,KIF9;TEX101;CFAP45,GO:BP,0.924896823663306,0.923231329077041
GOBP_ATP_TRANSPORT,0.892494929006085,0.925001536961734,0.051530912208539,-0.24748403817603,-0.682629949963867,16,ANKH;SLC25A42,GO:BP,0.925001536961734,0.923482473639213
GOBP_LAMELLIPODIUM_ORGANIZATION,0.892561983471074,0.925001536961734,0.0523759084097997,0.191840460355826,0.776106126311764,86,NUP85;HSP90AA1;ARPC2;CD44;MYO9B;CDC42;ABI1;CAPZB;RAC1;ARHGEF4;CYFIP1;BRK1;BIN3;FSCN1;RAC2;NCK1;CFL1;CTTN;ACTR2;TWF1;NCK2;CORO1B;ACTR3;VAV2;EPHA2;LIMA1;ARFIP2;CCDC88A;CARMIL2;WAS,GO:BP,0.925001536961734,0.923482473639213
GOBP_NEGATIVE_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_BIOSYNTHETIC_PROCESS,0.892494929006085,0.925001536961734,0.051530912208539,-0.247485175529751,-0.682633087102403,16,CA3;SLC18A2;PPARA,GO:BP,0.925001536961734,0.923482473639213
GOBP_ESTABLISHMENT_OR_MAINTENANCE_OF_MONOPOLAR_CELL_POLARITY,0.893203883495146,0.925470067131817,0.0494904866135495,-0.221444799896111,-0.680359899070025,23,SYNE4;CAMSAP3;OPHN1;MYO9A;MAP1B;TTC8;LAMA1,GO:BP,0.925470067131817,0.923999101186279
GOBP_ER_NUCLEUS_SIGNALING_PATHWAY,0.893877551020408,0.925971306304549,0.0517405459873163,0.203239676215209,0.744724899707447,53,ARMC5;MANF;TMCO1;ATAD3A;EIF2S1;HSPA5;PTPN2;TMED2;NCK1,GO:BP,0.925971306304549,0.924548421347473
GOBP_CELLULAR_RESPONSE_TO_NUTRIENT,0.894514767932489,0.926434581231694,0.0532386494755899,0.205431596198381,0.720603484450073,44,CSNK1A1;PIM1;RPS6KB1;SNAI2;USF1;CYP27B1;CDKN2B;PRMT1;GPRIN3;GDAP1,GO:BP,0.926434581231694,0.925059870906409
REACTOME_LOSS_OF_FUNCTION_OF_MECP2_IN_RETT_SYNDROME,0.894736842105263,0.920875221762271,0.0513223330421143,0.253601546764729,0.657668199257861,13,CALM1;GPS2;HDAC1;CAMK4;HDAC3,Reactome,0.920875221762271,0.925141907097034
REACTOME_REGULATION_OF_CDH11_FUNCTION,0.895491803278689,0.920962378521645,0.0518457624865066,0.265787904998121,0.656245259611635,11,CDH24;ADAM19;JUP,Reactome,0.920962378521645,0.925627173373075
GOBP_ZYMOSTEROL_METABOLIC_PROCESS,0.895372233400402,0.927125718849089,0.051011413203915,-0.240112556332562,-0.648035422208727,14,LSS;MSMO1;MVD;PMVK;IDI1;HSD17B7;MVK;FDPS,GO:BP,0.927125718849089,0.925627173373075
GOBP_ENDOCYTOSIS_INVOLVED_IN_VIRAL_ENTRY_INTO_HOST_CELL,0.896761133603239,0.928366727696262,0.0512184348540341,-0.257813575774239,-0.644453587764356,11,TPCN1;TPCN2;EPS15;CAV1;PIKFYVE;CAV2,GO:BP,0.928366727696262,0.926791405977131
