pathway,pval,padj,log2err,ES,NES,size,leadingEdge,collection
GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS,1.85011186143374e-26,2.25019855146879e-23,1.33449749081658,0.483460087808553,2.49941315195547,481,ADAR;PRPF4;TSR1;SNRPA1;ERAL1;WDR43;ERI1;ABCF1;EMG1;CLNS1A;RUVBL1;DIMT1;NOLC1;BRIX1;PNO1;ABT1;NIP7;NOP2;SNIP1;DDX20;RIOK3;NOL11;WDR3;RPL7L1;NOP58;TGS1;ISG20;SNRPD1;EFTUD2;ERI2,GO:BP
GOBP_POSITIVE_REGULATION_OF_DEFENSE_RESPONSE,4.52527893314687e-26,4.4030964019519e-23,1.32671609800481,0.483596552964315,2.49946264851666,480,CCR7;IL17A;S100A12;IDO1;TNIP3;SYK;CD28;OAS1;FFAR2;LAG3;NMI;PARP9;GBP2;LTF;SH2D1A;MMP12;GBP5;GBP1;NOD2;S100A8;PTPN22;IL18RAP;IFI16;TRIM15;PYDC1;LGALS9;IFIH1;NLRX1;TNF;CTSS,GO:BP
GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION,2.28979409732771e-25,1.85664138058322e-22,1.30309315086572,0.490799909100095,2.5306600750538,455,CCR7;IL17A;HMOX1;IL36A;IDO1;SYK;CD28;OAS1;IL19;CXCL17;BCL3;FFAR2;STAT1;LTB;PTPRC;OAS2;MMP12;NOS2;GBP5;NOD2;PTPN22;IL18RAP;IFI16;TRIM15;IL36G;PSMB8;PYDC1;LGALS9;ITK;IFIH1,GO:BP
GOBP_ADAPTIVE_IMMUNE_RESPONSE,5.40172606734101e-25,3.754199616802e-22,1.29512308741004,0.486875457111494,2.50922237013238,449,IL17A;IL7R;SYK;CXCL13;CD28;BCL3;MYO1G;PTPRC;LAG3;SH2D1A;NOD2;THEMIS;TRAC;IL18RAP;IL2RG;RAB27A;PSMB8;LGALS9;ITK;TNF;CTSS;MCOLN2;HSPD1;FCRLB;CD247;TLR8;FUT7;IL12RB1;KLRK1;RSAD2,GO:BP
GOBP_CHROMOSOME_SEGREGATION,1.31986669597772e-24,8.02643934491454e-22,1.28710367230144,0.502255717940836,2.54725573457176,407,NDEL1;FANCD2;PRC1;HAUS8;MAD2L1;ZWILCH;LCMT1;CCNB2;KIF23;AURKA;CENPN;KPNB1;NDC1;MIS12;CCNB1;AURKB;NCAPH;KIF22;ANKRD31;CDC6;UBE2C;RCC1;NUSAP1;CENPA;CDCA8;PTTG1;MYBL2;NUP37;BIRC5;TUBGCP5,GO:BP
GOBP_HOMOPHILIC_CELL_CELL_ADHESION,7.94180880528947e-24,4.29298887085925e-21,1.26273988547916,-0.646422950803647,-2.82874982682368,160,PCDHB9;PCDHB2;PCDHB4;PCDHB3;PCDHAC1;CDH10;PCDHB12;CLSTN1;PCDHB5;PCDHA7;PCDHB16;PCDHB8;PCDHGC5;PCDHA1;PCDHGA5;PCDHGC4;PCDHGA1;PCDHGB2;CADM4;CDH20;PCDHGA10;PCDHGA2;PCDHGA4;PCDHGC3;PCDHGA7;PCDHGA3;PCDHGA9;PCDHA3;PCDHGB3;PCDHGB1,GO:BP
GOBP_IMMUNE_RESPONSE_REGULATING_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY,9.80995119082634e-23,4.77254125433702e-20,1.23789667319529,0.508013069978721,2.53720665633106,348,CCR7;TNIP3;SYK;CD28;OAS1;FFAR2;MYO1G;PTPRC;LAG3;NMI;LTF;SH2D1A;NOS2;GBP1;UBASH3A;THEMIS;PTPN22;TRAC;LGALS9;ITK;PRKCH;BLNK;CD247;KLRK1;LAPTM5;NCKAP1L;CARD11;CYLD;CD226;TRBC1,GO:BP
GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS,1.29917102646333e-22,5.74587913067645e-20,1.22950405660873,0.494761254953815,2.49891589577955,383,IL17A;TNIP3;SYK;OAS1;FFAR2;LAG3;NMI;PARP9;GBP2;LTF;SH2D1A;MMP12;GBP5;NOD2;S100A8;PTPN22;IL18RAP;IFI16;TRIM15;PYDC1;LGALS9;IFIH1;NLRX1;TNF;CTSS;HSPD1;HMGB2;S100A9;TLR8;PYHIN1,GO:BP
HALLMARK_ALLOGRAFT_REJECTION,6.56931214157574e-19,5.47442678464645e-18,1.12391496374483,0.589654226677197,2.74221551760244,179,GZMB;CXCL13;CD28;BCL3;STAT1;LTB;PTPRC;GBP2;NOS2;ST8SIA4;CXCR3;IL18RAP;IL2RG;ITK;TNF;CTSS;CD247;IL12RB1;ITGAL;SIT1;CD2;TAP1;IL2RA;IRF7;PRF1;CD3E;CXCL9;TAPBP;LCP2;CD47,Hallmark
REACTOME_SEPARATION_OF_SISTER_CHROMATIDS,3.25108920099931e-20,7.42873882428342e-18,1.16017957183021,0.609541836850016,2.82559688140293,173,NDEL1;MAD2L1;ZWILCH;CENPN;MIS12;AURKB;NUP107;UBE2C;CENPA;HDAC8;CDCA8;PTTG1;NUP37;BIRC5;ZWINT;CDC23;CDC20;CENPP;CDCA5;BUB1;SKA1;NDC80;KIF2C;CENPU;NUF2;SPC24;BUB1B;PLK1;SPDL1;PSMD11,Reactome
GOBP_RIBOSOME_BIOGENESIS,2.3201006455593e-20,9.40607470053833e-18,1.16906996676109,0.511334792054278,2.50581835105055,313,TSR1;ERAL1;WDR43;ERI1;ABCF1;EMG1;DIMT1;NOLC1;BRIX1;PNO1;ABT1;NIP7;NOP2;RIOK3;NOL11;WDR3;RPL7L1;NOP58;ISG20;ERI2;RPF2;UTP14A;C1QBP;NPM1;EIF5;TFB2M;NOL6;NOB1;DCAF13;BMS1,GO:BP
GOBP_NUCLEAR_CHROMOSOME_SEGREGATION,9.29980415682358e-20,3.48027286330359e-17,1.15122052214226,0.510365259283247,2.50270653909172,306,FANCD2;PRC1;MAD2L1;ZWILCH;LCMT1;CCNB2;KIF23;AURKA;KPNB1;NDC1;MIS12;CCNB1;AURKB;NCAPH;KIF22;ANKRD31;CDC6;UBE2C;RCC1;NUSAP1;CENPA;CDCA8;PTTG1;MYBL2;BIRC5;ZWINT;MND1;CDC23;TRIP13;CDC20,GO:BP
GOBP_RRNA_METABOLIC_PROCESS,1.98067095002228e-19,6.88283155132743e-17,1.14219120216838,0.526748955425508,2.543249956858,267,TSR1;IPPK;SLFN5;DEDD2;WDR43;ERI1;EMG1;DIMT1;NOLC1;BRIX1;PNO1;ABT1;NOP2;MTOR;RIOK3;NOL11;WDR3;RPL7L1;NOP58;ISG20;ERI2;SLFN12L;RPF2;UTP14A;TFB2M;NOL6;NOB1;DCAF13;BMS1;IMP4,GO:BP
REACTOME_DNA_REPLICATION,3.5723317710836e-19,6.99666694022231e-17,1.13308993200902,0.662242361843559,2.88943016820409,124,MCM6;POLD3;RFC3;RFC5;GINS2;RPA3;MCM4;KPNB1;CDC6;UBE2C;CCNA2;RFC4;MCM2;ORC1;POLE2;CDC23;FEN1;ORC6;TWNK;PCNA;POLA2;CCNE2;GINS3;CDC45;GINS4;RPA1;MCM10;GINS1;PSMD11;POLD2,Reactome
GOBP_LEUKOCYTE_CELL_CELL_ADHESION,3.1190437522659e-19,1.01160985698491e-16,1.13308993200902,0.462325726284063,2.33397504149088,394,PLA2G2F;CCR7;ICOS;IL7R;IDO1;SYK;CD28;PTPRC;LAG3;EPHA4;NOD2;S100A8;PTPN22;IL2RG;PSMB8;SELPLG;LGALS9;TNF;HSPD1;S100A9;FUT7;IL12RB1;KLRK1;ITGAL;LAPTM5;DOCK8;CD83;TIGIT;PSMB9;NCKAP1L,GO:BP
GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION,4.58032896027608e-19,1.39270627448395e-16,1.12391496374483,0.568486861556932,2.61245857820432,197,PRC1;MAD2L1;ZWILCH;LCMT1;KIF23;KPNB1;MIS12;CCNB1;AURKB;NCAPH;KIF22;UBE2C;RCC1;NUSAP1;CENPA;CDCA8;MYBL2;BIRC5;ZWINT;CDC23;TRIP13;CDC20;DLGAP5;BUB1;PINX1;TTK;CEP55;SMC2;SKA1;NCAPG2,GO:BP
REACTOME_S_PHASE,1.31232318010848e-18,2.24899384991091e-16,1.11466447751729,0.617641069370181,2.79661675309132,150,MCM6;POLD3;RFC3;RFC5;GINS2;RPA3;MCM4;CDC6;UBE2C;CCNA2;RFC4;CDC25A;MCM2;ORC1;POLE2;CDC23;FEN1;ORC6;CDCA5;PCNA;TFDP1;POLA2;CCNE2;GINS3;CDC45;GINS4;RPA1;GINS1;PSMD11;POLD2,Reactome
GOBP_DNA_RECOMBINATION,9.62586010541292e-19,2.75469467134317e-16,1.11466447751729,0.498810465114257,2.44196302639379,301,IL7R;MCM6;CD28;PTPRC;FANCD2;KDM1A;GINS2;RPA3;MCM4;FIGNL1;HSPD1;HMGB2;HMGB3;XRCC2;KPNA2;ANKRD31;RAD51AP1;TIMELESS;POLB;EXO1;MCM2;MEAF6;MND1;ATAD5;BLM;TRIP13;FEN1;RUVBL1;CHEK1;RAD51,GO:BP
REACTOME_SYNTHESIS_OF_DNA,1.9204982834233e-18,2.92555905174816e-16,1.10533657731401,0.67440356338174,2.88117814893081,108,MCM6;POLD3;RFC3;RFC5;GINS2;RPA3;MCM4;CDC6;UBE2C;CCNA2;RFC4;MCM2;ORC1;POLE2;CDC23;FEN1;ORC6;PCNA;POLA2;CCNE2;GINS3;CDC45;GINS4;RPA1;GINS1;PSMD11;POLD2;POLE3;PSMA3;PSMD2,Reactome
REACTOME_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION,4.59826789925972e-18,6.30422528988507e-16,1.0959292864312,0.632702341720532,2.79994589265683,138,MCM6;RPA3;MCM4;CCNB1;CDC6;CCNA2;CDC25A;MCM2;MYBL2;ORC1;POLE2;RRM2;ORC6;DHFR;TOP2A;PCNA;TFDP1;POLA2;CCNE2;CDC45;RPA1;E2F3;CDK1;MCM10;TK1;FBXO5;PSMD11;PPP2CA;POLE3;RBL1,Reactome
