theme,pathway,label,collection,NES,ES,padj_joint,padj_percollection,size
Other,GOBP_POSITIVE_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY,POSITIVE_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY,GO:BP,1.59691637517069,0.342893203056578,0.00378033974914453,0.00378033974914453,187
Other,GOBP_DNA_TEMPLATED_TRANSCRIPTION_INITIATION,DNA_TEMPLATED_TRANSCRIPTION_INITIATION,GO:BP,1.57294356931393,0.326679545135209,0.00381992761159718,0.00381992761159718,239
Other,REACTOME_RNA_POLYMERASE_II_TRANSCRIBES_SNRNA_GENES,RNA_POLYMERASE_II_TRANSCRIBES_SNRNA_GENES,Reactome,1.83223343416216,0.452017582001295,0.00390293205799529,0.00390293205799529,78
RNA processing / translation,GOBP_REGULATION_OF_TRANSCRIPTION_OF_NUCLEOLAR_LARGE_RRNA_BY_RNA_POLYMERASE_I,REGULATION_OF_TRANSCRIPTION_OF_NUCLEOLAR_LARGE_RRNA_BY_RNA_POLYMERASE_I,GO:BP,1.97327917270811,0.784526904526869,0.00424468510242783,0.00424468510242783,11
Other,REACTOME_DAP12_INTERACTIONS,DAP12_INTERACTIONS,Reactome,1.93570775686407,0.560646938014681,0.0042595384610566,0.0042595384610566,37
Other,GOBP_EXECUTION_PHASE_OF_APOPTOSIS,EXECUTION_PHASE_OF_APOPTOSIS,GO:BP,1.81855545668822,0.450691021315618,0.00443835217404866,0.00443835217404866,71
Inflammatory signaling (IL/JAK-STAT/TNF),GOBP_ACTIVATION_OF_NF_KAPPAB_INDUCING_KINASE_ACTIVITY,ACTIVATION_OF_NF_KAPPAB_INDUCING_KINASE_ACTIVITY,GO:BP,1.93833232960489,0.720655536739453,0.00496384394271092,0.00496384394271092,14
Other,KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION,EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION,KEGG,1.79777748684722,0.455755097171337,0.0053726717180331,0.0053726717180331,65
Other,GOBP_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR,SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR,GO:BP,1.56645779476484,0.338523577229321,0.00558273885940206,0.00558273885940206,180
Other,GOBP_ESTABLISHMENT_OF_ORGANELLE_LOCALIZATION,ESTABLISHMENT_OF_ORGANELLE_LOCALIZATION,GO:BP,1.4223376564763,0.282608212179145,0.00622614636609515,0.00622614636609515,384
Other,GOBP_PROTEASOME_ASSEMBLY,PROTEASOME_ASSEMBLY,GO:BP,1.90938955087382,0.70989485683818,0.00650635541128606,0.00650635541128606,14
Other,GOBP_METALLO_SULFUR_CLUSTER_ASSEMBLY,METALLO_SULFUR_CLUSTER_ASSEMBLY,GO:BP,1.87937581067218,0.587068542254311,0.0066926051426788,0.0066926051426788,26
Other,GOBP_POSITIVE_REGULATION_OF_PROGRAMMED_CELL_DEATH,POSITIVE_REGULATION_OF_PROGRAMMED_CELL_DEATH,GO:BP,1.35994665501817,0.265197091909102,0.00754915123994617,0.00754915123994617,497
Other,GOBP_REGULATION_OF_PROTEIN_STABILITY,REGULATION_OF_PROTEIN_STABILITY,GO:BP,1.42453224308196,0.285252370564334,0.00763152132066435,0.00763152132066435,351
Other,GOBP_CELLULAR_COMPONENT_DISASSEMBLY,CELLULAR_COMPONENT_DISASSEMBLY,GO:BP,1.39870859383319,0.274360034729471,0.00801633426722707,0.00801633426722707,433
Other,GOBP_CELLULAR_SENESCENCE,CELLULAR_SENESCENCE,GO:BP,1.67765822465313,0.403285564856125,0.00809774464706335,0.00809774464706335,93
Other,REACTOME_MITOPHAGY,MITOPHAGY,Reactome,1.80309301775749,0.514477236672349,0.00863783762658733,0.00863783762658733,38
Other,GOBP_RESPONSE_TO_UV,RESPONSE_TO_UV,GO:BP,1.60123087293605,0.358921970111986,0.00872809930363766,0.00872809930363766,148
Metabolism / MYC-mTOR,HALLMARK_GLYCOLYSIS,GLYCOLYSIS,Hallmark,1.50992082026657,0.324520134693754,0.00995629913676623,0.00995629913676623,188
Other,HALLMARK_UV_RESPONSE_UP,UV_RESPONSE_UP,Hallmark,1.53955215269729,0.344792044994234,0.0106384778763122,0.0106384778763122,149
Other,GOBP_NEGATIVE_REGULATION_OF_DNA_TEMPLATED_TRANSCRIPTION_ELONGATION,NEGATIVE_REGULATION_OF_DNA_TEMPLATED_TRANSCRIPTION_ELONGATION,GO:BP,1.82988801807544,0.571609831923907,0.0108248434117482,0.0108248434117482,26
Other,GOBP_HYDROGEN_PEROXIDE_BIOSYNTHETIC_PROCESS,HYDROGEN_PEROXIDE_BIOSYNTHETIC_PROCESS,GO:BP,1.8557932214541,0.646772991942086,0.0115601081472467,0.0115601081472467,17
Other,GOBP_SPHINGOSINE_1_PHOSPHATE_RECEPTOR_SIGNALING_PATHWAY,SPHINGOSINE_1_PHOSPHATE_RECEPTOR_SIGNALING_PATHWAY,GO:BP,1.84470856960991,0.664674426420459,0.0121970021348797,0.0121970021348797,15
Other,REACTOME_MITOCHONDRIAL_PROTEIN_DEGRADATION,MITOCHONDRIAL_PROTEIN_DEGRADATION,Reactome,1.61911742212973,0.39078959334307,0.0138289815716742,0.0138289815716742,91
Other,REACTOME_SYNTHESIS_OF_ACTIVE_UBIQUITIN_ROLES_OF_E1_AND_E2_ENZYMES,SYNTHESIS_OF_ACTIVE_UBIQUITIN_ROLES_OF_E1_AND_E2_ENZYMES,Reactome,1.76190915263585,0.53303119329553,0.0155889057739519,0.0155889057739519,30
Other,GOBP_INTRACELLULAR_PH_REDUCTION,INTRACELLULAR_PH_REDUCTION,GO:BP,1.69922311028723,0.449150350646466,0.0162314758983811,0.0162314758983811,54
Other,GOBP_NUCLEOPHAGY,NUCLEOPHAGY,GO:BP,1.80753282200491,0.58533845579369,0.0175442141483869,0.0175442141483869,23
Metabolism / MYC-mTOR,KEGG_ALPHA_LINOLENIC_ACID_METABOLISM,ALPHA_LINOLENIC_ACID_METABOLISM,KEGG,1.78536914612169,0.680852982238784,0.0202074446328538,0.0202074446328538,13
Metabolism / MYC-mTOR,KEGG_ASCORBATE_AND_ALDARATE_METABOLISM,ASCORBATE_AND_ALDARATE_METABOLISM,KEGG,1.75339945890621,0.62106295009759,0.0213250612272771,0.0213250612272771,16
Other,GOBP_PROSTAGLANDIN_TRANSPORT,PROSTAGLANDIN_TRANSPORT,GO:BP,1.82065823716772,0.612879547769697,0.021816167651972,0.021816167651972,19
RNA processing / translation,GOBP_MRNA_MODIFICATION,MRNA_MODIFICATION,GO:BP,1.78374778081555,0.56324383454365,0.0218239102009266,0.0218239102009266,25
Other,GOBP_NUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS,NUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS,GO:BP,1.60437849579147,0.379702651064817,0.0224662689450311,0.0224662689450311,102
Other,GOBP_CELLULAR_RESPONSE_TO_ARSENIC_CONTAINING_SUBSTANCE,CELLULAR_RESPONSE_TO_ARSENIC_CONTAINING_SUBSTANCE,GO:BP,1.76099383549273,0.613733921757065,0.0251840647914935,0.0251840647914935,17
RNA processing / translation,GOBP_TRANSLATIONAL_TERMINATION,TRANSLATIONAL_TERMINATION,GO:BP,1.72062802285842,0.609455141821278,0.0261905932075398,0.0261905932075398,16
Metabolism / MYC-mTOR,KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM,PORPHYRIN_AND_CHLOROPHYLL_METABOLISM,KEGG,1.69416222544172,0.515351321649378,0.0271970184597211,0.0271970184597211,31
Other,GOBP_REGULATION_OF_RELEASE_OF_CYTOCHROME_C_FROM_MITOCHONDRIA,REGULATION_OF_RELEASE_OF_CYTOCHROME_C_FROM_MITOCHONDRIA,GO:BP,1.73462144875543,0.485875822592085,0.0277367086290104,0.0277367086290104,41
Other,REACTOME_NUCLEAR_EVENTS_STIMULATED_BY_ALK_SIGNALING_IN_CANCER,NUCLEAR_EVENTS_STIMULATED_BY_ALK_SIGNALING_IN_CANCER,Reactome,1.69655605803719,0.503683067770519,0.0297244453821749,0.0297244453821749,34
Other,REACTOME_RHO_GTPASE_CYCLE,RHO_GTPASE_CYCLE,Reactome,1.29354002747678,0.253421261830434,0.0326065899804855,0.0326065899804855,438
Other,GOBP_ENDOSOMAL_TRANSPORT,ENDOSOMAL_TRANSPORT,GO:BP,1.3563903051138,0.276434251568776,0.033274427753465,0.033274427753465,295
Other,GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_NUCLEOLUS,REGULATION_OF_PROTEIN_LOCALIZATION_TO_NUCLEOLUS,GO:BP,1.74693380951023,0.694537596577124,0.0402390163417218,0.0402390163417218,11
Other,REACTOME_RAS_PROCESSING,RAS_PROCESSING,Reactome,1.7077471941979,0.553024594280419,0.0403346656344303,0.0403346656344303,23
Metabolism / MYC-mTOR,REACTOME_METABOLISM_OF_COFACTORS,METABOLISM_OF_COFACTORS,Reactome,1.67824162630476,0.529928759579723,0.0476697734083826,0.0476697734083826,25
Other,GOBP_DICARBOXYLIC_ACID_BIOSYNTHETIC_PROCESS,DICARBOXYLIC_ACID_BIOSYNTHETIC_PROCESS,GO:BP,1.64986076097403,0.629176672974356,0.0497733746015597,0.0497733746015597,13
