theme,pathway,label,collection,NES,ES,padj_joint,padj_percollection,size
Immune effector / antimicrobial,GOBP_LEUKOCYTE_HOMEOSTASIS,LEUKOCYTE_HOMEOSTASIS,GO:BP,2.00434121996449,0.464002132925624,2.63949061554644e-05,2.63949061554644e-05,119
Other,GOBP_POSITIVE_REGULATION_OF_DNA_BIOSYNTHETIC_PROCESS,POSITIVE_REGULATION_OF_DNA_BIOSYNTHETIC_PROCESS,GO:BP,2.20420586073572,0.611732174763118,2.67847967574552e-05,2.67847967574552e-05,44
Inflammatory signaling (IL/JAK-STAT/TNF),GOBP_PYROPTOTIC_INFLAMMATORY_RESPONSE,PYROPTOTIC_INFLAMMATORY_RESPONSE,GO:BP,2.2659600186969,0.66285376600613,2.72928707261189e-05,2.72928707261189e-05,36
Inflammatory signaling (IL/JAK-STAT/TNF),GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_1_PRODUCTION,POSITIVE_REGULATION_OF_INTERLEUKIN_1_PRODUCTION,GO:BP,2.19541697772668,0.565275481605831,2.85560222179096e-05,2.85560222179096e-05,62
Immune effector / antimicrobial,GOBP_MYELOID_LEUKOCYTE_ACTIVATION,MYELOID_LEUKOCYTE_ACTIVATION,GO:BP,1.86407189885669,0.389484778548891,3.05329629741224e-05,3.05329629741224e-05,228
Immune effector / antimicrobial,REACTOME_REGULATION_OF_T_CELL_ACTIVATION_BY_CD28_FAMILY,REGULATION_OF_T_CELL_ACTIVATION_BY_CD28_FAMILY,Reactome,1.83315484988216,0.38893793095374,3.06238535709266e-05,3.06238535709266e-05,203
Immune effector / antimicrobial,GOBP_MYELOID_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE,MYELOID_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE,GO:BP,2.09421066779878,0.500703576860424,3.10369416326669e-05,3.10369416326669e-05,95
Proliferation / cell cycle,GOBP_POSITIVE_REGULATION_OF_CHROMOSOME_SEGREGATION,POSITIVE_REGULATION_OF_CHROMOSOME_SEGREGATION,GO:BP,2.29759591933126,0.700883605654085,3.15757241286817e-05,3.15757241286817e-05,29
Other,GOBP_INTERSTRAND_CROSS_LINK_REPAIR,INTERSTRAND_CROSS_LINK_REPAIR,GO:BP,2.28975096706188,0.641370274448321,3.23379762257161e-05,3.23379762257161e-05,41
Other,GOBP_POSITIVE_REGULATION_OF_TELOMERE_MAINTENANCE_VIA_TELOMERE_LENGTHENING,POSITIVE_REGULATION_OF_TELOMERE_MAINTENANCE_VIA_TELOMERE_LENGTHENING,GO:BP,2.26526896956215,0.707611614570656,3.31354495629157e-05,3.31354495629157e-05,26
Metabolism / MYC-mTOR,HALLMARK_OXIDATIVE_PHOSPHORYLATION,OXIDATIVE_PHOSPHORYLATION,Hallmark,1.84783262504485,0.398621899167782,3.53129048233831e-05,3.53129048233831e-05,185
Interferon / antiviral,REACTOME_SARS_COV_1_ACTIVATES_MODULATES_INNATE_IMMUNE_RESPONSES,SARS_COV_1_ACTIVATES_MODULATES_INNATE_IMMUNE_RESPONSES,Reactome,2.29273201934717,0.650502193025871,3.93454026314659e-05,3.93454026314659e-05,39
Inflammatory signaling (IL/JAK-STAT/TNF),REACTOME_INTERLEUKIN_12_FAMILY_SIGNALING,INTERLEUKIN_12_FAMILY_SIGNALING,Reactome,2.15286880081642,0.57928106749965,4.26121428498007e-05,4.26121428498007e-05,51
Metabolism / MYC-mTOR,REACTOME_METABOLISM_OF_NUCLEOTIDES,METABOLISM_OF_NUCLEOTIDES,Reactome,2.0544172330524,0.499242821950277,5.9350621835083e-05,5.9350621835083e-05,88
Other,GOBP_POSITIVE_REGULATION_OF_MOLECULAR_FUNCTION,POSITIVE_REGULATION_OF_MOLECULAR_FUNCTION,GO:BP,1.61804032867604,0.317974728075511,6.30446162590802e-05,6.30446162590802e-05,427
Inflammatory signaling (IL/JAK-STAT/TNF),GOBP_NON_CANONICAL_NF_KAPPAB_SIGNAL_TRANSDUCTION,NON_CANONICAL_NF_KAPPAB_SIGNAL_TRANSDUCTION,GO:BP,1.95655687051335,0.448124991306888,6.34026345344099e-05,6.34026345344099e-05,122
Other,GOBP_PROTEIN_LOCALIZATION_TO_MITOCHONDRION,PROTEIN_LOCALIZATION_TO_MITOCHONDRION,GO:BP,2.16290158838001,0.546033560031033,6.76017828180104e-05,6.76017828180104e-05,67
Other,GOBP_TELOMERASE_RNA_LOCALIZATION,TELOMERASE_RNA_LOCALIZATION,GO:BP,2.27999365010723,0.767503449394918,7.41697295438602e-05,7.41697295438602e-05,19
Immune effector / antimicrobial,GOBP_HUMORAL_IMMUNE_RESPONSE,HUMORAL_IMMUNE_RESPONSE,GO:BP,1.82013727108847,0.391573077756297,7.7649764731523e-05,7.7649764731523e-05,189
RNA processing / translation,GOBP_NEGATIVE_REGULATION_OF_MRNA_METABOLIC_PROCESS,NEGATIVE_REGULATION_OF_MRNA_METABOLIC_PROCESS,GO:BP,1.95629994689208,0.458804889894323,7.76549285074903e-05,7.76549285074903e-05,107
Inflammatory signaling (IL/JAK-STAT/TNF),GOBP_INTERLEUKIN_12_PRODUCTION,INTERLEUKIN_12_PRODUCTION,GO:BP,2.13429911722332,0.561191499717885,7.91674615611967e-05,7.91674615611967e-05,58
Other,GOBP_RNA_SURVEILLANCE,RNA_SURVEILLANCE,GO:BP,2.20768721659803,0.629920257827201,7.96134873809415e-05,7.96134873809415e-05,38
Other,GOBP_PHAGOCYTOSIS,PHAGOCYTOSIS,GO:BP,1.79893787255156,0.379793058250923,8.27417895659139e-05,8.27417895659139e-05,216
Other,GOBP_PROTEIN_LOCALIZATION_TO_NUCLEUS,PROTEIN_LOCALIZATION_TO_NUCLEUS,GO:BP,1.7054895848546,0.345573490370957,9.95999634490077e-05,9.95999634490077e-05,312
Metabolism / MYC-mTOR,REACTOME_RESPIRATORY_ELECTRON_TRANSPORT,RESPIRATORY_ELECTRON_TRANSPORT,Reactome,1.85047332662409,0.412825092796159,0.00015907757707592,0.00015907757707592,151
Other,GOBP_ARP2_3_COMPLEX_MEDIATED_ACTIN_NUCLEATION,ARP2_3_COMPLEX_MEDIATED_ACTIN_NUCLEATION,GO:BP,2.07914700575971,0.577024651890309,0.000189838611513962,0.000189838611513962,44
Other,GOBP_RESPONSE_TO_TUMOR_NECROSIS_FACTOR,RESPONSE_TO_TUMOR_NECROSIS_FACTOR,GO:BP,1.7825362825227,0.378258772853687,0.000191965583265583,0.000191965583265583,204
Other,KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY,NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY,KEGG,2.07871520299573,0.542544788550136,0.00021583977495266,0.00021583977495266,60
Other,KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS,FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS,KEGG,1.98824374482257,0.475368008582163,0.000221447368435047,0.000221447368435047,95
Other,REACTOME_NUCLEOTIDE_BINDING_DOMAIN_LEUCINE_RICH_REPEAT_CONTAINING_RECEPTOR_NLR_SIGNALING_PATHWAYS,NUCLEOTIDE_BINDING_DOMAIN_LEUCINE_RICH_REPEAT_CONTAINING_RECEPTOR_NLR_SIGNALING_PATHWAYS,Reactome,2.03421332885547,0.535895630066262,0.000242505138494276,0.000242505138494276,56
Metabolism / MYC-mTOR,GOBP_SNRNA_METABOLIC_PROCESS,SNRNA_METABOLIC_PROCESS,GO:BP,2.02962318854924,0.534686397928902,0.000255611222928949,0.000255611222928949,56
Other,REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION,MHC_CLASS_II_ANTIGEN_PRESENTATION,Reactome,1.8839043807776,0.439058225956561,0.000281120446772718,0.000281120446772718,116
Other,KEGG_RNA_DEGRADATION,RNA_DEGRADATION,KEGG,2.14099066991552,0.571984343607861,0.000291674351814873,0.000291674351814873,52
Other,GOBP_RESPONSE_TO_IONIZING_RADIATION,RESPONSE_TO_IONIZING_RADIATION,GO:BP,1.86741074305766,0.424946838392894,0.000292080359762712,0.000292080359762712,130
Other,REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT,MITOCHONDRIAL_PROTEIN_IMPORT,Reactome,2.05441324426073,0.536201975910756,0.000324424578191454,0.000324424578191454,60
Other,GOBP_INNER_CELL_MASS_CELL_PROLIFERATION,INNER_CELL_MASS_CELL_PROLIFERATION,GO:BP,2.15693908612318,0.777175470158933,0.000328655991537096,0.000328655991537096,15
Other,KEGG_APOPTOSIS,APOPTOSIS,KEGG,1.96604708548453,0.479390247444969,0.000342016732152762,0.000342016732152762,82
Immune effector / antimicrobial,HALLMARK_COMPLEMENT,COMPLEMENT,Hallmark,1.74871790465095,0.376788465908348,0.00034967917245957,0.00034967917245957,184
