pathway,k_old,Zc_old,p_old,FDR_old,k_new,Zc_new,p_new,FDR_new,direction_consistent
HALLMARK_CHOLESTEROL_HOMEOSTASIS,3,0.00482038163418036,0.996153906811603,0.996153906811603,4,-1.303,0.192667494907393,0.253509861720254,FALSE
HALLMARK_PEROXISOME,3,-0.565724972967782,0.571580756066988,0.63508972896332,4,-1.281,0.200349600890819,0.255486775276129,FALSE
HALLMARK_ANGIOGENESIS,3,-1.65864389439613,0.0971875712238019,0.161333942318583,4,-1.269,0.204389420220903,0.255486775276129,FALSE
HALLMARK_HYPOXIA,3,-0.225435349533545,0.821640614357727,0.855688560186707,4,-1.218,0.223237706234921,0.272241105164538,FALSE
HALLMARK_HEME_METABOLISM,3,1.20552276636383,0.228001554622762,0.300002045556266,4,1.064,0.287453120518644,0.342206095855529,FALSE
HALLMARK_FATTY_ACID_METABOLISM,3,0.539815113857388,0.589324542936172,0.640570155365404,4,-0.915,0.360131869406326,0.418757987681775,FALSE
HALLMARK_SPERMATOGENESIS,3,0.991287009749482,0.32154545425508,0.412237761865487,4,0.892,0.37213783378423,0.422883902027534,TRUE
HALLMARK_APICAL_JUNCTION,3,-0.625029315604375,0.531951817799417,0.604490702044792,4,-0.549,0.583232749088742,0.64803638787638,FALSE
HALLMARK_ESTROGEN_RESPONSE_LATE,3,0.75095433944787,0.452680135829198,0.552048946133168,4,0.302,0.762677658624769,0.828966039789728,FALSE
HALLMARK_APICAL_SURFACE,3,0.507418458992758,0.611861236584279,0.650916209132212,4,0.28,0.779228077402344,0.828966039789728,FALSE
HALLMARK_ADIPOGENESIS,3,1.62928016526109,0.103253723083893,0.161333942318583,4,0.231,0.817196491674849,0.851246345494634,FALSE
HALLMARK_TGF_BETA_SIGNALING,3,0.897456685118149,0.36947527660963,0.461844095762038,4,-0.094,0.924834786378326,0.943708965692169,FALSE
HALLMARK_COAGULATION,3,-0.203716830723237,0.838574788982973,0.855688560186707,4,0.01,0.992311752565323,0.992311752565323,FALSE
