pathway,k,meanNES,nUp,Zc_up,p_stouffer_up,p_fisher,size,collection,FDR_stouffer_up,FDR_fisher,direction_consistent
GOBP_BODY_MORPHOGENESIS,4,-1.02739125798495,1,-3.99617919495776,0.999967813492787,1.72777457652444e-06,46,GO:BP,1,9.08217440743566e-06,FALSE
GOBP_BRANCHING_MORPHOGENESIS_OF_AN_EPITHELIAL_TUBE,4,-0.845365200963243,1,-3.997051669905,0.999967931847209,1.08518442052223e-11,140,GO:BP,1,1.21544339935232e-10,FALSE
GOBP_POSITIVE_REGULATION_OF_AXONOGENESIS,4,-1.36446390486181,0,-3.9989281970415,0.999968185010644,0.000853408297892047,72,GO:BP,1,0.00251112156163864,TRUE
GOBP_SENSORY_PERCEPTION_OF_LIGHT_STIMULUS,4,-0.896796300785623,1,-4.00129331723229,0.99996850139612,4.29973097162004e-05,148,GO:BP,1,0.00016864045909499,FALSE
GOBP_DOPAMINE_SECRETION,4,-1.46995397048819,0,-4.00718486782276,0.999969276616719,0.000318317574939422,17,GO:BP,1,0.00103445371520954,TRUE
GOBP_SYNAPSE_MATURATION,4,-1.06939763716655,1,-4.01250593093503,0.999969961215447,9.62644330826049e-05,41,GO:BP,1,0.000351248044826297,FALSE
GOBP_CELL_JUNCTION_MAINTENANCE,4,-1.40611500812388,0,-4.01388406855317,0.999970136154772,0.000634064854348224,52,GO:BP,1,0.00191789355531189,TRUE
KEGG_MELANOMA,4,-1.38179771850129,0,-4.01585694130835,0.999970384910804,0.000494408666903859,60,KEGG,1,0.00153777179423138,TRUE
GOBP_CEREBELLAR_CORTEX_DEVELOPMENT,4,-1.36975639014584,0,-4.0162043217003,0.999970428507711,0.000260465684052082,50,GO:BP,1,0.000864332051152708,TRUE
GOBP_STEROL_METABOLIC_PROCESS,4,-0.883852737936921,1,-4.01746537123278,0.999970586261619,1.87377894456779e-07,146,GO:BP,1,1.16396607319338e-06,FALSE
GOBP_REGULATION_OF_CARTILAGE_DEVELOPMENT,4,-0.980590370138393,1,-4.01990069606347,0.999970888661198,4.26954247470121e-07,63,GO:BP,1,2.49921665533308e-06,FALSE
GOBP_HEART_VALVE_MORPHOGENESIS,4,-1.0020337936803,1,-4.02041355150419,0.999970951967145,8.26335410078695e-08,57,GO:BP,1,5.52873701854883e-07,FALSE
