pathway,k,meanNES,nUp,Zc_up,p_stouffer_up,p_fisher,size,collection,FDR_stouffer_up,FDR_fisher,direction_consistent
HALLMARK_INTERFERON_GAMMA_RESPONSE,4,2.90722448124952,4,21.6817831973727,1.52418736498341e-104,3.17845873955859e-102,195,Hallmark,1.00550640467956e-100,6.98943076828933e-99,TRUE
REACTOME_CELL_CYCLE_MITOTIC,4,1.9301256487084,3,20.9236571068874,1.63060389482588e-97,3.25527618910554e-125,481,Reactome,5.37854694708316e-94,2.14750570195292e-121,FALSE
HALLMARK_E2F_TARGETS,4,2.75755439010159,4,20.7841542060948,3.01079695795267e-96,1.67530232720672e-106,197,Hallmark,6.62074251053792e-93,5.52598472629137e-103,TRUE
HALLMARK_INTERFERON_ALPHA_RESPONSE,4,3.08414898805623,4,19.9214719444639,1.32541447489685e-88,2.49482661676181e-85,95,Hallmark,2.18593982272363e-85,2.0572963988472e-82,TRUE
REACTOME_CELL_CYCLE_CHECKPOINTS,4,2.03598861784059,3,18.7237771250009,1.5843230678533e-78,1.51802100544603e-101,252,Reactome,2.09035585572565e-75,2.50359614323186e-98,FALSE
HALLMARK_MYC_TARGETS_V1,4,2.463770089297,4,18.4258879417034,4.07216448444907e-76,8.93233919795857e-97,195,Hallmark,4.47734485065175e-73,1.17853283377865e-93,TRUE
GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS,4,1.77614140735531,3,17.9069413683301,5.20505630873878e-72,6.50832116509663e-92,475,GO:BP,4.90539378124996e-69,7.15589912102374e-89,FALSE
REACTOME_M_PHASE,4,1.82169754246567,3,17.1259185189655,4.75483073862261e-66,6.35971619503479e-86,335,Reactome,3.92095229783667e-63,5.99357824837779e-83,FALSE
REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE,4,1.95152460602387,3,16.9001209272365,2.24492444440589e-64,1.67986330516785e-84,218,Reactome,1.64552961774952e-61,1.23133980268803e-81,FALSE
REACTOME_INTERFERON_SIGNALING,4,2.37727755456653,4,16.7027388151624,6.25921485425819e-63,1.76208361684728e-63,262,Reactome,4.12920403935413e-60,7.26529101271345e-61,TRUE
GOBP_RESPONSE_TO_VIRUS,4,2.18937863809653,4,16.1343842197826,7.31295167506919e-59,5.10833425651471e-61,367,GO:BP,4.38577656367558e-56,1.87220450501264e-58,TRUE
HALLMARK_G2M_CHECKPOINT,4,2.32693037557448,4,16.0393096381512,3.39525004010775e-58,8.07186815357558e-74,193,Hallmark,1.86653870954924e-55,4.84091947355801e-71,TRUE
REACTOME_TRANSLATION,4,1.71933990573921,3,15.9504100579731,1.41516203788098e-57,2.08335066668522e-79,346,Reactome,7.18140304915448e-55,1.37438643481224e-76,FALSE
GOBP_RESPONSE_TO_TYPE_I_INTERFERON,4,2.61679255643076,4,15.8210761819505,1.11327034993891e-56,1.24093656682976e-58,105,GO:BP,5.24588892753357e-54,3.72111751426178e-56,TRUE
GOBP_REGULATION_OF_INNATE_IMMUNE_RESPONSE,4,2.08296780591847,4,15.8113538776896,1.29911320962804e-56,2.17838465183446e-60,445,GO:BP,5.71349989594412e-54,7.56358081481679e-58,TRUE
GOBP_RIBOSOME_BIOGENESIS,4,1.79905786877251,3,15.7735681479047,2.36501740414259e-56,1.02748412519752e-70,314,GO:BP,9.75126238445541e-54,5.64859397827336e-68,FALSE
REACTOME_SEPARATION_OF_SISTER_CHROMATIDS,4,1.95839934619255,3,15.5556849330882,7.27946824308485e-55,4.22112733326531e-70,173,Reactome,2.7904403654512e-52,2.14205977058086e-67,FALSE
GOBP_CHROMOSOME_SEGREGATION,4,2.02639830153923,4,15.5528101532961,7.61375270245894e-55,1.32401784985278e-68,407,GO:BP,2.7904403654512e-52,6.23896125391344e-66,TRUE
REACTOME_SYNTHESIS_OF_DNA,4,2.53164473810325,4,15.2768625932668,5.45333179415776e-53,4.39521833747722e-60,108,Reactome,1.89345420242415e-50,1.44976276861686e-57,TRUE
REACTOME_DNA_REPLICATION,4,2.43635050707145,4,15.2290270359306,1.13471842891037e-52,1.72096639127958e-62,124,Reactome,3.74286873776087e-50,6.6783619313361e-60,TRUE
REACTOME_NEUTROPHIL_DEGRANULATION,4,2.02831932428353,4,15.1702915551024,2.78145828686319e-52,1.71885783145814e-63,441,Reactome,8.7377525325888e-50,7.26529101271345e-61,TRUE
GOBP_DEFENSE_RESPONSE_TO_VIRUS,4,2.24321131329728,4,15.0624941512627,1.42899051479113e-51,7.84911644071113e-51,277,GO:BP,4.28502292094413e-49,1.67034261804424e-48,TRUE
GOBP_POSITIVE_REGULATION_OF_DEFENSE_RESPONSE,4,1.99136824116866,4,14.9632883802761,6.37819025734369e-51,6.06308960952791e-55,491,GO:BP,1.8294313533781e-48,1.5383923905406e-52,TRUE
GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION,4,2.01434064559167,4,14.9174973865476,1.2680404940521e-50,7.06797455033257e-53,473,GO:BP,3.4855263080257e-48,1.60784234857048e-50,TRUE
GOBP_NUCLEAR_CHROMOSOME_SEGREGATION,4,2.06611579573437,4,14.3435911610504,5.84245486954392e-47,1.94288298292835e-58,306,GO:BP,1.54170699097525e-44,5.57269523407753e-56,TRUE
REACTOME_G2_M_CHECKPOINTS,4,2.32015976068825,4,14.1881535550834,5.42387414766756e-46,4.9323956103096e-57,120,Reactome,1.37620375969857e-43,1.35579224338385e-54,TRUE
GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION,4,1.86559019658172,3,13.9558923219021,1.44826813310256e-44,2.08301618092962e-55,197,GO:BP,3.53860180521392e-42,5.49666309823707e-53,FALSE
GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS,4,2.00329373129898,4,13.947229055847,1.63533759731577e-44,1.55699654542796e-47,389,GO:BP,3.85297218910433e-42,2.70302795004954e-45,TRUE
GOBP_RRNA_METABOLIC_PROCESS,4,1.73527695761467,3,13.8369548492837,7.62663270365375e-44,6.51545199971404e-54,269,GO:BP,1.73492744641392e-41,1.59194210526346e-51,FALSE
REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA,4,2.10676222869423,4,13.8253859773809,8.95744807791323e-44,3.41486084309065e-48,286,Reactome,1.96974283233312e-41,6.43652485196257e-46,TRUE
REACTOME_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION,4,2.29690386070268,4,13.7582219233084,2.27284806861915e-43,7.23220944387399e-50,138,Reactome,4.83676732538082e-41,1.49096517816365e-47,TRUE
GOBP_ORGANELLE_FISSION,4,1.48689402695631,3,13.7469547060183,2.65593813419865e-43,1.54096766764498e-53,457,GO:BP,5.4753824597839e-41,3.63062989409068e-51,FALSE
GOBP_RRNA_PROCESSING,4,1.79299607054626,3,13.6457208267532,1.07043039893077e-42,1.63725277553078e-52,225,GO:BP,2.13988767931706e-40,3.60031885339218e-50,FALSE
REACTOME_S_PHASE,4,2.27371874033238,4,13.6011802464673,1.97011573959005e-42,1.89232952258896e-48,150,Reactome,3.82260398061046e-40,3.67167584132923e-46,TRUE
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION,4,2.43704174542546,4,13.5219071042419,5.80629120503006e-42,2.61513019864202e-44,94,Reactome,1.09440294513095e-39,3.8337808712092e-42,TRUE
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING,4,2.55834470451467,4,13.1971278295209,4.55722078570611e-40,3.01319595452428e-37,64,Reactome,8.35110708980644e-38,3.0118263199995e-35,TRUE
REACTOME_DNA_REPLICATION_PRE_INITIATION,4,2.36320285551236,4,13.0102335744083,5.35072453235114e-39,5.67598556369122e-46,89,Reactome,9.54019722700553e-37,9.36111919091775e-44,TRUE
GOBP_SISTER_CHROMATID_SEGREGATION,4,1.95839660700638,4,12.9371547205401,1.38862968182408e-38,1.19185830004056e-47,236,GO:BP,2.41073421341933e-36,2.18408033482432e-45,TRUE
REACTOME_MITOTIC_PROMETAPHASE,4,1.69196340547663,3,12.6720695148297,4.22282112033664e-37,3.84079709254594e-45,196,Reactome,7.14306434124637e-35,5.89249730686641e-43,FALSE
REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS,4,1.95981740122038,3,12.5874696396514,1.23739981718361e-36,3.21606818671614e-45,75,Reactome,2.04078164849007e-34,5.05152424470628e-43,FALSE
REACTOME_SWITCHING_OF_ORIGINS_TO_A_POST_REPLICATIVE_STATE,4,2.31830069626374,4,12.5252567010449,2.71576658127316e-36,7.59023556287312e-44,79,Reactome,4.36973466747782e-34,1.04318300017237e-41,TRUE
GOBP_DNA_RECOMBINATION,4,1.98292761091899,4,12.4839277553565,4.56829476451708e-36,3.73853412949957e-37,301,GO:BP,7.09432280705552e-34,3.68106114213563e-35,TRUE
REACTOME_MRNA_SPLICING,4,2.11660536702028,4,12.4829602065539,4.62416068975879e-36,7.17181517136276e-38,208,Reactome,7.09432280705552e-34,7.63104269120647e-36,TRUE
REACTOME_RRNA_PROCESSING,4,1.72887872071609,3,12.4304774827728,8.92822846440665e-36,5.29717921142704e-46,206,Reactome,1.33862552681115e-33,8.96038237379081e-44,FALSE
GOBP_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION,4,2.16476368811287,4,12.4151411453031,1.08152526213627e-35,3.65374462165383e-35,181,GO:BP,1.58551603429178e-33,3.05110800874054e-33,TRUE
HALLMARK_ALLOGRAFT_REJECTION,4,2.14702615282962,4,12.4007962281041,1.29369848707274e-35,1.77690730675699e-37,181,Hallmark,1.85533237374323e-33,1.8034242311809e-35,TRUE
REACTOME_DNA_REPAIR,4,1.96662249695462,4,12.3493679729844,2.4547802703245e-35,5.01912754073904e-42,281,Reactome,3.44557137092143e-33,6.36753545889528e-40,TRUE
REACTOME_ACTIVATION_OF_APC_C_AND_APC_C_CDC20_MEDIATED_DEGRADATION_OF_MITOTIC_PROTEINS,4,1.93389686324067,3,12.2772132801678,6.00314806554366e-35,6.9633297034886e-44,64,Reactome,8.25057662258157e-33,9.77384809657751e-42,FALSE
GOBP_MITOTIC_NUCLEAR_DIVISION,4,1.55089422037056,3,12.2301732604978,1.07240332572538e-34,1.19937087228237e-42,279,GO:BP,1.44380504894089e-32,1.58244992888936e-40,FALSE
REACTOME_MITOTIC_SPINDLE_CHECKPOINT,4,1.79960297920233,3,12.2169357233082,1.26210492895046e-34,2.42585045892104e-44,110,Reactome,1.66522124325723e-32,3.6371216994323e-42,FALSE
REACTOME_SIGNALING_BY_INTERLEUKINS,4,1.81946344640695,4,12.2042168610653,1.47567224385317e-34,1.58935538790063e-45,421,Reactome,1.9088254495489e-32,2.55731158389768e-43,TRUE
GOBP_DNA_TEMPLATED_DNA_REPLICATION,4,2.14364930087228,4,12.1936645292235,1.67983350117542e-34,2.39128862083928e-35,168,GO:BP,2.13112723216427e-32,2.10337747089023e-33,TRUE
REACTOME_ANTIMICROBIAL_MECHANISM_OF_IFN_STIMULATED_GENES,4,2.12133062638906,4,12.1470542397233,2.97349619756588e-34,5.6785357909102e-39,158,Reactome,3.7011612104419e-32,6.57215800221659e-37,TRUE
REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION,4,1.770726908667,3,12.1122942467888,4.54575499498154e-34,6.23158370192126e-44,121,Reactome,5.55339735220245e-32,8.93690384382055e-42,FALSE
GOBP_NEGATIVE_REGULATION_OF_VIRAL_PROCESS,4,2.40166672231286,4,12.1007574493847,5.23205813189865e-34,8.56159147617396e-33,66,GO:BP,6.27561590838825e-32,5.76334887431833e-31,TRUE
GOBP_DOUBLE_STRAND_BREAK_REPAIR,4,1.95165926165421,4,12.0581427837777,8.78501599903947e-34,1.74408055800942e-35,297,GO:BP,1.03490625974399e-31,1.55482424880921e-33,TRUE
REACTOME_HIV_INFECTION,4,1.55159597449909,3,11.9742247460544,2.42474713061596e-33,8.95503067195566e-49,217,Reactome,2.80632575801289e-31,1.79019204069368e-46,FALSE
GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY,4,1.80691107168276,4,11.9507128404035,3.21853599828583e-33,9.44237662644781e-37,472,GO:BP,3.66080723805027e-31,9.02773313111249e-35,TRUE
REACTOME_ORC1_REMOVAL_FROM_CHROMATIN,4,2.25004571955597,4,11.9087956893996,5.32521905924927e-33,4.71549893258247e-40,58,Reactome,5.95431697184194e-31,5.76076786263825e-38,TRUE
GOBP_DNA_REPLICATION,4,1.91780887443873,4,11.8743876440413,8.04036279194337e-33,1.32355243246632e-36,305,GO:BP,8.84037888974173e-31,1.22978526718033e-34,TRUE
GOBP_TYPE_II_INTERFERON_PRODUCTION,4,2.21816275231529,4,11.8062106588764,1.81267510493157e-32,1.52896723160628e-32,124,GO:BP,1.93235510752951e-30,1.018848164334e-30,TRUE
GOBP_INTERFERON_MEDIATED_SIGNALING_PATHWAY,4,2.33231059493544,4,11.8060533708538,1.81606816229846e-32,1.77660559541487e-30,86,GO:BP,1.93235510752951e-30,9.22855678185191e-29,TRUE
GOBP_REGULATION_OF_CELL_CYCLE_PHASE_TRANSITION,4,1.78431241198999,4,11.7953896488666,2.06143953446528e-32,2.02229058174839e-39,434,GO:BP,2.15862168394722e-30,2.38233052996323e-37,TRUE
GOBP_LEUKOCYTE_MEDIATED_IMMUNITY,4,1.85147654560941,4,11.7691856978269,2.81324915845016e-32,7.15341769991492e-35,405,GO:BP,2.89984448410871e-30,5.82606130448626e-33,TRUE
REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1,4,1.90122161857178,3,11.7646611808934,2.96820944864244e-32,7.3048616124947e-40,61,Reactome,3.01250426656834e-30,8.76184946502319e-38,FALSE
GOBP_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN,4,1.90616082009441,4,11.7431469525041,3.82913861009202e-32,1.67781715382106e-34,313,GO:BP,3.78135286577394e-30,1.28704183299506e-32,TRUE
GOBP_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS,4,1.87386482964978,4,11.7428988334555,3.84039172361458e-32,1.39425216647709e-34,354,GO:BP,3.78135286577394e-30,1.08210371085287e-32,TRUE
GOBP_DEFENSE_RESPONSE_TO_BACTERIUM,4,1.99106909491258,4,11.7142975225337,5.38400231167997e-32,7.98031936757623e-37,235,GO:BP,5.22327400737541e-30,7.74208336292653e-35,TRUE
GOBP_REGULATION_OF_VIRAL_LIFE_CYCLE,4,2.23537692632875,4,11.6547151219594,1.08552640825431e-31,1.09204716239313e-31,100,GO:BP,1.03785763989184e-29,6.49030191919592e-30,TRUE
REACTOME_CHROMOSOME_MAINTENANCE,4,2.26242597872304,4,11.6436699156856,1.2357368593922e-31,6.365483527985e-33,91,Reactome,1.16459372305862e-29,4.42032577201232e-31,TRUE
GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS,4,1.87907029837795,4,11.6174790820954,1.6795092701361e-31,1.365042705563e-34,352,GO:BP,1.56052431761801e-29,1.07204603911894e-32,TRUE
GOBP_MITOTIC_CELL_CYCLE_PHASE_TRANSITION,4,1.74191626518834,4,11.6047757158709,1.94854017192281e-31,7.39989963475568e-39,432,GO:BP,1.78534993252427e-29,8.41674791215227e-37,TRUE
KEGG_PROTEASOME,4,2.32274302531338,4,11.5657987393055,3.07085469299402e-31,9.94390222913821e-37,42,KEGG,2.74950709933176e-29,9.37141757223211e-35,TRUE
GOBP_MITOCHONDRIAL_TRANSLATION,4,1.67577568102016,3,11.5654270288937,3.08418258830605e-31,2.78232757251117e-42,128,GO:BP,2.74950709933176e-29,3.5990225482071e-40,FALSE
GOBP_REGULATION_OF_VIRAL_PROCESS,4,2.17459383868307,4,11.5442977428423,3.9441554038728e-31,1.57234073797141e-31,123,GO:BP,3.43167676288866e-29,9.09888758631352e-30,TRUE
GOBP_CELL_CYCLE_CHECKPOINT_SIGNALING,4,1.62023319797569,3,11.5440958950496,3.95342479884096e-31,1.49910167788446e-37,192,GO:BP,3.43167676288866e-29,1.54524590140684e-35,FALSE
REACTOME_INTERLEUKIN_1_FAMILY_SIGNALING,4,2.10591905537722,4,11.4849418711982,7.85205273707011e-31,8.44455339968668e-35,136,Reactome,6.72727167616253e-29,6.79374619240647e-33,TRUE
REACTOME_CDK_MEDIATED_PHOSPHORYLATION_AND_REMOVAL_OF_CDC6,4,1.88038704466707,3,11.4634082015106,1.00714562873738e-30,8.62877239730896e-38,60,Reactome,8.51812783689809e-29,9.03555738175353e-36,FALSE
GOBP_TYPE_I_INTERFERON_MEDIATED_SIGNALING_PATHWAY,4,2.35318623419332,4,11.4566330422729,1.08909405176761e-30,1.37700418174504e-28,64,GO:BP,9.09462463229234e-29,6.05606439131468e-27,TRUE
GOBP_MITOCHONDRIAL_GENE_EXPRESSION,4,1.59910038138144,3,11.4267525051492,1.53695506246326e-30,6.67108721870508e-41,165,GO:BP,1.26741156838376e-28,8.30361554373536e-39,FALSE
GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE,4,1.90024769184479,4,11.4252591239722,1.56360707469325e-30,1.51723486293962e-31,299,GO:BP,1.27347109527795e-28,8.85769769098467e-30,TRUE
KEGG_SPLICEOSOME,4,2.15140730367772,4,11.4164139242029,1.73113626790166e-30,1.94613590984529e-29,126,KEGG,1.39272023894478e-28,9.30337579510825e-28,TRUE
GOBP_POSITIVE_REGULATION_OF_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION,4,2.18365737864639,4,11.3512134892667,3.65702479387998e-30,6.70915482588559e-29,120,GO:BP,2.90667380303931e-28,3.07363155460884e-27,TRUE
GOBP_NEGATIVE_REGULATION_OF_IMMUNE_RESPONSE,4,2.00958505810181,4,11.3389064537676,4.20949433803894e-30,5.14504814626651e-31,200,GO:BP,3.30595644619558e-28,2.82849021841001e-29,TRUE
REACTOME_PROTEASOME_ASSEMBLY,4,2.27537069953118,4,11.3278866081605,4.77403835691907e-30,3.37530722693492e-36,50,Reactome,3.7052154165406e-28,3.09262524667912e-34,TRUE
GOBP_REGULATION_OF_CHROMOSOME_ORGANIZATION,4,1.8646912696769,4,11.2645781008701,9.81449124341756e-30,6.94996070402902e-36,244,GO:BP,7.52862775963089e-28,6.28066996773691e-34,TRUE
REACTOME_MRNA_3_END_PROCESSING,4,2.083066681117,4,11.2301271637359,1.4503039416657e-29,3.64107955858954e-30,151,Reactome,1.09973047162858e-27,1.83360319450498e-28,TRUE
REACTOME_MITOTIC_G2_G2_M_PHASES,4,1.57184706550237,3,11.222011025567,1.58978280541492e-29,4.80825294859736e-43,186,Reactome,1.19179513265025e-27,6.47347851059117e-41,FALSE
GOBP_LEUKOCYTE_CELL_CELL_ADHESION,4,1.79265973960656,4,11.2072320639485,1.8788042340835e-29,5.84308860893758e-32,401,GO:BP,1.39263725081448e-27,3.636495806902e-30,TRUE
GOBP_REGULATION_OF_MITOTIC_CELL_CYCLE,4,1.70168130858586,4,11.1863745772843,2.37739872027198e-29,2.61454074477826e-35,491,GO:BP,1.74263326195936e-27,2.26949017017134e-33,TRUE
GOBP_POSITIVE_REGULATION_OF_TYPE_II_INTERFERON_PRODUCTION,4,2.25711059218159,4,11.1748036306803,2.70850249334967e-29,5.96329285062889e-29,82,GO:BP,1.96351548886019e-27,2.77041147433794e-27,TRUE
GOBP_NEGATIVE_REGULATION_OF_VIRAL_GENOME_REPLICATION,4,2.40122986719642,4,11.1020534294747,6.12971962941398e-29,3.60763459820237e-27,43,GO:BP,4.39540873861348e-27,1.44239790571764e-25,TRUE
GOBP_CELLULAR_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN,4,1.97390324640473,4,11.0979416978716,6.41830372850905e-29,2.29672759484443e-30,204,GO:BP,4.55285480612626e-27,1.16550091870682e-28,TRUE
REACTOME_TCR_SIGNALING,4,2.12718629649844,4,11.086052213497,7.33081819245106e-29,2.04344641829983e-33,107,Reactome,5.14483059740422e-27,1.48138637599164e-31,TRUE
GOBP_IMMUNE_RESPONSE_REGULATING_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY,4,1.83698146519295,4,11.0667773589464,9.09110361863753e-29,8.51479653579685e-29,360,GO:BP,6.31305374443703e-27,3.87393881011392e-27,TRUE
REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES,4,2.29909754245062,4,11.0337115017053,1.31395572783082e-28,5.32050869112158e-33,41,Reactome,9.02933951718741e-27,3.73397828035416e-31,TRUE
GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS,4,2.11527044949137,4,10.9816256752788,2.34208712286466e-28,3.13317152351811e-27,123,GO:BP,1.59286069582868e-26,1.26806948102141e-25,TRUE
REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS,4,1.65246155656838,3,10.9720460049486,2.60401824571591e-28,3.65703359756561e-38,117,Reactome,1.75292942520284e-26,4.02090844052338e-36,FALSE
GOBP_CELLULAR_RESPONSE_TO_BIOTIC_STIMULUS,4,1.91975078136564,4,10.9179499500788,4.73035483240688e-28,1.32436769211325e-30,229,GO:BP,3.15213644741295e-26,6.98948293189689e-29,TRUE
GOBP_LYMPHOCYTE_MEDIATED_IMMUNITY,4,1.85732829562324,4,10.8505568336058,9.91070430298935e-28,1.05251767045941e-29,313,GO:BP,6.53809162868207e-26,5.18168587464232e-28,TRUE
GOBP_RESPONSE_TO_TYPE_II_INTERFERON,4,2.08360612600241,4,10.7987129940001,1.74530955029803e-27,1.01455907985816e-27,130,GO:BP,1.13998090131842e-25,4.23610522140779e-26,TRUE
GOBP_CELL_KILLING,4,1.94673482825716,4,10.760993700721,2.6299942417558e-27,4.53058305187844e-29,210,GO:BP,1.70098745224147e-25,2.11973449597462e-27,TRUE
REACTOME_MITOCHONDRIAL_TRANSLATION_ELONGATION,4,1.78791239542401,3,10.7254774896884,3.86434285906435e-27,2.52949934906117e-33,89,Reactome,2.47505532439296e-25,1.79431260276952e-31,FALSE
GOBP_MEIOTIC_CELL_CYCLE,4,1.86042312603436,4,10.7178533454364,4.19643098734055e-27,6.77154679528708e-31,252,GO:BP,2.66190915610438e-25,3.6616306728286e-29,TRUE
GOBP_RECOMBINATIONAL_REPAIR,4,1.97726762296666,4,10.6760885869865,6.58523305743318e-27,7.08507038433802e-28,180,GO:BP,4.1374078552273e-25,2.99616726445371e-26,TRUE
GOBP_REGULATION_OF_T_CELL_ACTIVATION,4,1.76155799337854,4,10.6507384639954,8.64936394048362e-27,1.04512725315406e-28,372,GO:BP,5.3830050863557e-25,4.65858411422792e-27,TRUE
GOBP_NEGATIVE_REGULATION_OF_INNATE_IMMUNE_RESPONSE,4,2.18311678942565,4,10.6454628194578,9.15361108940034e-27,3.01873381779521e-25,89,GO:BP,5.64358620156767e-25,1.08822879759535e-23,TRUE
GOBP_ADAPTIVE_IMMUNE_RESPONSE,3,1.868088053179,3,10.6118087525729,1.31307644669696e-26,6.35641787144634e-27,437,GO:BP,8.02070862857396e-25,2.51097537113362e-25,TRUE
REACTOME_INTERLEUKIN_1_SIGNALING,4,1.67737253304401,3,10.6101421470869,1.336710195292e-26,4.17597881021772e-34,101,Reactome,8.09016253058837e-25,3.16654393229958e-32,FALSE
GOBP_METAPHASE_CHROMOSOME_ALIGNMENT,4,1.98654647752654,4,10.5941505829342,1.58603792897688e-26,2.70455626562023e-31,106,GO:BP,9.51190201587313e-25,1.51203031222853e-29,TRUE
GOBP_POSITIVE_REGULATION_OF_CELL_CYCLE_PROCESS,4,1.43957602641535,3,10.5905976566555,1.64740719717592e-26,5.55317092846615e-32,245,GO:BP,9.79094169348606e-25,3.48897796334202e-30,FALSE
REACTOME_SCF_BETA_TRCP_MEDIATED_DEGRADATION_OF_EMI1,4,1.81652023582562,3,10.5597744539731,2.28880190990831e-26,1.6849450784662e-33,42,Reactome,1.34814519639867e-24,1.23506474251573e-31,FALSE
GOBP_CHROMOSOME_SEPARATION,4,1.78531682167108,3,10.5557263947204,2.38964239025582e-26,1.31870726159925e-31,88,GO:BP,1.39508591579802e-24,7.76742125425913e-30,FALSE
GOBP_CHROMOSOME_LOCALIZATION,4,1.7065932730144,3,10.552746597295,2.46667401426056e-26,6.43321683110327e-31,122,GO:BP,1.41988247383197e-24,3.5074323499825e-29,FALSE
REACTOME_MRNA_POLYADENYLATION,4,2.04024105633376,4,10.5524238902731,2.47516271776074e-26,1.72126036256086e-26,127,Reactome,1.41988247383197e-24,6.67950271283174e-25,TRUE
REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION,4,1.31526304066338,3,10.5446065292473,2.68987848030543e-26,1.48325410291466e-33,354,Reactome,1.52975244263577e-24,1.09944127156494e-31,FALSE
GOBP_REGULATION_OF_MITOTIC_CELL_CYCLE_PHASE_TRANSITION,4,1.77321593641382,4,10.5334576618605,3.02839843401892e-26,3.18353360410429e-31,333,GO:BP,1.70755080933529e-24,1.7648547215358e-29,TRUE
REACTOME_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT,4,1.7575580380228,3,10.5087778299982,3.93534473107738e-26,1.06310029615843e-33,62,Reactome,2.20012450770487e-24,7.96962801563313e-32,FALSE
GOBP_REGULATION_OF_VIRAL_GENOME_REPLICATION,4,2.22177217984042,4,10.4826884345054,5.18758528146108e-26,1.20077235949906e-24,70,GO:BP,2.87584034468897e-24,4.10440168684732e-23,TRUE
REACTOME_ACTIVATION_OF_NF_KAPPAB_IN_B_CELLS,4,1.77990300548358,3,10.4476460286959,7.51035635038811e-26,2.1623592126657e-33,54,Reactome,4.12881840362586e-24,1.55055257890822e-31,FALSE
GOBP_TYPE_I_INTERFERON_PRODUCTION,4,2.0703187641165,4,10.4380025956342,8.31361751488823e-26,3.8286296126223e-25,128,GO:BP,4.53263923518328e-24,1.36526862456591e-23,TRUE
REACTOME_VIF_MEDIATED_DEGRADATION_OF_APOBEC3G,4,1.8391921735617,3,10.3997076065316,1.24347569586527e-25,8.47026963329287e-32,41,Reactome,6.72394193903537e-24,5.12645585053514e-30,FALSE
GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE,4,1.74036297355087,4,10.3583918139324,1.9167654595613e-25,7.55549647604321e-27,394,GO:BP,1.02804079160373e-23,2.96688156264626e-25,TRUE
GOBP_SPINDLE_ORGANIZATION,4,1.50617795378852,3,10.3184356977113,2.90815146664037e-25,1.31001558876276e-29,203,GO:BP,1.54718348592149e-23,6.35453885225581e-28,FALSE
REACTOME_RHO_GTPASES_ACTIVATE_FORMINS,4,1.58159131928237,3,10.3147321358897,3.02248183228728e-25,3.48638299834773e-32,134,Reactome,1.59514501180794e-23,2.2548694745196e-30,FALSE
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,4,2.27237359632,4,10.3127580631233,3.08523039767161e-25,8.46945872305505e-23,58,KEGG,1.60381638634512e-23,2.51680266648622e-21,TRUE
GOBP_PROTEIN_RNA_COMPLEX_ORGANIZATION,4,1.45771804140898,3,10.3126863212104,3.08753495628058e-25,6.0773949572089e-30,234,GO:BP,1.60381638634512e-23,3.01447928817346e-28,FALSE
REACTOME_RIBOSOME_ASSOCIATED_QUALITY_CONTROL,4,1.54570493450482,3,10.3089889514547,3.20864312306528e-25,2.80303417572166e-38,142,Reactome,1.65370458459857e-23,3.13417228088742e-36,FALSE
