rank,gene,gene_types,logFC,direction,SE,P,FDR,FDR_lncRNA,I2,I2_flag,k,k_flag,confidence
112,RP11-496I9.1,antisense,-0.631990640374727,down_in_PP,0.0949005201999903,2.74748371654319e-11,4.23738073255417e-10,4.66210276136564e-10,0,low,4,all4,A_high
113,RRM1-AS1,antisense,0.61621579321725,up_in_PP,0.0632964005593024,2.12977613106268e-22,9.60008082674332e-21,1.12384650233027e-20,35.855160720609,low,4,all4,A_high
114,AC000032.2,antisense,-0.614749594334826,down_in_PP,0.168971882761643,0.000274574850416725,0.0011524694190494,0.00126257744713408,0,low,4,all4,A_high
115,AC068831.16,lincRNA,0.613733175457572,up_in_PP,0.116229223124174,1.28924042791523e-07,1.1474056677703e-06,1.30951721398808e-06,37.5253720105813,low,4,all4,A_high
116,RP11-514P8.10,sense_overlapping,-0.609538497985494,down_in_PP,0.0689270531632112,9.29819165478764e-19,3.07024083336348e-17,3.62461939551947e-17,0,low,3,k3,A_high
117,SSBP3-AS1,antisense,-0.605920498504083,down_in_PP,0.125340874811882,1.33694779912503e-06,9.78580191053492e-06,1.11249483207962e-05,31.4255154672851,low,3,k3,A_high
118,TMEM254-AS1,antisense,-0.600661118082542,down_in_PP,0.0570915689965561,6.91266118815098e-26,4.01960822963898e-24,4.9034565510048e-24,0.636880638507033,low,4,all4,A_high
119,RP11-350N15.6,antisense,-0.599501667780322,down_in_PP,0.12083800299365,7.00585101096498e-07,5.40580782133018e-06,6.11175752508981e-06,0,low,3,k3,A_high
120,RP11-211G3.3,antisense,-0.598910941897043,down_in_PP,0.0460259590856999,1.03941584685482e-38,1.33588922840387e-36,1.79902094773632e-36,0,low,4,all4,A_high
121,RP3-400B16.4,antisense,-0.59648510836467,down_in_PP,0.12225289661968,1.06566601993416e-06,7.96057281418475e-06,9.11291871196662e-06,30.5243210424746,low,3,k3,A_high
122,RP11-696N14.1,antisense,0.595539251614831,up_in_PP,0.077047223506955,1.07939680810769e-14,2.45702477791052e-13,2.71543603993138e-13,0,low,4,all4,A_high
123,RP4-718D20.3,processed_transcript,0.594466863383142,up_in_PP,0.0916127838236512,8.64611310396614e-11,1.25398661233564e-09,1.38561968151339e-09,38.0714985523603,low,3,k3,A_high
124,RP11-254F7.3,antisense,-0.594291336837534,down_in_PP,0.0502956503808148,3.22844271474288e-32,2.79004245920297e-30,3.24871433178894e-30,0,low,4,all4,A_high
125,RP11-6O2.3,antisense,-0.591970286795061,down_in_PP,0.121915663415417,1.20039701385862e-06,8.87967826485385e-06,1.0105287702269e-05,40.8497466711604,low,4,all4,A_high
126,RP11-701H16.4,antisense,-0.591072722661715,down_in_PP,0.0748220428073978,2.79544595850445e-15,6.7429708000037e-14,7.55993416403047e-14,0,low,3,k3,A_high
127,AC097467.2,antisense,-0.589249294390872,down_in_PP,0.168747979600491,0.000479616658226746,0.0018787359625631,0.0020670331475569,30.4318770616629,low,3,k3,A_high
