lncRNA,logFC,direction,FDR,I2,k,confidence,STAT3_r,STAT3_fdr,STAT3_k,IL1_inflammasome_topr,IL36_topr,STAT3_JAK_STAT_topr,Th17_output_topr,IL1_inflammasome_nsig,IL36_nsig,STAT3_JAK_STAT_nsig,Th17_output_nsig,STAT3_linked
RP11-311C24.1,-0.586546116437356,down_in_PP,0.0093383246723973,90.6060412954717,4,C_significant_but_flagged,-0.314996574004034,8.48913946274343e-07,4.0,-0.599,-0.229,0.559,-0.339,9.0,3.0,7.0,4.0,False
CTC-490G23.6,0.585930566800358,up_in_PP,0.0143087447319067,0.0,2,C_significant_but_flagged,,,,,,,,,,,,False
RP11-697E22.1,0.585755543183706,up_in_PP,7.46583392991207e-06,79.8333679849933,4,C_significant_but_flagged,-0.119609779859845,0.097523069660716,4.0,-0.353,,0.289,-0.212,8.0,,5.0,1.0,False
CTD-2006H14.2,-0.585548041190618,down_in_PP,0.0260965956994502,79.1140790357827,3,C_significant_but_flagged,-0.331283924040752,2.35222439855425e-07,3.0,-0.404,-0.268,-0.331,-0.284,3.0,3.0,4.0,5.0,False
CTD-2524L6.3,-0.585504796077461,down_in_PP,3.01368063722595e-06,79.3252545051914,4,C_significant_but_flagged,-0.309773770200176,1.3706626774383e-06,4.0,-0.381,-0.223,0.354,-0.299,7.0,3.0,5.0,4.0,False
RP11-138A9.2,-0.585363750521587,down_in_PP,0.000575750348616,0.0,2,C_significant_but_flagged,,,,,,,,,,,,False
CTD-2081C10.7,-0.584786902438593,down_in_PP,1.17928061302353e-05,0.0,2,C_significant_but_flagged,,,,,,,,,,,,False
VIPR1-AS1,0.584222508787485,up_in_PP,0.0174058260383233,86.0410767459498,4,C_significant_but_flagged,0.256347610566207,9.88337698980616e-05,4.0,0.285,0.266,0.42,0.223,1.0,4.0,5.0,2.0,False
RP11-336A10.4,-0.584110072028625,down_in_PP,0.004966597497792,0.0,2,C_significant_but_flagged,,,,,,,,,,,,False
CTC-429P9.1,-0.583833665715074,down_in_PP,3.19881543450768e-05,79.5741518384063,4,C_significant_but_flagged,-0.361144207494139,7.681561290425791e-09,4.0,-0.288,-0.334,-0.361,-0.309,7.0,3.0,3.0,7.0,False
RP11-666A8.9,-0.583682779979996,down_in_PP,5.30764620008348e-05,78.6522101536257,4,C_significant_but_flagged,-0.133285879622247,0.0614629702987518,4.0,-0.292,-0.205,0.412,-0.232,8.0,3.0,6.0,3.0,False
CTD-2145A24.4,0.577786166473804,up_in_PP,0.000512077043135,0.0,2,C_significant_but_flagged,,,,,,,,,,,,False
ANO1-AS1,-0.576578013601849,down_in_PP,0.0250753954520031,88.7737431017017,4,C_significant_but_flagged,-0.118129601200162,0.102256202246245,4.0,-0.378,-0.144,-0.27,-0.192,7.0,1.0,4.0,2.0,False
RP11-319G6.1,-0.575632888005842,down_in_PP,0.0195536729725051,89.3012647099674,4,C_significant_but_flagged,-0.0177976807938545,0.840599819285683,4.0,-0.215,,-0.145,,1.0,,2.0,,False
RP11-667K14.4,0.573441027352006,up_in_PP,0.0008567296856183,94.7880757294228,4,C_significant_but_flagged,0.144842265556388,0.0401681934657411,4.0,0.563,0.356,-0.461,0.382,9.0,5.0,7.0,5.0,False
GS1-358P8.4,-0.572863920302447,down_in_PP,0.0262232783960147,89.7118595872715,4,C_significant_but_flagged,-0.165616489117,0.0171612272578573,4.0,-0.41,-0.318,0.401,-0.153,7.0,4.0,6.0,3.0,False
RP11-7I15.3,-0.57167577366639,down_in_PP,2.96886109223708e-06,0.0,2,C_significant_but_flagged,,,,,,,,,,,,False
RP11-697E22.2,0.570889343634871,up_in_PP,0.0381995153281551,91.2651903772471,4,C_significant_but_flagged,0.121931261328617,0.0904084088407534,4.0,,0.167,0.185,-0.178,,3.0,1.0,2.0,False
RP11-140H17.2,-0.570778351754606,down_in_PP,0.0024704146660308,0.0,2,C_significant_but_flagged,,,,,,,,,,,,False
RP11-47A8.5,-0.570267997369783,down_in_PP,0.0034649301485599,82.2312495107572,4,C_significant_but_flagged,0.100619401025826,0.171906226498657,4.0,-0.303,-0.168,0.247,0.168,4.0,1.0,3.0,1.0,False
DLGAP4-AS1,-0.568809983432813,down_in_PP,0.0001093226779061,84.8326402685901,4,C_significant_but_flagged,0.0356947303464498,0.668853415357051,4.0,-0.39,,-0.303,-0.159,8.0,,4.0,1.0,False
CTA-243E7.2,-0.568157168668086,down_in_PP,0.0083368893064991,77.0124712931039,4,C_significant_but_flagged,0.0499912321010816,0.533750127560614,4.0,-0.409,-0.243,0.251,-0.194,8.0,4.0,2.0,3.0,False
RP11-20G6.3,-0.567230653204737,down_in_PP,0.0010349846815664,83.7217322489981,4,C_significant_but_flagged,-0.23066061716234,0.0005505571019728,4.0,-0.561,-0.236,0.518,-0.371,8.0,3.0,7.0,5.0,False
LINC00847,-0.567169732671048,down_in_PP,6.94012648774367e-05,82.4607711014051,4,C_significant_but_flagged,-0.14801713483749,0.0355747854662514,4.0,-0.41,-0.278,-0.384,0.343,4.0,3.0,7.0,4.0,False
RP11-17M16.2,0.564808083521685,up_in_PP,0.0390494575242807,87.7914142445165,4,C_significant_but_flagged,0.0974968134610992,0.187525487743196,4.0,0.21,0.345,0.26,0.306,4.0,4.0,3.0,7.0,False
RP11-166P13.3,-0.563761826562584,down_in_PP,0.0113351827278041,80.455034710372,3,C_significant_but_flagged,-0.213266003648972,0.0017276017616838,3.0,-0.256,-0.246,-0.274,0.441,7.0,3.0,6.0,2.0,False
RP11-506M13.3,-0.563547636956029,down_in_PP,0.022352580489082,87.0358013345173,4,C_significant_but_flagged,-0.251136670953976,0.0001424257102768,4.0,-0.509,-0.171,0.412,-0.276,8.0,3.0,7.0,4.0,False
RP11-192H23.5,-0.56348800745585,down_in_PP,0.0129126281717183,87.9308860480544,4,C_significant_but_flagged,-0.247771411151283,0.0001792913498501,4.0,-0.336,-0.372,-0.336,0.38,10.0,2.0,7.0,4.0,False
RP3-512B11.3,0.562930157976624,up_in_PP,0.0025824931232617,82.317869138392,4,C_significant_but_flagged,-0.120214126593015,0.0956121097449867,4.0,0.414,0.322,-0.202,0.178,6.0,3.0,4.0,1.0,False
