lncRNA,logFC,direction,FDR,I2,k,confidence,STAT3_r,STAT3_fdr,STAT3_k,IL1_inflammasome_topr,IL36_topr,STAT3_JAK_STAT_topr,Th17_output_topr,IL1_inflammasome_nsig,IL36_nsig,STAT3_JAK_STAT_nsig,Th17_output_nsig,STAT3_linked
AC091177.1,1.8348579919868,up_in_PP,2.5027393506623003e-183,6.22566287601577,3,A_high,0.434650062120474,9.40600724192047e-13,3.0,0.377,0.576,0.435,0.492,5.0,4.0,8.0,6.0,True
GDNF-AS1,-1.40665726479377,down_in_PP,2.13864788404732e-21,0.0,4,A_high,-0.42814701990429,1.46805676826363e-12,4.0,-0.36,-0.345,-0.428,-0.39,6.0,3.0,3.0,5.0,True
RP11-519G16.5,1.2718155028336,up_in_PP,3.44673577292572e-32,0.0,3,A_high,0.550180055720452,5.19106385181678e-22,3.0,0.439,0.491,0.55,0.549,9.0,5.0,9.0,6.0,True
CTD-2008P7.9,-1.08735256962282,down_in_PP,1.30664668689892e-21,49.8414619112438,3,A_high,-0.489484813562196,1.24771233761007e-16,3.0,0.414,-0.359,-0.489,0.379,8.0,4.0,6.0,7.0,True
RP11-334E6.3,0.684562199636027,up_in_PP,1.8431958495034e-13,2.71766154296692,4,A_high,0.468408744523696,2.59821653293004e-15,4.0,0.412,0.481,0.468,0.353,5.0,5.0,6.0,5.0,True
RP4-718D20.3,0.594466863383142,up_in_PP,1.2539866123356401e-09,38.0714985523603,3,A_high,0.427721907615425,2.55936902026208e-12,3.0,0.432,0.353,0.428,0.451,6.0,3.0,6.0,5.0,True
CTD-2267D19.3,0.548715042672214,up_in_PP,5.2063419078225604e-09,42.8341243156432,4,A_high,0.418803356307672,5.55214172566697e-12,4.0,0.721,0.315,-0.481,0.385,8.0,3.0,6.0,5.0,True
RP11-87F15.2,0.457764075634611,up_in_PP,2.38817676671825e-10,33.2309988746113,4,A_high,0.443068084526086,1.56852288098849e-13,4.0,0.516,0.293,0.443,0.339,8.0,3.0,6.0,4.0,True
RP11-799B12.4,-0.450743533414471,down_in_PP,1.47245978288674e-16,0.0,4,A_high,-0.426385127513411,1.88103589840559e-12,4.0,0.315,-0.341,-0.426,-0.253,7.0,3.0,8.0,5.0,True
RP11-128P10.1,0.287129015853125,up_in_PP,0.0002114476961428,0.0,4,A_high,0.475184124666699,8.07828312432958e-16,4.0,0.286,0.284,0.475,0.25,3.0,3.0,7.0,3.0,True
RP11-192H23.7,0.10241420917971,up_in_PP,0.0261675698283994,32.3597326475424,4,A_high,0.410365854313235,1.76026376048987e-11,4.0,0.23,0.227,0.41,0.148,2.0,3.0,3.0,2.0,True
RP11-295G20.2,2.48421051845618,up_in_PP,4.1401781407271904e-45,65.4989183850832,4,B_moderate,0.505360909904768,3.14355282975081e-18,4.0,0.493,0.667,0.505,0.554,8.0,5.0,9.0,7.0,True
CTD-2547L24.3,1.44925129152191,up_in_PP,2.33951648704035e-17,73.2876155375197,3,B_moderate,0.43397059816132,1.04061701426805e-12,3.0,0.452,0.416,0.434,-0.326,9.0,4.0,7.0,5.0,True
AC007182.6,1.36158848970866,up_in_PP,1.7976270269620498e-16,70.6698008292238,4,B_moderate,0.654500636297361,1.68720899738748e-35,4.0,0.493,0.594,0.655,0.523,8.0,5.0,8.0,7.0,True
RP11-113D6.6,1.35744695357129,up_in_PP,1.0462790293048499e-18,74.2935577734957,4,B_moderate,0.50100873498766,7.246644410353779e-18,4.0,0.697,0.597,0.501,0.526,5.0,5.0,7.0,6.0,True
PLBD1-AS1,1.31113952813571,up_in_PP,3.0644261966346697e-28,63.6399952570972,4,B_moderate,0.410002036889472,1.84752636457363e-11,4.0,0.344,0.459,0.41,0.343,3.0,5.0,3.0,6.0,True
JHDM1D-AS1,1.14328742200554,up_in_PP,5.37031752952976e-18,67.5737497481511,4,B_moderate,0.590820085412625,7.42773739914756e-27,4.0,0.599,0.589,0.591,0.402,9.0,4.0,7.0,6.0,True
RP11-367G18.1,-1.08517922850875,down_in_PP,5.01794091114431e-16,54.309205130392,4,B_moderate,-0.409503988094858,1.97926826973582e-11,4.0,0.458,-0.383,-0.41,-0.344,6.0,3.0,9.0,6.0,True
RP4-568C11.4,-0.847426690267215,down_in_PP,1.52362652510342e-06,73.1008519140677,4,B_moderate,-0.421030242075149,4.04414712836323e-12,4.0,0.494,-0.366,-0.421,0.277,8.0,3.0,8.0,6.0,True
RP11-670E13.5,0.82823091822224,up_in_PP,1.69736716445128e-16,69.7101339722475,4,B_moderate,0.503415118352637,4.55530424513807e-18,4.0,0.416,0.525,0.503,0.379,5.0,5.0,6.0,7.0,True
RP11-471B22.2,0.641754607349901,up_in_PP,4.07424739675701e-11,69.690942259978,4,B_moderate,0.435500613470346,4.96206939521997e-13,4.0,0.497,0.526,0.436,0.456,6.0,5.0,6.0,7.0,True
RP11-299M14.2,-0.568629013149898,down_in_PP,0.0003880635679769,53.325577025834,4,B_moderate,-0.421562746546846,3.75988855052315e-12,4.0,-0.469,-0.209,-0.422,-0.261,6.0,3.0,5.0,3.0,True
RP11-58K22.5,0.537676479318455,up_in_PP,8.96238398678985e-05,63.3092286488006,4,B_moderate,0.46273081906972,6.8030320857776804e-15,4.0,0.651,0.345,-0.499,0.416,9.0,3.0,7.0,5.0,True
RP11-400F19.6,0.412043658438307,up_in_PP,0.0006078670778716,74.0018086739232,4,B_moderate,0.418813252534126,5.5468178209327395e-12,4.0,0.805,0.41,-0.531,0.445,8.0,3.0,7.0,5.0,True
JPX,-0.310021462711574,down_in_PP,0.0006514597105404,57.2669594187027,4,B_moderate,-0.404308198703657,3.96192283939478e-11,4.0,-0.411,-0.149,-0.404,-0.253,7.0,1.0,5.0,4.0,True
CTB-96E2.3,0.264505558288657,up_in_PP,0.000723855922884,59.7850632672504,4,B_moderate,0.426146235393336,1.94752503905923e-12,4.0,0.684,0.294,0.426,0.368,6.0,3.0,7.0,5.0,True
LINC01269,3.90467968971911,up_in_PP,3.81876971209082e-18,76.3203425359405,3,C_significant_but_flagged,0.57519014534194,1.32330855085975e-24,3.0,0.483,0.703,0.575,0.481,9.0,4.0,5.0,7.0,True
LINC01215,3.44377174258544,up_in_PP,1.37237455271284e-07,91.2375165027384,3,C_significant_but_flagged,0.468360159599111,4.87214038208195e-15,3.0,0.351,0.419,0.468,0.386,8.0,4.0,6.0,7.0,True
CTC-327F10.4,-3.08198442214829,down_in_PP,5.85848900528264e-05,95.1044126709718,3,C_significant_but_flagged,-0.441378432066882,3.4635844904463897e-13,3.0,-0.354,-0.465,-0.441,-0.421,8.0,3.0,10.0,6.0,True
CTC-327F10.5,-2.83908534114827,down_in_PP,4.76289755617793e-05,93.0597023129148,3,C_significant_but_flagged,-0.4548267578133,4.33792611471034e-14,3.0,0.301,-0.426,-0.455,-0.397,8.0,3.0,8.0,6.0,True
CTA-363E6.6,2.52925431236127,up_in_PP,8.73847980891031e-14,86.8299048547663,3,C_significant_but_flagged,0.453582259944948,5.27090635697895e-14,3.0,0.466,0.527,0.454,0.455,8.0,5.0,4.0,7.0,True
RP4-681L3.2,2.33092840051594,up_in_PP,6.57693681363584e-05,90.9204500556563,3,C_significant_but_flagged,0.54302460399484,2.66775414355864e-21,3.0,0.438,0.569,0.543,0.504,9.0,4.0,6.0,7.0,True
TRG-AS1,2.27703998075039,up_in_PP,4.40828625072192e-08,87.430245773927,3,C_significant_but_flagged,0.459194127657309,2.16308233859206e-14,3.0,0.313,0.384,0.459,0.27,7.0,5.0,5.0,7.0,True
AC129492.6,2.02646824397642,up_in_PP,2.25924472199725e-11,90.0441037580674,4,C_significant_but_flagged,0.629465021536676,8.47911218630039e-32,4.0,0.563,0.785,0.629,0.533,8.0,5.0,8.0,7.0,True
CTC-518B2.12,1.82066256351206,up_in_PP,8.809906234651e-07,88.205257744758,4,C_significant_but_flagged,0.497323904649013,1.45233260986004e-17,4.0,0.612,0.635,0.497,0.629,8.0,5.0,9.0,7.0,True
RP11-510N19.5,1.7425682301712,up_in_PP,0.0429563120053215,95.6314082070601,3,C_significant_but_flagged,0.562270590153437,3.07505606782086e-23,3.0,0.416,0.588,0.562,0.618,8.0,3.0,9.0,7.0,True
AC006262.4,-1.69160368268393,down_in_PP,2.57816277640846e-08,80.1003165006417,4,C_significant_but_flagged,-0.522069653592622,1.07222086567517e-19,4.0,-0.5,-0.446,-0.522,-0.357,12.0,4.0,6.0,6.0,True
RP11-66B24.8,1.67698065030345,up_in_PP,0.0296695633275999,93.3317882503199,4,C_significant_but_flagged,0.440347793232574,2.37959003934003e-13,4.0,-0.387,0.411,0.44,0.25,10.0,1.0,5.0,5.0,True
SH3PXD2A-AS1,1.61864139919102,up_in_PP,6.45766627312231e-05,94.903796818489,4,C_significant_but_flagged,0.443173808153676,1.5435614100743099e-13,4.0,0.429,0.569,0.443,0.611,7.0,4.0,7.0,7.0,True
RP11-465L10.10,1.52540368478214,up_in_PP,0.0065955943533242,90.8114195413862,4,C_significant_but_flagged,0.407390024540282,2.6292972405701097e-11,4.0,0.487,0.31,0.494,0.409,9.0,3.0,8.0,5.0,True
RP11-350J20.12,1.50224665053264,up_in_PP,6.60723471877583e-05,93.0417255706546,4,C_significant_but_flagged,0.507463045681749,2.07140903395372e-18,4.0,0.687,0.507,0.507,0.605,9.0,4.0,7.0,6.0,True
FAM3D-AS1,1.47062132879788,up_in_PP,0.0026855100041624,81.4873035909467,3,C_significant_but_flagged,0.476871397234819,1.14864409807605e-15,3.0,0.42,0.451,0.477,0.485,8.0,3.0,7.0,5.0,True
CTD-2619J13.13,1.46021277791039,up_in_PP,2.32782815972023e-07,88.7715457224086,4,C_significant_but_flagged,0.451794659036664,3.98245236164032e-14,4.0,0.655,0.596,0.452,0.482,5.0,5.0,7.0,5.0,True
RP11-66B24.4,1.45410090533734,up_in_PP,0.0005945328066493,86.5500473150857,4,C_significant_but_flagged,0.603872519497686,2.04590392629522e-28,4.0,0.509,0.62,0.604,0.423,10.0,3.0,6.0,7.0,True
KB-1460A1.5,-1.43989362691841,down_in_PP,6.17730179761344e-05,93.4852873469435,4,C_significant_but_flagged,-0.460513852725908,9.778382939348331e-15,4.0,-0.356,-0.349,-0.461,-0.39,9.0,3.0,6.0,5.0,True
AC003991.3,1.38092217318879,up_in_PP,0.0184046323391524,94.8820128751667,4,C_significant_but_flagged,0.51680884263861,3.1897773868791e-19,4.0,0.457,0.444,0.605,-0.376,11.0,3.0,8.0,7.0,True
LINC01550,-1.37706720318267,down_in_PP,0.0007549357245026,95.0177491535077,4,C_significant_but_flagged,-0.489549625681211,6.2711577641192e-17,4.0,0.459,-0.557,-0.49,-0.506,10.0,3.0,8.0,7.0,True
RP11-203M5.8,1.37200127532854,up_in_PP,0.01562054495338,97.4904305643093,4,C_significant_but_flagged,0.562710662551274,1.03989600152348e-23,4.0,0.565,0.635,0.563,0.468,10.0,4.0,7.0,7.0,True
BDNF-AS,-1.24575827012782,down_in_PP,1.91752450350207e-14,78.796672465069,4,C_significant_but_flagged,-0.425062152596047,2.28598049955684e-12,4.0,-0.357,-0.317,-0.426,-0.322,8.0,3.0,6.0,6.0,True
RP11-94C24.8,1.18393310516832,up_in_PP,2.63743434633147e-08,82.6519408844808,4,C_significant_but_flagged,0.532555946040846,1.1413424135919501e-20,4.0,0.571,0.454,0.533,0.472,8.0,4.0,6.0,5.0,True
RP11-356I2.4,-1.14550292176578,down_in_PP,7.37807792807546e-05,89.6403887527204,4,C_significant_but_flagged,-0.456181748244434,1.96456010703192e-14,4.0,0.568,-0.405,-0.456,0.322,6.0,4.0,6.0,6.0,True
CTB-147C22.8,1.07355552815842,up_in_PP,0.0006738622213033,87.2683737045529,4,C_significant_but_flagged,0.565203968670107,5.6356448280145405e-24,4.0,0.61,0.593,0.565,0.578,7.0,5.0,7.0,6.0,True
RP11-77H9.5,1.0428556276886,up_in_PP,5.82632694965111e-05,92.2328671344109,4,C_significant_but_flagged,0.41537242359244,8.911897259378919e-12,4.0,0.367,0.382,0.415,0.402,8.0,3.0,9.0,5.0,True
RP11-70C1.3,1.03786617631718,up_in_PP,0.0003176178462632,95.6019997501084,4,C_significant_but_flagged,0.47957936400649,3.7219816700668e-16,4.0,0.555,0.615,0.48,0.487,10.0,5.0,7.0,7.0,True
AC005264.2,1.0310069734675,up_in_PP,0.0059542047497341,95.5689164303468,4,C_significant_but_flagged,0.595858503430043,1.98024310788257e-27,4.0,0.639,0.538,0.596,0.522,9.0,4.0,9.0,7.0,True
RP11-77H9.2,1.00965774025791,up_in_PP,0.0042469470085896,97.025707052071,4,C_significant_but_flagged,0.544875149345006,7.05941741753024e-22,4.0,0.591,0.576,-0.603,0.57,9.0,3.0,9.0,7.0,True
CTD-3203P2.3,0.950175312847111,up_in_PP,0.0271655239875628,91.4401333908386,4,C_significant_but_flagged,0.520116826004536,1.6133947363411802e-19,4.0,-0.349,0.413,0.52,0.391,9.0,3.0,8.0,6.0,True
LINC01137,0.941182004732253,up_in_PP,2.60722855391633e-05,85.9671139847788,4,C_significant_but_flagged,0.418339457146459,5.92906372472352e-12,4.0,0.562,0.427,0.418,0.478,7.0,3.0,8.0,6.0,True
LIPE-AS1,0.860845700202747,up_in_PP,3.46608488460923e-06,90.107523599621,4,C_significant_but_flagged,0.5451367577859,6.67202435933689e-22,4.0,0.569,0.658,0.545,0.53,10.0,5.0,7.0,7.0,True
RP11-640I15.1,0.854999462414674,up_in_PP,4.3217320704499e-05,85.2336285794087,4,C_significant_but_flagged,0.479686705078903,3.65123363898525e-16,4.0,0.455,0.435,0.48,0.397,5.0,3.0,7.0,6.0,True
RP11-498C9.2,0.814855835252261,up_in_PP,4.14547375060427e-09,86.0915996978061,4,C_significant_but_flagged,0.538457737138504,3.0563674539670402e-21,4.0,0.609,0.475,0.538,0.53,7.0,4.0,7.0,5.0,True
RP11-688G15.3,0.794167199705979,up_in_PP,4.3136148003279e-05,92.0934138455453,4,C_significant_but_flagged,0.498862913901759,1.0827287328899e-17,4.0,0.645,0.451,-0.552,0.488,6.0,5.0,6.0,5.0,True
RP11-615I2.2,0.774486410807561,up_in_PP,0.0071581398843071,90.0508047064495,4,C_significant_but_flagged,0.517985665141951,2.50845302800505e-19,4.0,0.524,0.37,0.518,0.319,9.0,3.0,6.0,5.0,True
RP11-186B7.4,0.671460004867972,up_in_PP,0.0005494944289389,95.8446296380388,4,C_significant_but_flagged,0.484424197811714,1.57810357069225e-16,4.0,0.611,0.609,0.484,0.541,8.0,5.0,7.0,7.0,True
RP1-117B12.4,0.670248654353233,up_in_PP,0.0343718009937097,89.3304705407347,4,C_significant_but_flagged,0.53551655093228,5.92538875535349e-21,4.0,0.57,0.365,0.536,0.402,7.0,3.0,7.0,5.0,True
AC068580.6,0.622085162296178,up_in_PP,0.0012174919020401,84.6691683106895,4,C_significant_but_flagged,0.460246174471887,1.01973671349889e-14,4.0,0.731,0.36,0.46,0.471,10.0,3.0,7.0,5.0,True
CCDC18-AS1,-0.569880890981228,down_in_PP,0.0007011102592809,82.0174764440825,4,C_significant_but_flagged,-0.406321502490083,3.03095955560894e-11,4.0,-0.381,-0.289,-0.406,-0.321,7.0,3.0,5.0,6.0,True
RP11-152H18.3,0.557602298681861,up_in_PP,0.011508954882265,91.2134539222566,4,C_significant_but_flagged,0.411798767662864,1.45605460190396e-11,4.0,0.362,0.375,0.44,0.311,9.0,3.0,8.0,6.0,True
LINC00294,-0.541584226005723,down_in_PP,0.0043564359934196,90.0821584650175,4,C_significant_but_flagged,-0.453718309420144,2.92750988425983e-14,4.0,-0.447,-0.305,-0.454,-0.374,5.0,3.0,4.0,5.0,True
RP11-307C12.12,0.539945694998546,up_in_PP,0.048411670167249,95.4435288470881,4,C_significant_but_flagged,0.53868724229051,2.91386591792279e-21,4.0,0.533,0.441,0.539,0.436,9.0,3.0,8.0,7.0,True
RP11-135L13.4,-0.536877618506028,down_in_PP,0.0075987265418573,94.4509583291985,4,C_significant_but_flagged,-0.438915811576378,2.95256615679009e-13,4.0,0.572,-0.337,0.488,-0.383,9.0,3.0,7.0,6.0,True
HLA-F-AS1,-0.495815306870369,down_in_PP,0.0141019379680785,87.4138799191216,4,C_significant_but_flagged,-0.426198626653746,1.93288612030578e-12,4.0,-0.406,-0.354,-0.426,-0.342,7.0,4.0,5.0,7.0,True
INTS6-AS1,-0.493378569893662,down_in_PP,0.0092905399602281,85.4792757422669,4,C_significant_but_flagged,-0.443238677502788,1.52926057129307e-13,4.0,-0.278,-0.291,-0.443,-0.26,8.0,3.0,6.0,7.0,True
FLJ27354,0.419628300549861,up_in_PP,0.0045123468192255,78.958443106339,4,C_significant_but_flagged,0.445852875146572,1.01633055332027e-13,4.0,0.393,0.326,0.446,0.291,8.0,4.0,7.0,7.0,True
CTD-2562J17.9,0.404911817674561,up_in_PP,0.0479631331068402,86.9838754514583,3,C_significant_but_flagged,0.584571332851545,1.1605403296041602e-25,3.0,0.307,0.396,0.585,0.329,8.0,4.0,6.0,5.0,True
NAPA-AS1,0.40472874546883,up_in_PP,0.0007086644371921,80.3428787672729,4,C_significant_but_flagged,0.412134815255085,1.3908878033750798e-11,4.0,0.613,0.49,-0.476,0.58,7.0,4.0,7.0,6.0,True
TPT1-AS1,-0.370822501376493,down_in_PP,0.0374701775068992,91.5860633577073,4,C_significant_but_flagged,-0.40943796723171,1.9955526386388498e-11,4.0,-0.69,-0.463,-0.409,-0.465,6.0,5.0,5.0,5.0,True
NOP14-AS1,0.361501089462248,up_in_PP,0.0111896264212321,93.9901480355483,4,C_significant_but_flagged,0.45208960883052,3.8018532323766e-14,4.0,0.555,0.483,-0.531,0.492,9.0,4.0,7.0,7.0,True
SBF2-AS1,-0.331304768699182,down_in_PP,0.0293579552683848,90.7671295801953,4,C_significant_but_flagged,-0.460426854391927,9.9039176349241e-15,4.0,0.401,-0.435,-0.46,-0.458,8.0,3.0,8.0,7.0,True
ZNF337-AS1,-0.326778149659508,down_in_PP,0.0038859502204098,85.0651064637153,4,C_significant_but_flagged,-0.484894955981335,1.45293373018297e-16,4.0,-0.378,-0.267,-0.485,-0.336,6.0,3.0,7.0,5.0,True
RP11-46A10.5,0.326146221746871,up_in_PP,0.0135017537452073,88.9464184778934,4,C_significant_but_flagged,0.403073252518362,4.67529116483608e-11,4.0,0.508,0.349,0.403,0.385,7.0,3.0,6.0,5.0,True
CTD-3222D19.11,0.26471807820433,up_in_PP,0.0285939406637861,83.3561987499743,4,C_significant_but_flagged,0.508082157601359,1.8358938178197197e-18,4.0,0.42,0.428,0.508,0.323,10.0,4.0,7.0,7.0,True
ABALON,0.252768704119727,up_in_PP,0.0312891987264277,80.7189371234992,4,C_significant_but_flagged,0.591009134650874,7.17990882616476e-27,4.0,0.329,0.385,0.591,0.485,8.0,3.0,6.0,5.0,True
AP001610.5,3.10490957855199,up_in_PP,3.63626927353166e-35,48.8415761635544,4,A_high,0.356704233336806,1.26154711746982e-08,4.0,0.369,0.404,0.714,-0.415,10.0,3.0,4.0,7.0,False
RP11-321G12.1,-1.98278005914506,down_in_PP,3.11263915919951e-17,41.1972383327248,3,A_high,-0.147016155567987,0.0389016170799548,3.0,-0.294,-0.364,-0.211,0.277,6.0,5.0,3.0,2.0,False
RP11-706C16.7,1.90770534764615,up_in_PP,1.19393721117867e-23,37.0203219994352,3,A_high,0.228501994266156,0.0007129716588066,3.0,0.278,0.492,-0.31,0.381,4.0,5.0,8.0,6.0,False
XIST,-1.76039578926664,down_in_PP,0.0071581398843071,0.0,3,A_high,-0.179601653588007,0.00975946347219,3.0,-0.201,,-0.18,,1.0,,1.0,,False
TSIX,-1.66137140198697,down_in_PP,0.007316385599543,0.0,4,A_high,-0.181291185820798,0.0083395228058813,4.0,-0.206,,-0.181,,1.0,,1.0,,False
RP11-670E13.6,1.52274224621881,up_in_PP,3.86960693066732e-15,40.9635159580338,3,A_high,0.0073725674124257,0.939322244750556,3.0,0.529,0.347,-0.452,0.289,6.0,3.0,4.0,4.0,False
RP1-27K12.4,-1.4484053785117,down_in_PP,1.33434593462198e-27,0.0,3,A_high,-0.0707493579297136,0.361748454126202,3.0,0.252,-0.249,-0.19,0.213,5.0,5.0,4.0,2.0,False
SOX2-OT,-1.42414632954649,down_in_PP,4.88037631865758e-37,0.0,3,A_high,-0.281445610219785,1.8263379979363e-05,3.0,-0.381,-0.383,-0.281,-0.304,6.0,3.0,6.0,5.0,False
CH17-140K24.7,-1.41748632307418,down_in_PP,2.6490321330859003e-48,0.0,3,A_high,0.0187648394472232,0.833213472966147,3.0,-0.272,-0.217,-0.196,0.262,6.0,3.0,2.0,3.0,False
RP11-632L2.2,-1.41134949674873,down_in_PP,3.4367446623297504e-20,0.0,3,A_high,-0.081307215297479,0.352062399521743,3.0,-0.329,-0.383,0.22,-0.174,4.0,3.0,2.0,2.0,False
AC016995.3,-1.39553439048098,down_in_PP,1.3083381698351499e-33,0.0,3,A_high,-0.257842089899655,0.0001042757865524,3.0,-0.33,-0.344,-0.258,,4.0,5.0,5.0,,False
RP11-32B5.7,-1.36320401841523,down_in_PP,2.52437737151621e-12,0.0,3,A_high,-0.105678600198156,0.153071954029771,3.0,0.215,,-0.193,,2.0,,2.0,,False
RP11-386B13.4,-1.32244041899412,down_in_PP,6.47126980829177e-17,41.7512429651358,3,A_high,-0.126468898686339,0.0808349409306245,3.0,-0.318,-0.208,-0.333,0.306,5.0,2.0,5.0,1.0,False
RP1-80N2.3,-1.32012254616438,down_in_PP,3.0118558178053604e-31,5.8668698159117,3,A_high,-0.283930246442708,1.50350682497438e-05,3.0,-0.246,-0.219,-0.284,-0.248,5.0,3.0,4.0,4.0,False
LINC01127,1.27338202977949,up_in_PP,5.5337087014028e-22,18.8357564454587,4,A_high,0.25497107178494,0.0001090839600909,4.0,0.286,0.139,0.255,0.207,4.0,1.0,4.0,1.0,False
RP11-535A19.1,-1.26183176792388,down_in_PP,9.93237631322124e-85,0.0,4,A_high,-0.0412170965869775,0.61556913248293,4.0,-0.379,-0.242,-0.418,0.481,8.0,1.0,5.0,3.0,False
RP11-399F4.2,-1.22105224195178,down_in_PP,2.07038358876247e-09,24.4270308623179,3,A_high,-0.218575994984402,0.0012788135855616,3.0,-0.348,-0.223,0.312,-0.157,5.0,2.0,5.0,3.0,False
LINC02158,-1.22071324359836,down_in_PP,5.93457157066861e-07,0.0,3,A_high,0.0841595733122989,0.333521363499165,3.0,0.307,,,0.326,2.0,,,2.0,False
KB-1107E3.1,-1.15105574940849,down_in_PP,2.05260752303777e-24,0.0,3,A_high,-0.22569865297926,0.0008431213761369,3.0,-0.333,-0.329,0.226,-0.185,8.0,5.0,3.0,2.0,False
MIR193BHG,-1.13131463158944,down_in_PP,2.31304402930155e-49,5.18531840553482,4,A_high,-0.315721025287104,7.92759546582837e-07,4.0,-0.36,-0.323,-0.316,-0.264,6.0,4.0,7.0,5.0,False
RP11-473M20.5,1.11793344881006,up_in_PP,2.71770808653536e-53,0.0,4,A_high,0.292075269749366,6.36243619245189e-06,4.0,0.432,0.393,0.601,0.406,6.0,3.0,7.0,5.0,False
LINC00598,-1.11282351568027,down_in_PP,3.56228617859437e-29,0.0,3,A_high,-0.231210892699797,0.0006042723034475,3.0,-0.342,-0.187,-0.231,-0.166,3.0,1.0,2.0,1.0,False
LINC01094,1.1061184878885,up_in_PP,1.49198842499802e-37,27.6715010171308,4,A_high,-0.0126577104088983,0.888242435438126,4.0,0.462,0.464,0.346,0.252,5.0,4.0,7.0,3.0,False
RP11-266K4.14,-1.10007134745279,down_in_PP,2.13387337783392e-25,0.0,3,A_high,-0.1525191167204,0.031409328775786,3.0,-0.436,-0.265,0.285,-0.262,6.0,3.0,7.0,6.0,False
CTD-2620I22.1,-1.09691803869118,down_in_PP,1.06328306344782e-16,0.0,3,A_high,0.008096379453198,0.957414723220762,3.0,0.263,,,,1.0,,,,False
RP11-138I1.3,1.0865483274186,up_in_PP,1.0162003760000199e-16,0.0,3,A_high,0.0431178940396279,0.762987954700751,3.0,-0.401,-0.364,-0.387,,2.0,1.0,3.0,,False
AC034220.3,-1.07971426272466,down_in_PP,5.18578512478523e-27,19.3510020802754,4,A_high,-0.332941539943942,1.5153490863854e-07,4.0,-0.394,-0.394,-0.333,-0.261,4.0,4.0,6.0,7.0,False
RP11-161M6.2,-1.06882560027172,down_in_PP,4.77807912967376e-24,0.0,3,A_high,-0.107080707938632,0.147110701070847,3.0,-0.42,-0.253,-0.398,0.185,9.0,3.0,7.0,2.0,False
RAMP2-AS1,-1.05637594911478,down_in_PP,5.41183710554883e-28,0.0,3,A_high,-0.223558687671274,0.0009575984520081,3.0,-0.4,-0.319,-0.297,-0.236,5.0,5.0,3.0,5.0,False
RP11-968O1.5,-1.05330231656487,down_in_PP,1.0819052489333501e-19,0.0,3,A_high,-0.0743079524935753,0.335504500756971,3.0,-0.285,-0.192,0.228,,5.0,2.0,1.0,,False
RP11-701H24.4,-1.05306071162962,down_in_PP,7.32690197038133e-10,43.2201541073066,4,A_high,-0.107053692572598,0.143116380174584,4.0,-0.22,-0.188,0.31,-0.157,4.0,2.0,1.0,3.0,False
RP11-273G15.2,-1.05270528669426,down_in_PP,4.70924986055306e-13,36.5824257536412,3,A_high,-0.0050108883511078,0.956618813569197,3.0,0.259,,-0.175,,6.0,,1.0,,False
RP11-1391J7.1,-1.05102883978475,down_in_PP,0.0018422135764589,47.3984231577502,3,A_high,-0.149595965795986,0.0465185772186497,3.0,-0.41,-0.315,0.552,-0.188,7.0,2.0,7.0,1.0,False
RP11-263K19.6,1.05095849761573,up_in_PP,3.02474635918399e-17,47.1094192629812,4,A_high,-0.0016601870654552,0.985762070582311,4.0,-0.167,0.194,0.153,-0.153,2.0,2.0,1.0,1.0,False
ACVR2B-AS1,-1.04345721597256,down_in_PP,1.3156478762979e-26,0.0,3,A_high,-0.159965603672908,0.0232731349865346,3.0,-0.338,-0.381,-0.266,0.345,5.0,4.0,5.0,6.0,False
RP11-141M3.6,1.02842726023337,up_in_PP,1.1299641532176099e-40,22.0735421867442,3,A_high,0.336579416708622,1.40120213889167e-07,3.0,0.27,0.349,0.337,0.286,4.0,4.0,6.0,5.0,False
CTC-270D5.1,-1.02595076421358,down_in_PP,1.33308944636588e-20,7.46551337926266,3,A_high,-0.0616221547424893,0.435015262168639,3.0,,,0.227,,,,1.0,,False
RP11-862L9.3,-1.00473328805137,down_in_PP,6.08518781573123e-19,33.1226646932533,4,A_high,-0.100924600764558,0.170429462250793,4.0,-0.249,-0.269,-0.25,0.213,5.0,5.0,1.0,3.0,False
LINC02137,-0.968072613538338,down_in_PP,0.0014011365183787,49.5135920122375,3,A_high,-0.146270436234476,0.0400160993200108,3.0,-0.242,-0.257,-0.205,0.165,4.0,3.0,4.0,1.0,False
RP11-542C16.1,0.956000377903766,up_in_PP,5.5465586567214205e-74,0.0,4,A_high,0.326426386804039,2.86367110881195e-07,4.0,0.517,0.405,-0.338,0.35,6.0,5.0,6.0,5.0,False
RP11-428K3.1,0.945768453987793,up_in_PP,2.58574922083833e-35,6.55906508152886,4,A_high,0.36367410779523,5.81427793545668e-09,4.0,0.511,0.244,0.364,0.357,6.0,3.0,7.0,5.0,False
RP11-46H11.3,-0.928651472651732,down_in_PP,2.49633498002942e-15,0.0,3,A_high,-0.173811790199996,0.0127488317129064,3.0,-0.414,-0.214,0.306,-0.309,4.0,3.0,4.0,5.0,False
RP6-201G10.2,-0.92369522663431,down_in_PP,4.69375509033366e-13,0.0,3,A_high,-0.108650598963853,0.140519747852786,3.0,-0.353,,0.281,,3.0,,7.0,,False
AC012360.6,-0.919032499387465,down_in_PP,2.58089265059187e-08,0.0,3,A_high,-0.248633065799421,0.0309976663034276,3.0,-0.435,-0.411,-0.269,-0.23,3.0,2.0,3.0,1.0,False
