"pooling","study_set_5","study_set_7"
"DL random-effects","+1.25 [0.81, 1.69], p=3.0e-08","+1.21 [0.85, 1.57], p=4.4e-11"
"HKSJ (REML, few-study honest)","+1.21 [-0.11, 2.53], p=0.059","+1.20 [0.54, 1.87], p=0.010"
