gene,ensembl,approvedName,protein_class,logFC,FDR,direction,evidence_rank,pathway_support,in_leading_edge,stat3_target,ot_sm_bucket,ot_sm_bucket_rank,sm_has_ligand,sm_hq_ligand,sm_hq_pocket,sm_mq_pocket,sm_druggable_family,ab_clinical,ot_drug_candidates,chembl_target_id,n_potent_inhib,n_active_inhib,s_effect,s_signif,s_pathway,s_tract,s_chem,s_drugs,s_struct,druggability_score,druggability_rank,disease_axis,on_psoriasis_axis,struct_ready,is_lead
AURKB,ENSG00000178999,aurora kinase B,Enzyme,1.489,1.33285131751699e-17,up,1097,0,False,False,Advanced clinical,5,True,True,False,False,True,False,18,CHEMBL2185,1422,2412,0.0494935783648324,0.05939389341486,0.0,0.8333333333333334,0.7903242203544492,0.8657065876392923,0.5,0.4230931416080353,18,Proliferation,True,True,False
KYNU,ENSG00000115919,kynureninase,Enzyme,4.652,4.01468224351229e-48,up,34,2,True,False,Discovery precedence,3,True,True,False,True,True,False,0,CHEMBL5100,5,5,0.3797640179596951,0.1797376245024427,0.6666666666666666,0.5,0.1950370495304172,0.0,0.75,0.4058304841166884,19,Tryptophan/immunometab,True,True,False
BIRC3,ENSG00000023445,baculoviral IAP repeat containing 3,Enzyme,1.379,1.1487760560601e-73,up,55,2,True,True,Advanced clinical,5,False,True,False,False,True,False,1,CHEMBL5335,189,223,0.0380077268455675,0.2804544036365403,0.6666666666666666,0.8333333333333334,0.5711503756082578,0.2037950470905062,0.25,0.4043227033257719,20,NF-kB/TNF,True,False,False
CXCL10,ENSG00000169245,C-X-C motif chemokine ligand 10,Secreted protein,4.082,1.3394272000415201e-20,up,60,2,True,True,Discovery precedence,3,True,True,True,False,False,True,2,CHEMBL3712964,0,0,0.3202464237235042,0.0712143588863584,0.6666666666666666,0.5,0.0,0.3230075074711545,0.75,0.3974509802331323,21,,False,True,False
CDK1,ENSG00000170312,cyclin dependent kinase 1,Enzyme,1.399,6.08580502904221e-09,up,1636,0,False,False,Advanced clinical,5,True,True,False,False,True,False,12,CHEMBL308,593,1201,0.0400960634854338,0.0252496499581654,0.0,0.8333333333333334,0.6952261838426371,0.7541312866141433,0.5,0.3925034792105049,22,Proliferation,True,True,False
S100A7,ENSG00000143556,S100 calcium binding protein A7,Unclassified,8.11,4.98670435214668e-60,up,13,1,False,False,Discovery precedence,3,True,False,False,True,False,False,0,,0,0,0.7408374229925864,0.2266819181259493,0.3333333333333333,0.5,0.0,0.0,0.5,0.3655525663137794,23,Innate/antimicrobial,True,True,False
FABP5,ENSG00000164687,fatty acid binding protein 5,Auxiliary transport protein,3.385,1.21346474342701e-32,up,148,1,False,False,Discovery precedence,3,True,True,False,True,False,False,0,CHEMBL3674,129,287,0.247467891824162,0.1186990531102229,0.3333333333333333,0.5,0.5298420764666179,0.0,0.75,0.36486915607757,24,,False,True,False
HMOX1,ENSG00000100292,heme oxygenase 1,Enzyme,1.348,6.591301622620219e-116,up,33,2,True,True,Discovery precedence,3,True,True,True,False,False,False,0,CHEMBL2823,1,8,0.0347708050537746,0.4470102044990461,0.6666666666666666,0.5,0.0754506301255842,0.0,0.75,0.3614540450646351,25,,False,True,False
LTB4R,ENSG00000213903,leukotriene B4 receptor,Membrane receptor,1.377,2.36205660980027e-19,up,1248,0,False,False,Advanced clinical,5,True,True,False,False,True,False,4,CHEMBL3911,375,524,0.0377988931815808,0.0662999616649041,0.0,0.8333333333333334,0.6454491193243758,0.4731974454383394,0.5,0.3573307172773322,26,Chemokine/leukocyte,True,True,False
AKR1B10,ENSG00000198074,aldo-keto reductase family 1 member B10,Enzyme,5.748,1.24921493634178e-26,up,103,0,False,False,Discovery precedence,3,True,True,True,False,True,False,0,CHEMBL5983,81,129,0.4942048658243709,0.094991545913676,0.0,0.5,0.4796813048046057,0.0,0.75,0.3504176179345806,27,,False,True,False
LTF,ENSG00000012223,lactotransferrin,Enzyme,5.7,1.1125379734746e-107,up,14,1,True,False,Discovery precedence,3,True,False,True,False,False,False,0,CHEMBL4523161,0,0,0.4891928578886917,0.4145700813594576,0.3333333333333333,0.5,0.0,0.0,0.5,0.3428031241830994,28,Innate/antimicrobial,True,True,False
PARP14,ENSG00000173193,poly(ADP-ribose) polymerase family member 14,Enzyme,1.646,4.42276984262394e-66,up,134,1,True,False,Discovery precedence,3,True,True,True,False,False,False,0,CHEMBL2176777,27,83,0.0658870209877832,0.2505452089897454,0.3333333333333333,0.5,0.3627179581065751,0.0,0.75,0.3279512438293594,29,,False,True,False
TMPRSS11D,ENSG00000153802,transmembrane serine protease 11D,Enzyme,6.933,3.06269361376121e-13,up,40,1,False,False,Discovery precedence,3,False,True,False,False,True,False,0,CHEMBL1795138,27,49,0.6179388117364519,0.042197356638678,0.3333333333333333,0.5,0.3627179581065751,0.0,0.25,0.3273188238819917,30,,False,False,False
ATP1A2,ENSG00000018625,ATPase Na+/K+ transporting subunit alpha 2,Unclassified,-1.79,3.0649519658687803e-97,down,149,0,False,False,Approved drug,6,False,True,False,False,True,False,6,,0,0,0.0809230447948209,0.3734051039251966,0.0,1.0,0.0,0.5721250285404937,0.25,0.3255297639589506,31,,False,False,False
S100A12,ENSG00000163221,S100 calcium binding protein A12,Unclassified,8.802,1.63741833874838e-81,up,4,1,True,False,Druggable pocket,2,False,False,True,False,False,False,0,,0,0,0.813093870731962,0.3113912008908435,0.3333333333333333,0.3333333333333333,0.0,0.0,0.25,0.3245571741719877,32,Innate/antimicrobial,True,True,False
CCL2,ENSG00000108691,C-C motif chemokine ligand 2,Secreted protein,1.744,1.08844768230025e-29,up,113,2,True,True,Discovery precedence,3,False,True,False,False,False,True,1,CHEMBL1649052,32,56,0.0761198705231283,0.1070563451299632,0.6666666666666666,0.5,0.3806027149073869,0.2037950470905062,0.25,0.3141760695495058,33,Chemokine/leukocyte,True,False,False
RRM2,ENSG00000171848,ribonucleotide reductase regulatory subunit M2,Enzyme,1.937,4.56239493658658e-06,up,570,1,False,False,Approved drug,6,False,False,False,False,True,False,10,CHEMBL1954,0,4,0.0962723190978386,0.0139141208055208,0.3333333333333333,1.0,0.0,0.7050150296265741,0.0,0.3136005154894623,34,Proliferation,True,False,False
CCL20,ENSG00000115009,C-C motif chemokine ligand 20,Unclassified,3.425,0.0154127908989544,up,61,3,True,True,Discovery precedence,3,True,False,False,False,False,False,0,,0,0,0.2516445651038947,6.280304775364647e-07,1.0,0.5,0.0,0.0,0.25,0.3127960970823583,35,Th17/IL-17 axis; Chemokine/leukocyte,True,True,False
IL23A,ENSG00000110944,interleukin 23 subunit alpha,Unclassified,1.633,0.003323095773921,up,291,2,True,True,Discovery precedence,3,True,False,False,False,False,True,8,,0,0,0.0645296021718701,0.0026279767311556,0.6666666666666666,0.5,0.0,0.646015014942309,0.25,0.3069524873917523,36,Th17/IL-17 axis,True,True,False
GJB2,ENSG00000165474,gap junction protein beta 2,Unclassified protein,4.057,1.9190633427677e-17,up,150,1,False,False,Discovery precedence,3,True,True,False,True,False,False,0,CHEMBL4295738,0,0,0.3176360029236714,0.0587696921675444,0.3333333333333333,0.5,0.0,0.0,0.75,0.3067268435863661,37,,False,True,False
S100A8,ENSG00000143546,S100 calcium binding protein A8,Unclassified protein,7.763,3.78048122419265e-22,up,31,1,False,False,Discovery precedence,3,True,False,False,False,False,False,0,CHEMBL5725128,0,0,0.7046047822909053,0.0773234776354845,0.3333333333333333,0.5,0.0,0.0,0.25,0.303607678128621,38,Innate/antimicrobial,True,True,False
CCR7,ENSG00000126353,C-C motif chemokine receptor 7,Membrane receptor,2.694,4.16081205718351e-136,up,32,1,True,False,Discovery precedence,3,True,False,False,False,True,False,0,CHEMBL4594,20,27,0.1753158609167797,0.5266572695039122,0.3333333333333333,0.5,0.3314031172602397,0.0,0.25,0.3020241013767185,39,,False,True,False
TNNT2,ENSG00000118194,"troponin T2, cardiac type",Unclassified,-1.828,1.29076215466659e-113,down,78,0,False,False,Advanced clinical,5,True,True,False,False,True,False,1,,0,0,0.084890884410567,0.4379734228189849,0.0,0.8333333333333334,0.0,0.2037950470905062,0.5,0.3006259089163743,40,,False,True,False
CXCR1,ENSG00000163464,C-X-C motif chemokine receptor 1,Membrane receptor,1.172,0.0154184446213615,up,2077,0,False,False,Advanced clinical,5,False,True,False,False,True,False,5,CHEMBL4029,122,231,0.0163934426229508,0.0,0.0,0.8333333333333334,0.5238170940838545,0.5268025545616607,0.25,0.2998585108429262,41,Chemokine/leukocyte,True,False,False
DEFB4A,ENSG00000171711,defensin beta 4A,Unclassified,10.592,4.68930593744309e-07,up,21,0,False,False,Discovery precedence,3,True,False,False,False,False,False,0,,0,0,1.0,0.0178101020586014,0.0,0.5,0.0,0.0,0.25,0.2996372122470321,42,Innate/antimicrobial,True,True,False
STAT3,ENSG00000168610,signal transducer and activator of transcription 3,Transcription factor,1.246,2.19753287372143e-07,up,825,1,True,False,Discovery precedence,3,True,True,False,False,True,False,1,CHEMBL4026,112,430,0.0241202881904563,0.0191080202165086,0.3333333333333333,0.5,0.5145868002834791,0.2037950470905062,0.5,0.2978404359851414,43,JAK-STAT,True,True,True
GZMB,ENSG00000100453,granzyme B,Enzyme,3.948,1.79081128526603e-110,up,30,1,True,False,Druggable pocket,2,False,False,False,True,True,False,0,CHEMBL2316,17,91,0.3062545682363997,0.4255838258932728,0.3333333333333333,0.3333333333333333,0.3146234689352502,0.0,0.25,0.284784030995308,44,,False,True,False
STAT1,ENSG00000115415,signal transducer and activator of transcription 1,Transcription factor,1.862,3.79613668235924e-32,up,142,2,True,True,Discovery precedence,3,False,True,False,False,True,False,0,CHEMBL6101,10,50,0.0884410566983397,0.1167460449669057,0.6666666666666666,0.5,0.2610162955025539,0.0,0.25,0.2787508710620363,45,JAK-STAT,True,False,False
TNFRSF9,ENSG00000049249,TNF receptor superfamily member 9,Membrane receptor,2.878,9.96123906925684e-47,up,122,1,True,False,Discovery precedence,3,True,False,False,False,False,True,2,CHEMBL3712857,2,3,0.1945285580035502,0.1742385211541834,0.3333333333333333,0.5,0.119586419404833,0.3230075074711545,0.25,0.2765350342042595,46,,False,True,False
TMPRSS6,ENSG00000187045,transmembrane serine protease 6,Enzyme,-2.874,1.61094009700847e-91,down,89,0,False,False,Discovery precedence,3,False,True,False,False,False,False,1,CHEMBL1795139,69,91,0.1941108906755769,0.3508487620875956,0.0,0.5,0.4624582658465397,0.2037950470905062,0.25,0.2744922093245608,47,,False,False,False
CTLA4,ENSG00000163599,cytotoxic T-lymphocyte associated protein 4,Surface antigen,3.125,2.21057928611993e-101,up,68,0,False,False,Discovery precedence,3,True,False,False,False,False,True,6,CHEMBL2364164,0,0,0.2203195155058996,0.3897365374720761,0.0,0.5,0.0,0.5721250285404937,0.25,0.2725809007125703,48,,False,True,False
VNN3,ENSG00000293493,"vanin 3, pseudogene ",Unclassified,8.081,3.798963881275559e-185,up,1,1,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0,0.7378093348647802,0.7200183231446551,0.3333333333333333,0.0,0.0,0.0,0.0,0.269207879053019,49,Tryptophan/immunometab,True,False,False
