gene,ensembl,approvedName,protein_class,logFC,FDR,direction,evidence_rank,pathway_support,in_leading_edge,stat3_target,ot_sm_bucket,ot_sm_bucket_rank,sm_has_ligand,sm_hq_ligand,sm_hq_pocket,sm_mq_pocket,sm_druggable_family,ab_clinical,ot_drug_candidates,chembl_target_id,n_potent_inhib,n_active_inhib,s_effect,s_signif,s_pathway,s_tract,s_chem,s_drugs,s_struct,druggability_score,druggability_rank,disease_axis,on_psoriasis_axis,struct_ready,is_lead
SERPINB3,ENSG00000057149,serpin family B member 3,Unclassified,6.342,8.32960547693203e-38,up,38,1,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0,0.5562284640284014,0.1390581662543842,0.3333333333333333,0.0,0.0,0.0,0.0,0.1668081034756383,80,,False,False,False
SPRR2B,ENSG00000196805,small proline rich protein 2B,Unclassified,7.012,9.13960058596247e-11,up,45,1,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0,0.626187741463924,0.0324392150384613,0.3333333333333333,0.0,0.0,0.0,0.0,0.1666064992681216,81,,False,False,False
SERPINB11,ENSG00000206072,serpin family B member 11,Unclassified,6.244,7.17856052658332e-38,up,39,1,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0,0.5459956144930563,0.1393128307541529,0.3333333333333333,0.0,0.0,0.0,0.0,0.1649967502992484,82,,False,False,False
PRSS27,ENSG00000172382,serine protease 27,Enzyme,4.192,6.32626527804343e-223,up,6,0,False,False,Unknown,0,False,False,False,False,False,False,0,CHEMBL6196117,0,0,0.3317322752427692,0.8689776737363959,0.0,0.0,0.0,0.0,0.0,0.1639891303920659,83,,False,False,False
IL19,ENSG00000142224,interleukin 19,Unclassified,8.112,2.3780319432168e-65,up,17,0,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0,0.7410462566565731,0.2476647814501585,0.0,0.0,0.0,0.0,0.0,0.1631080999722021,84,JAK-STAT,True,False,False
CXCL9,ENSG00000138755,C-X-C motif chemokine ligand 9,Unclassified,4.294,2.60678646314089e-05,up,76,2,True,True,Unknown,0,False,False,False,False,False,False,0,,0,0,0.3423827921060875,0.0109296414476234,0.6666666666666666,0.0,0.0,0.0,0.0,0.1629404595528105,85,,False,False,False
SPRR2F,ENSG00000244094,small proline rich protein 2F,Unclassified,6.69,6.74311748572103e-05,up,56,1,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0,0.5925655215620759,0.0093021621148789,0.3333333333333333,0.0,0.0,0.0,0.0,0.1577780533349591,86,,False,False,False
PI3,ENSG00000124102,peptidase inhibitor 3,Unclassified,6.611,0.0002857215676403,up,59,1,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0,0.5843165918346037,0.0068295989395587,0.3333333333333333,0.0,0.0,0.0,0.0,0.1559965384029757,87,Innate/antimicrobial,True,False,False
RDH16,ENSG00000139547,retinol dehydrogenase 16,Unclassified,2.383,6.58297841634332e-172,up,16,1,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0,0.1428422261668581,0.6678183745566445,0.3333333333333333,0.0,0.0,0.0,0.0,0.1558498056568318,88,,False,False,False
PLBD1,ENSG00000121316,phospholipase B domain containing 1,Unclassified,2.05,5.9771883078659605e-173,up,26,1,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0,0.1080714211130834,0.671926649681542,0.3333333333333333,0.0,0.0,0.0,0.0,0.15008405376214,89,,False,False,False
NMI,ENSG00000123609,N-myc and STAT interactor,Unclassified,1.483,6.37351461436693e-195,up,18,1,True,False,Unknown,0,False,False,False,False,False,False,0,,0,0,0.0488670773728725,0.7585619285355975,0.3333333333333333,0.0,0.0,0.0,0.0,0.1498235053513887,90,,False,False,False
DTX3L,ENSG00000163840,deltex E3 ubiquitin ligase 3L,Unclassified,1.487,2.72899828149726e-108,up,135,0,False,False,Druggable pocket,2,False,False,True,False,False,False,0,,0,0,0.0492847447008457,0.4169765181963097,0.0,0.3333333333333333,0.0,0.0,0.25,0.1497417695630427,91,,False,True,False
TNIP3,ENSG00000050730,TNFAIP3 interacting protein 3,Unclassified,7.022,1.0124044000745398e-77,up,24,0,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0,0.6272319097838572,0.2964426564452155,0.0,0.0,0.0,0.0,0.0,0.1484748625345201,92,NF-kB/TNF,True,False,False
LINC01206,ENSG00000242512,long independently transcribed non-coding RNA 1206,Unclassified,5.227,3.00765594380137e-142,up,19,0,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0,0.4398036963558526,0.5508708165122556,0.0,0.0,0.0,0.0,0.0,0.1452691633255241,93,,False,False,False
SPRR2C,ENSG00000229035,small proline rich protein 2C (pseudogene),Unclassified,5.969,0.0004218000838843,up,66,1,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0,0.5172809856948941,0.0061625927392583,0.3333333333333333,0.0,0.0,0.0,0.0,0.1438500885537919,94,,False,False,False
ZC3H12A,ENSG00000163874,zinc finger CCCH-type containing 12A,Unclassified,3.07,1.71881269526147e-13,up,128,2,True,False,Unknown,0,False,False,False,False,False,False,0,,0,0,0.214576589746267,0.043186547833067,0.6666666666666666,0.0,0.0,0.0,0.0,0.1438061718942961,95,NF-kB/TNF,True,False,False
XAF1,ENSG00000132530,XIAP associated factor 1,Unclassified,2.546,2.0496820781045e-27,up,86,2,True,True,Unknown,0,False,False,False,False,False,False,0,,0,0,0.1598621697817688,0.0980865784386681,0.6666666666666666,0.0,0.0,0.0,0.0,0.1405455799733585,96,,False,False,False
SPRR2D,ENSG00000163216,small proline rich protein 2D,Unclassified,5.364,9.29012940192857e-15,up,77,1,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0,0.4541088023389371,0.048183099089865,0.3333333333333333,0.0,0.0,0.0,0.0,0.1375215563117924,97,,False,False,False
DEFB103B,ENSG00000177243,defensin beta 103B,Unclassified,5.334,2.9804155742008997e-12,up,75,1,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0,0.4509762973791375,0.0383010246104587,0.3333333333333333,0.0,0.0,0.0,0.0,0.1357718564814998,98,,False,False,False
SPRR2E,ENSG00000203785,small proline rich protein 2E,Unclassified,4.239,6.71587258616668e-55,up,58,1,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0,0.3366398663464551,0.2064573148885774,0.3333333333333333,0.0,0.0,0.0,0.0,0.1353700537289912,99,,False,False,False
SOCS3,ENSG00000184557,suppressor of cytokine signaling 3,Unclassified,2.163,2.29647935138402e-23,up,131,2,True,True,Unknown,0,False,False,False,False,False,False,0,,0,0,0.1198705231283282,0.0821200328709843,0.6666666666666666,0.0,0.0,0.0,0.0,0.1314310981076172,100,,False,False,False
ARSF,ENSG00000062096,arylsulfatase F,Unclassified,3.502,3.22130464684807e-181,up,23,0,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0,0.2596846611673802,0.7045289133587586,0.0,0.0,0.0,0.0,0.0,0.1312867086131794,101,,False,False,False
LCE3D,ENSG00000163202,late cornified envelope 3D,Unclassified,5.053,1.32840915788915e-12,up,96,1,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0,0.4216351675890153,0.0396847881064596,0.3333333333333333,0.0,0.0,0.0,0.0,0.1306565047387979,102,,False,False,False
SLC26A9,ENSG00000174502,solute carrier family 26 member 9,Transporter,2.979,1.38615889149751e-94,up,49,1,False,False,Unknown,0,False,False,False,False,False,False,0,CHEMBL4523359,0,0,0.2050746580348752,0.3629349982826432,0.3333333333333333,0.0,0.0,0.0,0.0,0.1304656382401947,103,,False,False,False
HEPHL1,ENSG00000181333,hephaestin like 1,Unclassified,5.023,0.0045084016407607,up,130,1,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0,0.4185026626292158,0.002105613828665,0.3333333333333333,0.0,0.0,0.0,0.0,0.1255831529326986,104,,False,False,False
LCE3E,ENSG00000185966,late cornified envelope 3E,Unclassified,4.853,2.39688819077802e-07,up,123,1,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0,0.4007518011903519,0.0189593215851677,0.3333333333333333,0.0,0.0,0.0,0.0,0.1244104428044834,105,,False,False,False
FABP5P7,ENSG00000234964,fatty acid binding protein 5 pseudogene 7,Unclassified,3.457,9.88187987633824e-54,up,94,1,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0,0.2549859037276809,0.2018529689883501,0.3333333333333333,0.0,0.0,0.0,0.0,0.1201198189495846,106,,False,False,False
KLK13,ENSG00000167759,kallikrein related peptidase 13,Enzyme,3.65,3.2430225476830413e-44,up,85,1,False,False,Unknown,0,False,False,False,False,False,False,0,CHEMBL4863,0,1,0.2751383523023911,0.1643312844736238,0.3333333333333333,0.0,0.0,0.0,0.0,0.1192446575512652,107,,False,False,False
AP000439.3,ENSG00000255774,long independently transcribed non-coding RNA 2747,Unclassified,-3.865,8.14487533292593e-141,down,35,0,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0,0.2975879711809544,0.5452219037768061,0.0,0.0,0.0,0.0,0.0,0.1189924632657885,108,,False,False,False
IL7R,ENSG00000168685,interleukin 7 receptor,Unclassified,1.984,8.459646904676592e-110,up,51,1,True,False,Unknown,0,False,False,False,False,False,False,0,,0,0,0.1011799102015244,0.4229250754809574,0.3333333333333333,0.0,0.0,0.0,0.0,0.1189633928939893,109,,False,False,False
IFI27,ENSG00000165949,interferon alpha inducible protein 27,Unclassified,4.563,2.12007810859004e-06,up,143,1,True,False,Unknown,0,False,False,False,False,False,False,0,,0,0,0.3704709199122898,0.015226501077969,0.3333333333333333,0.0,0.0,0.0,0.0,0.1185119457135684,110,,False,False,False
TRIM10,ENSG00000204613,tripartite motif containing 10,Unclassified,4.181,7.30875096290992e-127,up,37,0,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0,0.3305836900908427,0.4902058842737354,0.0,0.0,0.0,0.0,0.0,0.1183297703291999,111,,False,False,False
TMPRSS11A,ENSG00000187054,transmembrane serine protease 11A,Unclassified,5.886,1.08425157696603e-55,up,54,0,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0,0.5086143886394487,0.209580033809977,0.0,0.0,0.0,0.0,0.0,0.116700194012298,112,,False,False,False
OAS2,ENSG00000111335,2'-5'-oligoadenylate synthetase 2,Unclassified,3.923,9.68301772299363e-24,up,118,1,True,False,Unknown,0,False,False,False,False,False,False,0,,0,0,0.3036441474365668,0.0835988488374754,0.3333333333333333,0.0,0.0,0.0,0.0,0.114687808399079,113,,False,False,False
AKR1B10P1,ENSG00000213606,aldo-keto reductase family 1 member B10 pseudogene 1,Unclassified,6.093,9.326679363126059e-36,up,70,0,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0,0.5302286728620654,0.1309786275951235,0.0,0.0,0.0,0.0,0.0,0.1111585964265866,114,,False,False,False
TEX101,ENSG00000131126,testis expressed 101,Unclassified,4.391,2.6493863291093495e-101,up,46,0,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0,0.3525112248094393,0.3894264659266395,0.0,0.0,0.0,0.0,0.0,0.1101831963768958,115,,False,False,False
BATF2,ENSG00000168062,basic leucine zipper ATF-like transcription factor 2,Unclassified,2.973,2.1641190605969e-49,up,87,1,True,False,Unknown,0,False,False,False,False,False,False,0,,0,0,0.2044481570429153,0.1847387623637329,0.3333333333333333,0.0,0.0,0.0,0.0,0.1089693197513727,116,,False,False,False
FAM43A,ENSG00000185112,family with sequence similarity 43 member A,Unclassified,2.002,1.32697749493668e-87,up,64,1,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0,0.1030594131774041,0.3354089645272398,0.3333333333333333,0.0,0.0,0.0,0.0,0.1087997701152015,117,,False,False,False
ACP7,ENSG00000183760,"acid phosphatase 7, tartrate resistant (putative)",Unclassified,3.435,3.70702294619857e-29,up,145,1,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0,0.2526887334238279,0.104957829625849,0.3333333333333333,0.0,0.0,0.0,0.0,0.1080789115713909,118,,False,False,False
GDPD3,ENSG00000102886,glycerophosphodiester phosphodiesterase domain containing 3,Unclassified,2.442,2.4997348109806e-65,up,97,1,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0,0.1490028192544638,0.2475793127517846,0.3333333333333333,0.0,0.0,0.0,0.0,0.1065300249960176,119,,False,False,False
FABP5P11,ENSG00000240122,fatty acid binding protein 5 pseudogene 11,Unclassified,3.329,6.23555899921043e-133,up,43,0,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0,0.2416205492325362,0.5141356081340012,0.0,0.0,0.0,0.0,0.0,0.1051879718379366,120,,False,False,False
AKR1B15,ENSG00000227471,aldo-keto reductase family 1 member B15,Unclassified,5.299,2.86056210423157e-50,up,71,0,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0,0.4473217082593715,0.1882039568562452,0.0,0.0,0.0,0.0,0.0,0.1031023823094363,121,,False,False,False
AADACL3,ENSG00000188984,arylacetamide deacetylase like 3,Unclassified,-6.062,1.16046507096926e-18,down,67,0,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0,0.5269917510702726,0.063574025673418,0.0,0.0,0.0,0.0,0.0,0.1024873982734592,122,,False,False,False
AGR3,ENSG00000173467,"anterior gradient 3, protein disulphide isomerase family member",Unclassified,-5.438,1.4442047661997402e-31,down,93,0,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0,0.4618356479064425,0.1144579942495774,0.0,0.0,0.0,0.0,0.0,0.0968653759331089,123,,False,False,False
C10orf99,ENSG00000188373,G protein-coupled receptor 15 ligand,Unclassified,5.233,1.07765279477971e-39,up,108,0,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0,0.4404301973478124,0.1465030570264287,0.0,0.0,0.0,0.0,0.0,0.0968578023657776,124,,False,False,False
CD7,ENSG00000173762,CD7 molecule,Unclassified,2.069,2.28536057569943e-57,up,129,1,True,False,Unknown,0,False,False,False,False,False,False,0,,0,0,0.1100553409209564,0.2161891334675541,0.3333333333333333,0.0,0.0,0.0,0.0,0.0957526573818786,125,,False,False,False
IL37,ENSG00000125571,interleukin 37,Unclassified,-3.141,1.56701232349015e-118,down,53,0,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0,0.2219901848177926,0.4573561439504496,0.0,0.0,0.0,0.0,0.0,0.0948409705412566,126,,False,False,False
SPINK1,ENSG00000164266,serine peptidase inhibitor Kazal type 1,Unclassified,-3.964,2.5433931362944e-84,down,65,0,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0,0.3079252375482927,0.3224659869860899,0.0,0.0,0.0,0.0,0.0,0.0941224611970235,127,,False,False,False
LCE5A,ENSG00000186207,late cornified envelope 5A,Unclassified,-2.931,1.1802187389635899e-123,down,57,0,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0,0.200062650099196,0.4775563839215394,0.0,0.0,0.0,0.0,0.0,0.09331804308844,128,,False,False,False
CD83,ENSG00000112149,CD83 molecule,Unclassified,1.385,7.07470912761585e-77,up,100,1,True,False,Unknown,0,False,False,False,False,False,False,0,,0,0,0.0386342278375274,0.2931133964561526,0.3333333333333333,0.0,0.0,0.0,0.0,0.0921277685854932,129,,False,False,False
DGAT2L6,ENSG00000184210,diacylglycerol O-acyltransferase 2 like 6,Enzyme,-5.431,6.380235174879515e-19,down,92,0,False,False,Unknown,0,False,False,False,False,False,False,0,CHEMBL5465322,0,0,0.4611047300824893,0.0645983896314766,0.0,0.0,0.0,0.0,0.0,0.0907506581706252,130,,False,False,False
IFIT1,ENSG00000185745,interferon induced protein with tetratricopeptide repeats 1,Unclassified,1.921,1.2285855585787499e-49,up,119,1,True,False,Unknown,0,False,False,False,False,False,False,0,,0,0,0.0946016497859455,0.1857082416689803,0.3333333333333333,0.0,0.0,0.0,0.0,0.0893132859617478,131,,False,False,False
FABP5P10,ENSG00000213201,fatty acid binding protein 5 pseudogene 10,Unclassified,3.331,1.89193318841986e-93,up,72,0,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0,0.2418293828965229,0.3584593678592571,0.0,0.0,0.0,0.0,0.0,0.0865444130644849,132,,False,False,False
IL12RB1,ENSG00000096996,interleukin 12 receptor subunit beta 1,Membrane receptor,1.837,4.54135835404034e-44,up,220,1,True,False,Unknown,0,False,False,False,False,False,False,0,CHEMBL4523226,0,0,0.0858306358985068,0.163754681901439,0.3333333333333333,0.0,0.0,0.0,0.0,0.0851000762899039,133,,False,False,False
AWAT2,ENSG00000147160,acyl-CoA wax alcohol acyltransferase 2,Enzyme,-5.175,9.32897987524071e-17,down,115,0,False,False,Unknown,0,False,False,False,False,False,False,0,CHEMBL2375204,0,0,0.4343740210922001,0.0560618816869944,0.0,0.0,0.0,0.0,0.0,0.0849147495990353,134,,False,False,False
THRSP,ENSG00000151365,thyroid hormone responsive,Unclassified,-4.46,4.69954433993067e-39,down,110,0,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0,0.3597159862169782,0.1439812281111238,0.0,0.0,0.0,0.0,0.0,0.0820266248923909,135,,False,False,False
PM20D1,ENSG00000162877,peptidase M20 domain containing 1,Unclassified,-4.895,1.81120987937024e-21,down,124,0,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0,0.4051373081340712,0.0746405991240297,0.0,0.0,0.0,0.0,0.0,0.0818815873590163,136,,False,False,False
DBX2,ENSG00000185610,developing brain homeobox 2,Unclassified,-3.508,1.95192292335285e-73,down,90,0,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0,0.2603111621593401,0.2795466256305727,0.0,0.0,0.0,0.0,0.0,0.0804016042643499,137,,False,False,False
SERPINA12,ENSG00000165953,serpin family A member 12,Unclassified,-2.378,8.32917123824343e-115,down,62,0,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0,0.1423201420068915,0.4426665142425741,0.0,0.0,0.0,0.0,0.0,0.0787376072703493,138,,False,False,False
WDR72,ENSG00000166415,WD repeat domain 72,Unclassified,-2.534,1.3533355689124e-107,down,80,0,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0,0.158609167797849,0.4142345719444061,0.0,0.0,0.0,0.0,0.0,0.0782577988369415,139,,False,False,False
SEC14L6,ENSG00000214491,SEC14 like lipid binding 6,Unclassified,-4.161,6.68562675354573e-42,down,125,0,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0,0.3284953534509763,0.1552065071790217,0.0,0.0,0.0,0.0,0.0,0.0777539444826583,140,,False,False,False
WFIKKN2,ENSG00000173714,"WAP, follistatin/kazal, immunoglobulin, kunitz and netrin domain containing 2",Unclassified,-3.06,3.15047080616646e-74,down,121,0,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0,0.2135324214263339,0.282669797280174,0.0,0.0,0.0,0.0,0.0,0.0723562115303609,141,,False,False,False
HS3ST6,ENSG00000162040,heparan sulfate-glucosamine 3-sulfotransferase 6,Unclassified,-2.765,1.02805815554914e-84,down,133,0,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0,0.1827294559883053,0.3240171326685592,0.0,0.0,0.0,0.0,0.0,0.071773357998122,142,,False,False,False
ARL11,ENSG00000152213,ARF like GTPase 11,Unclassified,1.459,3.26022049510949e-132,up,69,0,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0,0.0463610734050329,0.5113030945669599,0.0,0.0,0.0,0.0,0.0,0.0697013645609411,143,,False,False,False
CCL3,ENSG00000277632,C-C motif chemokine ligand 3,Unclassified,3.344,5.4735580084806e-57,up,141,0,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0,0.243186801712436,0.2146935079506667,0.0,0.0,0.0,0.0,0.0,0.0695368452623184,144,,False,False,False
CXCL17,ENSG00000189377,C-X-C motif chemokine ligand 17,Unclassified,3.16,1.8008620409495799e-62,up,140,0,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0,0.2239741046256657,0.2363119508925833,0.0,0.0,0.0,0.0,0.0,0.0686727729397298,145,,False,False,False
UPK1B,ENSG00000114638,uroplakin 1B,Unclassified,-3.012,2.29390226106605e-66,down,104,0,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0,0.2085204134906547,0.2516694247522531,0.0,0.0,0.0,0.0,0.0,0.0677340053985882,146,,False,False,False
FLG2,ENSG00000143520,filaggrin 2,Adhesion,-2.54,1.02966734262806e-84,down,95,0,False,False,Unknown,0,False,False,False,False,False,False,0,CHEMBL5724685,0,0,0.1592356687898089,0.3240144543862734,0.0,0.0,0.0,0.0,0.0,0.0675441549085184,147,,False,False,False
SLC46A2,ENSG00000119457,solute carrier family 46 member 2,Unclassified,-2.282,3.704350987086e-91,down,132,0,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0,0.132296126135533,0.3494228570765341,0.0,0.0,0.0,0.0,0.0,0.06574404555358,148,,False,False,False
WFDC12,ENSG00000168703,WAP four-disulfide core domain 12,Unclassified,2.304,1.02966734262806e-84,up,111,0,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0,0.134593296439386,0.3240144543862734,0.0,0.0,0.0,0.0,0.0,0.0631085278854423,149,,False,False,False
PGLYRP4,ENSG00000163218,peptidoglycan recognition protein 4,Unclassified,1.643,3.4459768459786e-105,up,102,0,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0,0.0655737704918033,0.4047481668532521,0.0,0.0,0.0,0.0,0.0,0.0603730587109148,150,,False,False,False
GLT1D1,ENSG00000151948,glycosyltransferase 1 domain containing 1,Unclassified,1.627,1.19141703265682e-102,up,114,0,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0,0.0639031011799102,0.3947379602702173,0.0,0.0,0.0,0.0,0.0,0.0588711134448099,151,,False,False,False
SCEL,ENSG00000136155,sciellin,Unclassified,-1.765,1.38714650782959e-93,down,137,0,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0,0.0783126239949879,0.3589908142547376,0.0,0.0,0.0,0.0,0.0,0.0571751700296663,152,,False,False,False
IL36RN,ENSG00000136695,interleukin 36 receptor antagonist,Unclassified,2.497,3.03333588377393e-12,up,858,0,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0,0.1547457450140962,0.038270885857803,0.0,0.0,0.0,0.0,0.0,0.0324467404054736,153,Innate/antimicrobial,True,False,False
IL12RB2,ENSG00000081985,interleukin 12 receptor subunit beta 2,Unclassified,1.272,0.0025063189029527,up,2157,0,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0,0.0268351258222825,0.0031110156116917,0.0,0.0,0.0,0.0,0.0,0.0052036445214138,154,,False,False,False
