gene,ensembl,approvedName,protein_class,logFC,FDR,direction,evidence_rank,pathway_support,in_leading_edge,stat3_target,ot_sm_bucket,ot_sm_bucket_rank,sm_has_ligand,sm_hq_ligand,sm_hq_pocket,sm_mq_pocket,sm_druggable_family,ab_clinical,ot_drug_candidates,chembl_target_id,n_potent_inhib,n_active_inhib
TMPRSS6,ENSG00000187045,transmembrane serine protease 6,Enzyme,-2.874,1.61094009700847e-91,down,89,0,False,False,Discovery precedence,3,False,True,False,False,False,False,1,CHEMBL1795139,69,91
TNFRSF9,ENSG00000049249,TNF receptor superfamily member 9,Membrane receptor,2.878,9.96123906925684e-47,up,122,1,True,False,Discovery precedence,3,True,False,False,False,False,True,2,CHEMBL3712857,2,3
TNIP3,ENSG00000050730,TNFAIP3 interacting protein 3,Unclassified,7.022,1.0124044000745398e-77,up,24,0,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0
TNNT2,ENSG00000118194,"troponin T2, cardiac type",Unclassified,-1.828,1.29076215466659e-113,down,78,0,False,False,Advanced clinical,5,True,True,False,False,True,False,1,,0,0
TRIM10,ENSG00000204613,tripartite motif containing 10,Unclassified,4.181,7.30875096290992e-127,up,37,0,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0
UPK1B,ENSG00000114638,uroplakin 1B,Unclassified,-3.012,2.29390226106605e-66,down,104,0,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0
VNN3,ENSG00000293493,"vanin 3, pseudogene ",Unclassified,8.081,3.798963881275559e-185,up,1,1,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0
WDR72,ENSG00000166415,WD repeat domain 72,Unclassified,-2.534,1.3533355689124e-107,down,80,0,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0
WFDC12,ENSG00000168703,WAP four-disulfide core domain 12,Unclassified,2.304,1.02966734262806e-84,up,111,0,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0
WFIKKN2,ENSG00000173714,"WAP, follistatin/kazal, immunoglobulin, kunitz and netrin domain containing 2",Unclassified,-3.06,3.15047080616646e-74,down,121,0,False,False,Unknown,0,False,False,False,False,False,False,0,,0,0
XAF1,ENSG00000132530,XIAP associated factor 1,Unclassified,2.546,2.0496820781045e-27,up,86,2,True,True,Unknown,0,False,False,False,False,False,False,0,,0,0
ZC3H12A,ENSG00000163874,zinc finger CCCH-type containing 12A,Unclassified,3.07,1.71881269526147e-13,up,128,2,True,False,Unknown,0,False,False,False,False,False,False,0,,0,0
