gene,degree,betweenness,direction,logFC,protein_class,ot_sm_bucket,community_name,evidence_rank
GBP4,8,1.4005866346819429e-05,up,1.5,,,Interferon / antiviral,848.0
WNT2,8,3.717622684674076e-05,down,-4.903,,,,268.0
GINS3,8,3.435565807847619e-05,up,1.321,,,Cell cycle / proliferation,1905.0
SLAMF6,8,2.5407331283533123e-05,up,1.618,,,Immune / JAK-STAT / chemokine,1203.0
CASP7,8,0.0032757122823875,up,1.134,,,Neuronal / Ca²⁺ signaling,886.0
NOD2,8,0.005148625130499,up,1.739,,,Interferon / antiviral,368.0
HSD3B1,8,0.0020986932227334,down,-3.883,,,,206.0
PYGM,8,0.0107036140221406,down,-1.159,,,Neuronal / Ca²⁺ signaling,2247.0
BLM,8,0.000170889879705,up,1.413,,,Cell cycle / proliferation,1625.0
SLC2A4,8,0.003815769050183,down,-1.505,,,Lipid / metabolism,1877.0
WNT2B,8,3.717622684674076e-05,down,-1.145,,,,2152.0
WNT7B,8,3.717622684674076e-05,down,-1.717,,,,888.0
HASPIN,8,0.0,,,,,Cell cycle / proliferation,
CRY2,8,0.0021855343188694,down,-1.257,,,Lipid / metabolism,1922.0
ADCY2,8,0.0089493764660644,down,-1.573,,,Neuronal / Ca²⁺ signaling,868.0
DLG2,8,0.0157328310878142,down,-1.366,,,,1715.0
MYH11,8,0.0017893901398487,down,-1.539,,,,1299.0
FLG2,8,0.0221895836209161,down,-2.54,Adhesion,Unknown,,95.0
ATP12A,8,0.013040183459927,up,4.085,,,,361.0
SERPINA1,8,0.001486991198285,up,2.601,,,ECM / matrix remodeling,391.0
CNN1,8,0.0084282042053144,down,-1.904,,,,285.0
PLSCR1,8,0.0,up,1.504,,,Interferon / antiviral,254.0
TNNT2,8,0.0024762604463247,down,-1.828,Unclassified,Advanced clinical,,78.0
ARG1,8,0.0076419620170076,up,2.175,,,Neuronal / Ca²⁺ signaling,373.0
KCNA1,8,0.0090505519511042,down,-2.084,,,,1245.0
SGCE,7,0.0048254588790759,down,-1.213,,,Neuronal / Ca²⁺ signaling,1893.0
PNP,7,0.0050901706341339,up,1.448,,,Neuronal / Ca²⁺ signaling,365.0
PIF1,7,0.0001146473922272,up,1.625,,,Cell cycle / proliferation,1384.0
HK2,7,0.0087992052825263,up,1.361,,,Neuronal / Ca²⁺ signaling,807.0
AIM2,7,0.001871057977138,up,3.348,,,Interferon / antiviral,576.0
GRIA4,7,0.0064904286639868,down,-2.867,,,Neuronal / Ca²⁺ signaling,878.0
TG,7,0.0264979037861082,down,-2.168,,,,480.0
NOTUM,7,0.0004141512934752,down,-1.691,,,,1290.0
PPIF,7,0.0106428952218121,up,1.199,,,Lipid / metabolism,2115.0
LMNB1,7,0.0041856894969361,up,1.115,,,Cell cycle / proliferation,2151.0
ACTG2,7,0.0014867408603369,down,-1.774,,,,461.0
AWAT2,7,0.0004253341151365,down,-5.175,Enzyme,Unknown,,115.0
SLAMF7,7,0.0001870903178356,up,1.767,,,Immune / JAK-STAT / chemokine,636.0
PRKCQ,7,0.0027455245869528,up,2.601,,,Immune / JAK-STAT / chemokine,388.0
PPARD,7,0.0044071651271072,up,1.22,,,Lipid / metabolism,1943.0
ACTC1,7,0.0045879644899119,down,-2.301,,,,988.0
GCH1,7,0.0073078477301522,up,1.134,,,Neuronal / Ca²⁺ signaling,749.0
CYP4F8,7,0.0063655555826053,down,-2.372,,,,543.0
CYP2J2,7,0.0119867503712263,down,-1.37,,,,2129.0
PRKN,7,0.0073027234994883,,,,,Neuronal / Ca²⁺ signaling,
MEFV,7,0.002583824628942,up,2.321,Unclassified protein,Discovery precedence,Interferon / antiviral,74.0
FOXA1,7,0.00681438995048,down,-1.649,,,ECM / matrix remodeling,756.0
ITGA7,7,0.0070153254088794,down,-1.016,,,ECM / matrix remodeling,2232.0
GJB2,7,0.0106897537721364,up,4.057,Unclassified protein,Discovery precedence,,150.0
NT5C3A,7,0.0031852461438085,up,1.752,,,Neuronal / Ca²⁺ signaling,450.0
GBP5,7,0.0002208491501902,up,2.658,,,Interferon / antiviral,624.0
PDE6A,7,0.0164184035752476,down,-2.327,,,Neuronal / Ca²⁺ signaling,446.0
PLN,7,0.0142912287615013,down,-1.433,,,,575.0
CLDN16,7,0.003497629295996,down,-1.935,,,,984.0
SFRP5,7,0.0004141512934752,down,-1.984,,,,1079.0
LCE3A,7,3.510688723460632e-06,up,7.678,Unclassified,Unknown,,36.0
CBS,7,0.009119388048971,down,-1.195,,,Neuronal / Ca²⁺ signaling,319.0
ESPN,7,0.0128146709875657,down,-1.154,,,ECM / matrix remodeling,1775.0
APOD,7,0.0016136455871193,down,-1.672,,,Lipid / metabolism,1367.0
NLGN3,7,0.0036485178771916,down,-1.16,,,,440.0
CXCL17,7,0.0,up,3.16,Unclassified,Unknown,Immune / JAK-STAT / chemokine,140.0
SAA2,7,0.0011312306016904,up,2.511,,,Lipid / metabolism,793.0
CLDN23,7,0.0021835592396457,down,-1.757,,,,1717.0
FBLN5,6,0.0013178656477542,down,-1.158,,,ECM / matrix remodeling,2155.0
DEFB4A,6,0.0075926630562185,up,10.592,Unclassified,Discovery precedence,Lipid / metabolism,21.0
SLC26A4,6,0.0033173304872631,up,2.137,,,,227.0
PLCB4,6,0.0082573239450904,down,-1.114,,,Neuronal / Ca²⁺ signaling,2224.0
TYMP,6,0.0041831779995391,up,3.379,,,Neuronal / Ca²⁺ signaling,198.0
TAC1,6,0.0258870431196135,down,-2.935,,,,765.0
PYCARD,6,0.00183033871483,up,1.022,,,Interferon / antiviral,1748.0
CIDEA,6,0.0079192639373502,down,-1.027,,,Lipid / metabolism,1976.0
GPT,6,0.0493646956542122,down,-1.412,,,,1430.0
LEPR,6,0.0026698460322172,down,-1.327,,,Immune / JAK-STAT / chemokine,1845.0
NAMPT,6,0.0134850489726684,up,1.788,,,Neuronal / Ca²⁺ signaling,596.0
F3,6,0.0149358614531251,down,-2.35,,,ECM / matrix remodeling,359.0
ADAM22,6,0.0019733555854154,down,-1.091,,,,2097.0
MYLK,6,0.0037981320806998,down,-1.137,,,,1960.0
CGAS,6,7.004123414430501e-05,,,,,Interferon / antiviral,
PGM5,6,0.0020061831817608,down,-1.399,,,Neuronal / Ca²⁺ signaling,1279.0
MYL9,6,0.0005203398297846,down,-1.145,,,,1178.0
PDE10A,6,0.0031088584704552,,,,,Neuronal / Ca²⁺ signaling,
CBSL,6,0.0050543558208485,down,-1.187,,,Neuronal / Ca²⁺ signaling,707.0
MFAP5,6,0.0020399403574272,down,-1.611,,,ECM / matrix remodeling,1737.0
PLA2G2A,6,0.0076964059160531,up,1.037,Enzyme,Advanced clinical,,344.0
STIL,6,0.0002377899173544,up,1.14,,,Cell cycle / proliferation,2160.0
PYGL,6,0.0040164389819406,up,1.192,,,Neuronal / Ca²⁺ signaling,2117.0
PLAT,6,0.0084056284610509,up,2.212,,,ECM / matrix remodeling,506.0
FST,6,0.0108695409678793,down,-1.109,,,,313.0
AREG,6,0.001011991365799,up,1.815,,,ECM / matrix remodeling,518.0
KRT6A,6,0.0074716602288816,up,3.193,,,,753.0
FUT1,6,0.0101328835968421,up,1.15,,,,2069.0
ATP1A2,6,0.002573222937104,down,-1.79,Unclassified,Approved drug,,149.0
NOS2,6,0.0216772526469218,up,5.196,Enzyme,Advanced clinical,Neuronal / Ca²⁺ signaling,27.0
ATP1B1,6,0.002573222937104,up,1.336,,,,2140.0
TJP3,6,0.0001489712437148,down,-1.092,,,,360.0
BHLHE41,6,0.0001339488923307,down,-1.25,,,Lipid / metabolism,1580.0
CLDN3,6,0.0035984133366045,down,-2.829,,,,914.0
FGF13,6,0.0029118905624261,down,-1.082,,,ECM / matrix remodeling,1550.0
PRDM1,6,4.646214235562669e-05,up,1.162,,,Immune / JAK-STAT / chemokine,1001.0
TNNT1,6,0.0039286750671621,down,-1.71,,,,526.0
CLDN1,6,0.0038895189547425,down,-1.763,,,,1243.0
CYP27A1,6,0.0100130678164697,down,-1.064,,,,1706.0
APOL1,6,1.186980316992924e-05,up,3.194,,,Lipid / metabolism,611.0
MUC16,6,0.0027040125676438,down,-2.611,,,,495.0
TNNT3,6,0.0010133654495186,down,-3.068,,,,648.0
TREM2,6,0.0044171605106596,up,1.452,,,Lipid / metabolism,1798.0
AGTR1,6,0.0039911162992507,down,-1.801,,,ECM / matrix remodeling,729.0
CFH,6,0.001877012851605,down,-1.109,,,Lipid / metabolism,2293.0
PTPN22,6,3.013187416677125e-06,up,1.388,,,Immune / JAK-STAT / chemokine,265.0
MOGAT1,6,6.0379675306629294e-05,down,-3.358,,,Lipid / metabolism,238.0
PACRG,6,0.0030539480976782,down,-1.585,,,Neuronal / Ca²⁺ signaling,519.0
CYP2S1,6,0.000127051114918,up,1.224,,,,1552.0
ENKUR,6,0.0057546297759166,up,4.394,,,Neuronal / Ca²⁺ signaling,160.0
DGAT2,6,0.000632516993001,down,-1.126,,,Lipid / metabolism,217.0
LILRB1,5,0.002782600664913,up,1.536,,,Immune / JAK-STAT / chemokine,1768.0
DTX3L,5,4.923565431839491e-07,up,1.487,Unclassified,Druggable pocket,Interferon / antiviral,135.0
CDH20,5,0.0040681400509268,down,-2.725,,,ECM / matrix remodeling,299.0
MUC6,5,0.0023996586944368,down,-1.213,,,,2153.0
CD207,5,0.0004605319403256,down,-1.202,,,Immune / JAK-STAT / chemokine,1875.0
CLDN8,5,0.0,down,-2.963,,,,774.0
TNNC1,5,0.0,down,-3.44,,,,607.0
UPP1,5,0.0004066413408336,up,2.324,,,Neuronal / Ca²⁺ signaling,517.0
TM4SF19,5,3.4531364493055394e-07,up,1.528,,,Cell cycle / proliferation,1105.0
LIPG,5,5.996529893271263e-05,up,1.804,,,Lipid / metabolism,1376.0
NPR1,5,0.0021173738745761,down,-1.179,,,Neuronal / Ca²⁺ signaling,1398.0
TNNC2,5,0.0,down,-1.368,,,,727.0
SHC2,5,0.0040888417500816,down,-1.05,,,ECM / matrix remodeling,1721.0
MOGAT2,5,5.996529893271263e-05,down,-3.57,,,Lipid / metabolism,419.0
SERPINA5,5,0.0061643785935714,down,-1.593,,,ECM / matrix remodeling,504.0
HMOX1,5,0.0230671408716626,up,1.348,Enzyme,Discovery precedence,,33.0
PNPLA7,5,0.0002662027905571,down,-1.317,,,,1881.0
FBLN1,5,0.0009940661876737,down,-1.135,,,ECM / matrix remodeling,2306.0
FPR2,5,0.0065739002266185,up,2.132,,,Immune / JAK-STAT / chemokine,1292.0
PSME2,5,1.033773722122448e-05,up,1.135,,,Interferon / antiviral,805.0
SGCG,5,0.0060278167809221,down,-1.642,,,Neuronal / Ca²⁺ signaling,1553.0
S100A8,5,0.00223555502895,up,7.763,Unclassified protein,Discovery precedence,Lipid / metabolism,31.0
TGM3,5,0.0002994018582544,up,2.454,,,,167.0
POSTN,5,0.0017652723866869,down,-1.845,,,ECM / matrix remodeling,1419.0
PIP5K1B,5,0.0045522173762413,down,-1.121,,,ECM / matrix remodeling,1909.0
SSPN,5,0.000106302922789,down,-1.313,,,Neuronal / Ca²⁺ signaling,1741.0
HSD11B1,5,0.0071093927759366,down,-3.04,,,,689.0
SYT1,5,0.0080134561718655,down,-1.362,,,,2086.0
CDK5R1,5,0.0001377384309796,up,1.386,,,Cell cycle / proliferation,910.0
SGCA,5,0.000106302922789,down,-1.965,,,Neuronal / Ca²⁺ signaling,279.0
MYO3A,5,0.0012365483395427,down,-3.022,,,ECM / matrix remodeling,259.0
S100A9,5,0.0047963619091814,up,7.94,Unclassified protein,Discovery precedence,Lipid / metabolism,5.0
CSTA,5,0.0002006978713281,up,1.597,,,,1513.0
TNNI2,5,0.0,down,-1.491,,,,1787.0
BHMT,5,0.0010162580570306,down,-1.211,,,Neuronal / Ca²⁺ signaling,932.0
CFAP45,5,0.0,up,1.464,,,Neuronal / Ca²⁺ signaling,1807.0
LMOD1,5,0.0,down,-1.474,,,,330.0
BHMT2,5,0.0010162580570306,down,-1.429,,,Neuronal / Ca²⁺ signaling,1824.0
REN,5,0.0028836505318275,up,3.423,Enzyme,Approved drug,ECM / matrix remodeling,83.0
CACNA2D3,5,0.0012542900522731,up,1.128,,,Neuronal / Ca²⁺ signaling,456.0
CACNA2D2,5,3.3925971077589836e-06,down,-1.689,,,Neuronal / Ca²⁺ signaling,1281.0
SHANK1,5,0.0087299513836382,down,-1.156,,,,1879.0
ANGPTL4,5,0.0011880431372788,up,1.812,,,Lipid / metabolism,1499.0
FXYD1,5,0.0086408604046816,down,-1.754,,,,1574.0
TEKT3,5,0.0,down,-2.364,,,Neuronal / Ca²⁺ signaling,1190.0
FAM166B,5,0.0,down,-1.721,,,Neuronal / Ca²⁺ signaling,306.0
GPIHBP1,5,0.0001588015492944,down,-1.223,,,Lipid / metabolism,777.0
PLA2G3,5,0.0012229442369722,up,1.954,,,,969.0
C5orf49,5,0.0,down,-3.146,,,Neuronal / Ca²⁺ signaling,711.0
RBM20,5,0.0053973725785722,down,-1.309,,,,2112.0
BIRC3,5,0.0014260350145027,up,1.379,Enzyme,Advanced clinical,Interferon / antiviral,55.0
TMPRSS2,5,0.0031103540082304,down,-1.971,,,ECM / matrix remodeling,1255.0
CBX7,5,4.943170195447258e-05,down,-1.043,,,Cell cycle / proliferation,1192.0
SIGLEC9,5,0.0021193975623611,up,1.051,,,,1013.0
ZBTB16,5,0.0052719315311091,down,-2.808,,,ECM / matrix remodeling,798.0
GBA,5,0.002752598784364,up,1.251,,,Neuronal / Ca²⁺ signaling,1132.0
PCSK9,5,0.0005264186537091,up,2.297,,,Lipid / metabolism,401.0
CFB,5,0.0010762734645877,up,2.049,,,Lipid / metabolism,164.0
CARD11,5,0.0003158566956418,up,1.14,,,Immune / JAK-STAT / chemokine,1012.0
FOLH1,5,0.0040625876970816,up,1.864,,,,1390.0
PLA2G2F,5,0.0010408612565757,up,2.142,Enzyme,Discovery precedence,,52.0
FUT3,5,1.3812545797222158e-06,up,3.042,,,,666.0
SOD2,5,0.0028806641220959,up,1.427,,,Lipid / metabolism,292.0
TNFSF10,5,0.0004403354184507,up,1.477,,,Neuronal / Ca²⁺ signaling,741.0
MMP12,5,9.806724919889448e-05,up,5.339,Enzyme,Advanced clinical,ECM / matrix remodeling,28.0
GNG7,5,0.0035544505581371,down,-1.106,,,Immune / JAK-STAT / chemokine,1586.0
TIMP3,5,3.101526112141674e-05,down,-1.268,,,ECM / matrix remodeling,892.0
CARD14,5,0.0064437483635562,up,1.265,,,Immune / JAK-STAT / chemokine,174.0
NR1D1,5,0.0019761558352256,down,-1.273,,,Lipid / metabolism,1752.0
ADRB2,5,0.0061208994462153,down,-1.598,,,ECM / matrix remodeling,1671.0
FUT2,5,1.3812545797222158e-06,up,2.295,,,,560.0
CPEB1,5,8.287527478333295e-08,down,-1.125,,,Cell cycle / proliferation,1677.0
CD24,5,0.0011743084177963,up,1.786,,,Immune / JAK-STAT / chemokine,694.0
RORB,5,8.683087617230468e-05,down,-1.312,,,Lipid / metabolism,1945.0
DHRS9,5,0.0014927042648123,up,1.87,,,,219.0
HK3,5,0.0009777238940411,up,1.167,,,Neuronal / Ca²⁺ signaling,920.0
USP41,4,0.0,up,1.348,,,Interferon / antiviral,755.0
GATM,4,0.0091347719914951,down,-1.072,,,Neuronal / Ca²⁺ signaling,1758.0
SLPI,4,0.0383986817290916,up,1.071,,,ECM / matrix remodeling,701.0
BATF2,4,3.313003504157425e-05,up,2.973,Unclassified,Unknown,Immune / JAK-STAT / chemokine,87.0
ERVFRD-1,4,0.0013908651286596,down,-1.109,,,ECM / matrix remodeling,1130.0
ABO,4,0.0,down,-1.362,,,,731.0
CNTN4,4,0.0040829885376588,down,-2.578,,,,1049.0
KIF4B,4,0.0,up,1.015,,,Cell cycle / proliferation,2300.0
CYP7B1,4,0.0010212328398556,up,1.111,,,,1855.0
GRIK1,4,0.0022225728610508,down,-1.148,,,Neuronal / Ca²⁺ signaling,1935.0
FUT5,4,0.0,up,1.785,,,,1169.0
DIO2,4,0.0035798282183729,up,1.455,,,Lipid / metabolism,674.0
NR3C2,4,0.008193404112356,down,-1.615,,,ECM / matrix remodeling,1319.0
CYP21A2,4,0.0012407640687175,down,-1.916,,,,1532.0
GRIK4,4,0.0024868365174618,down,-1.232,,,Neuronal / Ca²⁺ signaling,1336.0
ALCAM,4,6.214142065034747e-05,down,-1.103,,,Immune / JAK-STAT / chemokine,757.0
EGR2,4,0.0067538457896414,down,-1.108,,,Lipid / metabolism,444.0
MFAP4,4,5.17970467395831e-07,down,-1.055,,,ECM / matrix remodeling,2282.0
PDGFC,4,0.0001690095449815,down,-1.186,,,ECM / matrix remodeling,1602.0
EFNB2,4,5.179704673958309e-06,down,-1.05,,,ECM / matrix remodeling,1501.0
FBN2,4,0.0025571602119715,up,1.718,,,ECM / matrix remodeling,1431.0
NTF3,4,0.0026139208136751,down,-1.845,,,ECM / matrix remodeling,1465.0
EDN3,4,0.0007681388550884,down,-1.505,,,ECM / matrix remodeling,740.0
CNTN2,4,0.0001258732888651,down,-2.269,,,,944.0
TIGAR,4,0.0003659812160708,up,1.047,,,Neuronal / Ca²⁺ signaling,2367.0
AKR1B10,4,0.0032217357233679,up,5.748,Enzyme,Discovery precedence,Neuronal / Ca²⁺ signaling,103.0
GK,4,0.00223898345153,up,1.677,,,Lipid / metabolism,800.0
RDH16,4,5.088961671956082e-06,up,2.383,Unclassified,Unknown,,16.0
ACP5,4,0.0059830436052021,up,1.222,,,Neuronal / Ca²⁺ signaling,2194.0
MYH14,4,0.0018380664239041,down,-2.061,,,,583.0
DDX60L,4,0.0,up,1.607,,,Interferon / antiviral,320.0
SCIN,4,0.002834894769927,down,-2.227,,,ECM / matrix remodeling,1154.0
TGFBI,4,0.0001559088182767,down,-1.04,,,ECM / matrix remodeling,2281.0
FSCN1,4,0.0101404984346939,up,1.019,,,ECM / matrix remodeling,1072.0
NFKBIZ,4,0.002200727764995,up,1.722,,,Immune / JAK-STAT / chemokine,1428.0
UBD,4,2.5489744511870563e-05,up,2.219,,,Immune / JAK-STAT / chemokine,1239.0
PDK4,4,0.0001665971082406,down,-2.157,,,Lipid / metabolism,1265.0
MSMB,4,0.0048848382029796,down,-3.335,,,Neuronal / Ca²⁺ signaling,586.0
TAP1,4,0.0020345879959308,up,1.068,,,Interferon / antiviral,375.0
LRP8,4,0.005799124715284,up,1.54,,,Lipid / metabolism,1565.0
LCE5A,4,8.529324786062552e-06,down,-2.931,Unclassified,Unknown,,57.0
RCC1,4,0.0020362837608226,up,1.078,,,Cell cycle / proliferation,1328.0
UGT2A2,4,5.5595496833819185e-06,down,-3.51,,,,171.0
PSMB10,4,8.295982193361777e-05,up,1.065,,,Interferon / antiviral,978.0
CES1,4,5.17970467395831e-07,down,-1.936,,,,1301.0
CBX2,4,0.0,up,1.036,,,Cell cycle / proliferation,2198.0
MAT1A,4,0.0,down,-1.529,,,Neuronal / Ca²⁺ signaling,1687.0
ABCA4,4,0.0020345879959308,down,-1.256,,,Neuronal / Ca²⁺ signaling,562.0
BLNK,4,0.0001299828995046,up,1.357,,,Immune / JAK-STAT / chemokine,384.0
CYP4F22,4,7.867245681867168e-05,up,1.124,,,,158.0
VTCN1,4,0.0,down,-1.833,,,Immune / JAK-STAT / chemokine,1373.0
FFAR4,4,0.0065133154965386,down,-1.349,,,ECM / matrix remodeling,1870.0
PTAFR,4,0.0036134987065389,up,1.383,,,Immune / JAK-STAT / chemokine,546.0
HTR3A,4,0.0,up,4.233,Ion channel,Approved drug,Neuronal / Ca²⁺ signaling,79.0
ABCA12,4,0.0003275135922321,up,1.077,,,,2350.0
CNGA1,4,0.0028980153646525,down,-1.35,,,Neuronal / Ca²⁺ signaling,2076.0
DSG2,4,0.006568206810622,down,-1.116,,,,211.0
COMP,4,0.0008593032550194,up,1.586,,,ECM / matrix remodeling,684.0
BATF3,4,8.590402382999663e-05,up,1.227,,,Immune / JAK-STAT / chemokine,2127.0
UCHL1,4,0.0012903649760355,down,-1.093,,,Neuronal / Ca²⁺ signaling,937.0
GAP43,4,0.0205576238359736,down,-2.15,,,Neuronal / Ca²⁺ signaling,516.0
SHISA9,4,0.0,down,-2.488,,,Neuronal / Ca²⁺ signaling,860.0
S100A12,4,0.0073288922561892,up,8.802,Unclassified,Druggable pocket,Lipid / metabolism,4.0
SNTB1,4,0.0,down,-2.368,,,Neuronal / Ca²⁺ signaling,1135.0
SORBS2,3,0.00157904118627,down,-1.228,,,Neuronal / Ca²⁺ signaling,1441.0
DUOXA2,3,0.0005087318448155,up,1.076,,,,2222.0
CRYAB,3,0.0007085603342533,down,-1.292,Unclassified protein,Discovery precedence,ECM / matrix remodeling,82.0
RGS9BP,3,0.0101397898697407,down,-2.155,,,Neuronal / Ca²⁺ signaling,412.0
RIMS1,3,0.0003845219306294,down,-2.901,,,,863.0
GDF7,3,0.0056889357925764,down,-1.36,,,,872.0
SCD5,3,0.008613002967595,down,-1.646,,,Lipid / metabolism,1689.0
SERPINA12,3,0.0236605009742023,down,-2.378,Unclassified,Unknown,,62.0
APBA1,3,0.0037375878824508,down,-1.213,,,,2273.0
MYO3B,3,0.0,down,-1.773,,,ECM / matrix remodeling,1321.0
IYD,3,6.906272898611079e-07,down,-2.992,,,,248.0
GDA,3,0.000291224595413,up,4.693,,,Neuronal / Ca²⁺ signaling,276.0
CSF2RB,3,0.0060913326965749,up,1.167,,,,940.0
CTSC,3,6.523954045463843e-05,up,1.017,,,Immune / JAK-STAT / chemokine,1099.0
CST7,3,1.1050036637777726e-06,up,1.727,,,Immune / JAK-STAT / chemokine,1412.0
ACPP,3,0.000533040993595,up,1.183,,,Neuronal / Ca²⁺ signaling,593.0
ADAMTS4,3,2.195208171344236e-06,up,2.294,,,ECM / matrix remodeling,342.0
FOXE1,3,0.0005087318448155,up,3.246,,,,183.0
TMPRSS6,3,0.004067104109992,down,-2.874,Enzyme,Discovery precedence,ECM / matrix remodeling,89.0
FUT7,3,0.0121453715194974,up,1.671,,,Immune / JAK-STAT / chemokine,454.0
PLEK,3,0.004067104109992,up,1.428,,,Neuronal / Ca²⁺ signaling,786.0
LILRB4,3,0.0002687713380258,up,1.575,,,Immune / JAK-STAT / chemokine,1257.0
CST6,3,4.596761344750865e-05,down,-1.774,,,,1372.0
PLA2G4B,3,3.1488050831139964e-05,up,1.997,,,,367.0
PLA2G4D,3,3.1488050831139964e-05,up,4.104,Enzyme,Discovery precedence,,105.0
AMPH,3,0.0020345879959308,down,-1.428,,,,423.0
MYOM2,3,0.0008372395051565,down,-1.395,,,Interferon / antiviral,1949.0
KRT2,3,0.0020345879959308,down,-1.303,,,,1087.0
CATSPERG,3,0.0,down,-1.267,,,Neuronal / Ca²⁺ signaling,558.0
CATSPERB,3,0.0,up,1.134,,,Neuronal / Ca²⁺ signaling,1316.0
SERPINB3,3,0.0020345879959308,up,6.342,Unclassified,Unknown,Lipid / metabolism,38.0
PRKAA2,3,0.0022222322283939,down,-1.205,,,Lipid / metabolism,1109.0
MYOCD,3,8.419467247014038e-05,down,-1.644,,,,459.0
OGN,3,0.0060913326965749,down,-2.066,,,ECM / matrix remodeling,962.0
FBP1,3,0.0,down,-1.601,,,Neuronal / Ca²⁺ signaling,535.0
CASP5,3,0.0,up,4.115,,,Interferon / antiviral,166.0
ADAM23,3,0.0003084701639898,up,2.594,,,,992.0
SLC17A7,3,0.0020345879959308,down,-2.291,,,,1216.0
CASQ2,3,0.0027401065882904,down,-1.772,,,,278.0
F12,3,0.0020345879959308,up,1.15,,,ECM / matrix remodeling,2211.0
F10,3,0.0003130912286558,down,-1.614,,,ECM / matrix remodeling,1325.0
OMD,3,0.0020345879959308,down,-1.62,,,ECM / matrix remodeling,1773.0
EDA,3,0.008119705046897,down,-1.196,,,,2270.0
GJB6,3,0.0001172267940171,up,3.099,,,,237.0
P2RX1,3,0.004067104109992,down,-1.163,,,Neuronal / Ca²⁺ signaling,2309.0
TRPM6,3,0.0110434369689614,up,1.56,,,,1874.0
CLDN17,3,0.0,up,4.039,,,,378.0
IL11RA,3,2.9203668256983997e-06,down,-1.014,,,Immune / JAK-STAT / chemokine,2196.0
ATP6V1B1,3,0.0020345879959308,down,-2.304,,,,1140.0
WEE2,3,0.0,down,-1.082,,,Cell cycle / proliferation,1076.0
CKMT1B,3,0.0040650322281224,up,1.35,,,Neuronal / Ca²⁺ signaling,1638.0
PDZK1,3,0.0056610623691329,down,-1.626,,,ECM / matrix remodeling,1632.0
LAMC3,3,0.0007763028616369,down,-1.544,,,ECM / matrix remodeling,1515.0
IL36RN,3,0.004067104109992,up,2.497,Unclassified,Unknown,Immune / JAK-STAT / chemokine,858.0
CHRNA9,3,0.0040650322281224,up,3.31,,,,552.0
CARNS1,3,0.0020538108128076,down,-1.104,,,Neuronal / Ca²⁺ signaling,1725.0
FOSL1,3,0.0013877452102857,up,2.259,,,Neuronal / Ca²⁺ signaling,493.0
NMI,3,4.806439527460889e-06,up,1.483,Unclassified,Unknown,Interferon / antiviral,18.0
CHRM1,3,0.0020345879959308,down,-2.615,,,Neuronal / Ca²⁺ signaling,1004.0
ZBP1,3,0.002227995251129,up,2.894,,,Interferon / antiviral,346.0
PRLR,3,0.0001720028033855,down,-1.755,,,Immune / JAK-STAT / chemokine,1291.0
CASP10,3,1.9718242431194944e-05,up,1.057,,,Neuronal / Ca²⁺ signaling,874.0
PCARE,3,0.0,,,,,Neuronal / Ca²⁺ signaling,
ABCC9,3,0.0025984481314103,down,-1.102,,,,2227.0
ELOVL3,3,0.0020345879959308,down,-3.319,,,Lipid / metabolism,380.0
B3GALT5,3,0.0,down,-2.0,,,,1177.0
TIMP4,3,0.0,down,-1.786,,,ECM / matrix remodeling,1400.0
IL18RAP,3,0.0020345879959308,up,1.817,,,Immune / JAK-STAT / chemokine,229.0
MUC4,3,0.0,up,3.744,,,,194.0
HAL,3,0.0013798585961891,up,1.889,,,Neuronal / Ca²⁺ signaling,1395.0
CNTFR,3,0.0004198345029561,down,-2.266,,,Immune / JAK-STAT / chemokine,582.0
LDLR,3,0.0,up,1.002,,,Lipid / metabolism,1009.0
GPD1,3,0.0007485510566665,down,-3.429,,,Lipid / metabolism,566.0
CNFN,3,0.0,up,2.814,,,,190.0
C1QB,3,0.0007352814225159,up,1.002,,,Lipid / metabolism,1008.0
FABP5,3,0.0033010086361963,up,3.385,Auxiliary transport protein,Discovery precedence,Lipid / metabolism,148.0
PIP,3,0.000236666831384,down,-2.501,,,ECM / matrix remodeling,472.0
NRXN3,3,3.495798723326784e-05,down,-1.408,,,,1982.0
TREM1,3,0.0012178352329077,up,1.924,,,Lipid / metabolism,699.0
HSPB2,3,0.0016251041752759,down,-1.187,,,ECM / matrix remodeling,706.0
BTC,3,0.0,down,-3.293,,,ECM / matrix remodeling,677.0
MSH5,3,5.610702075887847e-07,,,,,Cell cycle / proliferation,
MERTK,3,8.148755649744786e-05,down,-1.614,,,Immune / JAK-STAT / chemokine,1324.0
NETO1,3,0.004038505196339,down,-2.678,,,Neuronal / Ca²⁺ signaling,902.0
EPHB1,3,0.0020345879959308,down,-1.061,,,ECM / matrix remodeling,2213.0
SCN7A,3,0.0040650322281224,down,-2.047,,,Neuronal / Ca²⁺ signaling,1215.0
GDPD3,2,0.0073045648454761,up,2.442,Unclassified,Unknown,Neuronal / Ca²⁺ signaling,97.0
SERPINB4,2,0.0,up,8.73,Unclassified,Unknown,Lipid / metabolism,22.0
SAA2-SAA4,2,0.0,up,2.27,,,Lipid / metabolism,828.0
ELF3,2,1.7265682246527697e-07,up,2.197,,,,1199.0
RGS6,2,0.0060913326965749,down,-1.62,,,Neuronal / Ca²⁺ signaling,1727.0
GRXCR2,2,0.0,down,-1.965,,,ECM / matrix remodeling,1202.0
LOXL4,2,0.0,down,-1.685,,,ECM / matrix remodeling,468.0
