gene,degree,betweenness,direction,logFC,protein_class,ot_sm_bucket,community_name,evidence_rank
CDC6,40,0.0028581650499598,up,1.445,,,Cell cycle / proliferation,1570.0
GZMB,39,0.0147733262942405,up,3.948,Enzyme,Druggable pocket,Immune / JAK-STAT / chemokine,30.0
IL7R,39,0.0082983544598283,up,1.984,Unclassified,Unknown,Immune / JAK-STAT / chemokine,51.0
CDCA2,39,0.0003169317575653,up,1.171,,,Cell cycle / proliferation,2185.0
MX1,38,0.0014919100275943,up,3.29,,,Interferon / antiviral,216.0
IFI44,38,0.000775624528381,up,3.332,,,Interferon / antiviral,207.0
OAS1,37,0.000629962761294,up,2.471,Unclassified,Discovery precedence,Interferon / antiviral,126.0
CD28,37,0.0036675824832484,up,1.76,,,Immune / JAK-STAT / chemokine,266.0
EGF,37,0.0867748201354405,down,-1.581,,,ECM / matrix remodeling,1686.0
CXCR3,37,0.0005986408164893,up,1.578,,,Immune / JAK-STAT / chemokine,501.0
CD80,37,0.0039634400274952,up,2.622,,,Immune / JAK-STAT / chemokine,415.0
IFI44L,37,0.0006697681823304,up,2.404,,,Interferon / antiviral,186.0
SKA1,37,5.75934394992613e-05,up,1.442,,,Cell cycle / proliferation,1742.0
RSAD2,36,0.0004358920731193,up,3.26,,,Interferon / antiviral,203.0
OAS2,36,0.0008321659493108,up,3.923,Unclassified,Unknown,Interferon / antiviral,118.0
IFIT1,36,0.0008037280005223,up,1.921,Unclassified,Unknown,Interferon / antiviral,119.0
CD274,35,0.005946623686278,up,2.605,,,Immune / JAK-STAT / chemokine,192.0
TK1,35,0.0081095958205141,up,1.279,,,Cell cycle / proliferation,1710.0
XAF1,34,0.0003163689978222,up,2.546,Unclassified,Unknown,Interferon / antiviral,86.0
OASL,34,0.0005527620809262,up,4.055,,,Interferon / antiviral,170.0
MMP9,34,0.0415287726878283,up,1.787,Enzyme,Advanced clinical,ECM / matrix remodeling,290.0
LCK,34,0.0099422671474973,up,1.905,,,Immune / JAK-STAT / chemokine,620.0
SPC25,33,2.658188261045537e-05,up,1.338,,,Cell cycle / proliferation,1987.0
FOXP3,33,0.004637408944371,up,1.527,,,Immune / JAK-STAT / chemokine,688.0
ICOS,32,0.0007365634552696,up,2.904,Unclassified protein,Unknown,Immune / JAK-STAT / chemokine,44.0
SKA3,32,2.197149920416112e-05,up,1.345,,,Cell cycle / proliferation,2073.0
ITGAX,31,0.0103794648110026,up,1.295,,,Immune / JAK-STAT / chemokine,2190.0
CCL4,31,0.0010621453230963,up,3.466,,,Immune / JAK-STAT / chemokine,261.0
IRF9,31,0.0018928252848185,up,1.44,,,Interferon / antiviral,457.0
KNL1,30,8.443006338795667e-06,up,1.155,,,Cell cycle / proliferation,2209.0
USP18,30,0.0006208337483284,up,1.798,,,Interferon / antiviral,544.0
PDCD1,30,0.0016787566127926,up,2.354,,,Immune / JAK-STAT / chemokine,226.0
OAS3,30,0.0002122740361813,up,2.058,,,Interferon / antiviral,469.0
RAD51AP1,30,0.0001045803605798,up,1.08,,,Cell cycle / proliferation,1426.0
SELL,30,0.0096209109686863,up,1.673,,,Immune / JAK-STAT / chemokine,746.0
IRF1,30,0.0042484397745209,up,1.44,,,Interferon / antiviral,159.0
PARP9,29,0.0008737147931917,up,2.191,,,Interferon / antiviral,622.0
CD247,29,0.0011340965912945,up,1.491,,,Immune / JAK-STAT / chemokine,533.0
APOE,29,0.0535202344415968,down,-1.412,,,Lipid / metabolism,1918.0
MX2,29,0.0005569333860357,up,1.528,,,Interferon / antiviral,157.0
DDX60,28,0.0006576568818693,up,1.043,,,Interferon / antiviral,1026.0
CXCR2,28,0.0012596354427393,up,2.416,Membrane receptor,Advanced clinical,Immune / JAK-STAT / chemokine,243.0
CKAP2L,28,1.1497849494223394e-05,up,1.017,,,Cell cycle / proliferation,2346.0
CENPN,28,2.72233218967454e-05,up,1.086,,,Cell cycle / proliferation,1716.0
GBP1,28,0.0004286847305119,up,2.062,,,Interferon / antiviral,477.0
CCR1,28,0.0012082165423082,up,1.047,,,Immune / JAK-STAT / chemokine,536.0
CD3E,28,0.001179685222284,up,1.484,,,Immune / JAK-STAT / chemokine,702.0
TLR2,28,0.0253451045149649,up,1.142,,,Immune / JAK-STAT / chemokine,970.0
CXCL11,27,0.0006108042557075,up,3.184,Unclassified,Discovery precedence,Immune / JAK-STAT / chemokine,117.0
IL2RA,27,0.0053089867791192,up,2.157,Membrane receptor,Unknown,Immune / JAK-STAT / chemokine,50.0
CCL20,27,0.0003949677698216,up,3.425,Unclassified,Discovery precedence,Immune / JAK-STAT / chemokine,61.0
CCL3,27,0.0006992365280111,up,3.344,Unclassified,Unknown,Immune / JAK-STAT / chemokine,141.0
IFI6,27,0.0001140741598031,up,3.36,,,Interferon / antiviral,397.0
LAG3,27,0.000890309302658,up,1.684,,,Immune / JAK-STAT / chemokine,376.0
CXCL13,27,0.0003173342140702,up,5.544,Unclassified,Unknown,Immune / JAK-STAT / chemokine,25.0
CCL19,26,0.000128798418826,up,1.214,,,Immune / JAK-STAT / chemokine,896.0
CCL17,26,0.0001182897463524,up,1.144,,,Immune / JAK-STAT / chemokine,462.0
TACC3,26,4.361243544023417e-05,up,1.105,,,Cell cycle / proliferation,1892.0
SHCBP1,26,1.5032644933563053e-05,up,1.405,,,Cell cycle / proliferation,1433.0
EPSTI1,26,0.0002717261323301,up,2.41,,,Interferon / antiviral,393.0
CCL22,26,0.00033100547454,up,1.678,,,Immune / JAK-STAT / chemokine,609.0
GZMA,26,0.0028801167123721,up,2.575,,,Immune / JAK-STAT / chemokine,449.0
HERC5,25,7.555388781205797e-05,up,1.073,,,Interferon / antiviral,2138.0
HERC6,25,3.9884222712679434e-05,up,3.019,,,Interferon / antiviral,173.0
CXCR1,25,0.0004877678027499,up,1.172,Membrane receptor,Advanced clinical,Immune / JAK-STAT / chemokine,2077.0
CMPK2,25,0.016035824651289,up,2.779,,,Interferon / antiviral,260.0
CCRL2,25,0.0035342558442399,up,1.45,,,Immune / JAK-STAT / chemokine,845.0
CD38,25,0.0341012693588396,up,3.033,,,Immune / JAK-STAT / chemokine,321.0
JAK3,24,0.0060058525626432,up,1.545,Enzyme,Approved drug,Immune / JAK-STAT / chemokine,738.0
CXCL2,24,0.0007096765251488,up,2.286,,,Immune / JAK-STAT / chemokine,228.0
RTP4,24,5.6028763032319e-06,up,2.627,,,Interferon / antiviral,356.0
TROAP,24,0.0001941027912467,up,1.406,,,Cell cycle / proliferation,1517.0
TIGIT,24,0.0007307040191751,up,2.079,,,Immune / JAK-STAT / chemokine,172.0
CD36,23,0.0614705762747992,up,1.84,,,Lipid / metabolism,687.0
KIF18B,23,0.0001371343191734,up,1.078,,,Cell cycle / proliferation,2326.0
CCND1,23,0.0388275661801657,down,-1.011,,,ECM / matrix remodeling,1095.0
CALML3,23,0.0751465480418277,up,1.847,,,Neuronal / Ca²⁺ signaling,1144.0
CCL27,23,3.0774710508914575e-05,down,-2.587,,,Immune / JAK-STAT / chemokine,900.0
IFI27,23,2.957589545624277e-05,up,4.563,Unclassified,Unknown,Interferon / antiviral,143.0
IDO1,23,0.0048547369053252,up,3.086,Enzyme,Advanced clinical,Immune / JAK-STAT / chemokine,48.0
CD34,22,0.0097836178611792,down,-1.356,,,Immune / JAK-STAT / chemokine,813.0
CKS2,22,2.232418278297717e-05,up,1.408,,,Cell cycle / proliferation,1527.0
ASF1B,22,0.0003234731507707,up,1.287,,,Cell cycle / proliferation,1531.0
APOB,22,0.0396915826841916,down,-1.242,,,Lipid / metabolism,736.0
GZMK,22,0.0070690287248118,up,1.074,,,Immune / JAK-STAT / chemokine,525.0
CDC25A,22,0.0011528189295911,up,1.654,,,Cell cycle / proliferation,505.0
MYBL2,21,0.0004232372212386,up,1.684,,,Cell cycle / proliferation,1235.0
IFITM3,21,0.0001094747468934,up,1.222,,,Interferon / antiviral,976.0
CD3D,21,0.0001522782170355,up,1.759,,,Immune / JAK-STAT / chemokine,682.0
ERCC6L,21,0.002081688784305,up,1.222,,,Cell cycle / proliferation,2234.0
TNFRSF9,21,0.0022133531781087,up,2.878,Membrane receptor,Discovery precedence,Immune / JAK-STAT / chemokine,122.0
UBE2T,21,2.674500613764821e-05,up,1.323,,,Cell cycle / proliferation,1063.0
CYP2E1,21,0.0332170997685237,up,1.166,,,,2016.0
FASLG,20,0.00883167438173,up,1.758,,,Immune / JAK-STAT / chemokine,295.0
GTSE1,20,0.0020727351447359,up,1.313,,,Cell cycle / proliferation,1926.0
KLRD1,20,0.000640627246272,up,1.075,,,Immune / JAK-STAT / chemokine,751.0
SPC24,20,1.270368779677162e-05,up,1.074,,,Cell cycle / proliferation,1797.0
DEPDC1B,19,6.591531001789656e-06,up,1.579,,,Cell cycle / proliferation,1635.0
IFITM1,19,9.190846113351296e-07,up,1.706,,,Interferon / antiviral,748.0
SPRR1B,19,0.0136777026499105,up,3.361,,,,534.0
SH2D1A,19,0.0021403736039902,up,1.53,,,Immune / JAK-STAT / chemokine,223.0
CD3G,19,0.0001527059954403,up,1.79,,,Immune / JAK-STAT / chemokine,679.0
CAMK2A,18,0.0491599879747173,down,-1.09,,,Neuronal / Ca²⁺ signaling,1929.0
ELN,18,0.0087846395644903,down,-1.521,,,ECM / matrix remodeling,1885.0
DCN,18,0.027150279393725,down,-1.411,,,ECM / matrix remodeling,1621.0
KPNA2,18,0.0080095556782011,up,1.624,,,Cell cycle / proliferation,1284.0
KLRB1,18,0.0059042110875883,up,1.746,,,Immune / JAK-STAT / chemokine,286.0
CCL26,18,2.2662478954821226e-05,down,-1.567,,,Immune / JAK-STAT / chemokine,1831.0
ITGAL,17,0.0034509493045903,up,1.278,,,Immune / JAK-STAT / chemokine,588.0
UBE2L6,17,0.0025979308730687,up,1.614,,,Interferon / antiviral,334.0
ITK,17,0.0028278728980088,up,1.281,,,Immune / JAK-STAT / chemokine,430.0
IL2RG,17,0.0014911038147848,up,1.076,,,Immune / JAK-STAT / chemokine,241.0
CD48,17,0.0001640086268839,up,1.161,,,Immune / JAK-STAT / chemokine,945.0
PARP14,17,0.0001658084431103,up,1.646,Enzyme,Discovery precedence,Interferon / antiviral,134.0
CYP3A4,17,0.0118282130246776,down,-1.955,,,,605.0
SPRR1A,17,0.0073538046139392,up,2.705,,,,917.0
SPP1,17,0.0127695072595092,up,1.484,,,ECM / matrix remodeling,662.0
LOR,17,0.0083446502982064,down,-1.824,,,,669.0
LCE3D,16,0.0010109634786248,up,5.053,Unclassified,Unknown,,96.0
IL4R,16,0.0016130062710742,up,1.34,,,Immune / JAK-STAT / chemokine,946.0
NKG7,16,0.0017478307372732,up,1.725,,,Immune / JAK-STAT / chemokine,1549.0
ISG20,16,8.473799785734514e-07,up,1.337,,,Interferon / antiviral,732.0
TIMELESS,16,0.0092055238173849,up,1.038,,,Cell cycle / proliferation,1657.0
PDGFRA,16,0.0117302744616331,down,-1.003,,,ECM / matrix remodeling,2093.0
ADIPOQ,15,0.0497124032858693,down,-1.799,,,Lipid / metabolism,460.0
SAMD9,15,1.5390278732631916e-05,up,2.404,,,Interferon / antiviral,882.0
PPARGC1A,15,0.0241629789542439,down,-1.96,,,Lipid / metabolism,621.0
CLSPN,15,0.0014448027792715,up,1.231,,,Cell cycle / proliferation,2091.0
IVL,15,0.006113070054217,up,1.82,,,,710.0
CAMK2B,15,0.0331840206258964,down,-2.602,Enzyme,Discovery precedence,Neuronal / Ca²⁺ signaling,109.0
UHRF1,15,1.0601121578625882e-05,up,1.235,,,Cell cycle / proliferation,1921.0
SGO2,15,2.1195722450980297e-07,up,1.084,,,Cell cycle / proliferation,1585.0
FLNC,15,0.0418966354424773,down,-1.016,,,ECM / matrix remodeling,2339.0
SPRR2B,15,0.0041808826482678,up,7.012,Unclassified,Unknown,,45.0
ACKR2,15,5.001694117086884e-05,up,2.371,,,Immune / JAK-STAT / chemokine,862.0
LYN,15,0.0273458531689248,up,1.751,,,Immune / JAK-STAT / chemokine,681.0
LPL,15,0.0184245675953645,down,-1.139,,,Lipid / metabolism,2005.0
ENPP3,15,0.0406761815864911,down,-1.051,,,Neuronal / Ca²⁺ signaling,2266.0
IL12RB1,14,0.0002631649959543,up,1.837,Membrane receptor,Unknown,Immune / JAK-STAT / chemokine,220.0
SOCS3,14,0.0014526599412116,up,2.163,Unclassified,Unknown,Immune / JAK-STAT / chemokine,131.0
GATA3,14,0.0095820882654916,down,-1.531,,,ECM / matrix remodeling,1603.0
CD6,14,0.0022818720601264,up,1.325,,,Immune / JAK-STAT / chemokine,1633.0
CDC25B,14,0.0006176291088537,up,1.039,,,Cell cycle / proliferation,2371.0
UBE2S,14,0.0024005582830703,up,1.089,,,Cell cycle / proliferation,1644.0
HPGDS,13,0.0054522667667959,down,-1.68,,,,1691.0
POLE2,13,0.0001276415121716,up,1.012,,,Cell cycle / proliferation,1612.0
FCGR1A,13,0.0036251688209268,up,1.932,,,Immune / JAK-STAT / chemokine,264.0
LTF,13,0.0106978510952401,up,5.7,Enzyme,Discovery precedence,ECM / matrix remodeling,14.0
CDKN2A,13,0.0039679565380968,up,1.056,,,Cell cycle / proliferation,975.0
GRIN2A,13,0.0282386629612413,down,-1.972,,,Neuronal / Ca²⁺ signaling,935.0
ORC1,13,0.0001165464499536,up,1.235,,,Cell cycle / proliferation,1588.0
TNFRSF4,13,3.616941676113206e-06,up,1.632,,,Immune / JAK-STAT / chemokine,697.0
