"project","external_id","sra.study_title","sra.experiment_title","sra.sample_attributes","sra.experiment_attributes"
"SRP086612","SRR4174899","Dual role of Act1 in keratinocyte differentiation and host defense: TRAF3IP2 silencing alters keratinocyte differentiation while inhibiting IL-17 responses","GSM2302879: CTL_CTL_Batch2_336_11040; Homo sapiens; RNA-Seq","batch id;;2|source_name;;keratinocyte|tetracycline;;TET(-)|treatment;;control","GEO Accession;;GSM2302879"
"SRP086612","SRR4174900","Dual role of Act1 in keratinocyte differentiation and host defense: TRAF3IP2 silencing alters keratinocyte differentiation while inhibiting IL-17 responses","GSM2302880: CTL_IL17_Batch2_336_11041; Homo sapiens; RNA-Seq","batch id;;2|source_name;;keratinocyte|tetracycline;;TET(-)|treatment;;IL17","GEO Accession;;GSM2302880"
"SRP086612","SRR4174903","Dual role of Act1 in keratinocyte differentiation and host defense: TRAF3IP2 silencing alters keratinocyte differentiation while inhibiting IL-17 responses","GSM2302883: TET_CTL_Batch2_336_11044; Homo sapiens; RNA-Seq","batch id;;2|source_name;;keratinocyte|tetracycline;;TET(+)|treatment;;control","GEO Accession;;GSM2302883"
"SRP086612","SRR4174907","Dual role of Act1 in keratinocyte differentiation and host defense: TRAF3IP2 silencing alters keratinocyte differentiation while inhibiting IL-17 responses","GSM2302887: CTL_CTL_Batch3_336_11056; Homo sapiens; RNA-Seq","batch id;;3|source_name;;keratinocyte|tetracycline;;TET(-)|treatment;;control","GEO Accession;;GSM2302887"
"SRP086612","SRR4174914","Dual role of Act1 in keratinocyte differentiation and host defense: TRAF3IP2 silencing alters keratinocyte differentiation while inhibiting IL-17 responses","GSM2302894: TET_IL17TNF_Batch3_336_11063; Homo sapiens; RNA-Seq","batch id;;3|source_name;;keratinocyte|tetracycline;;TET(+)|treatment;;IL17+TNF","GEO Accession;;GSM2302894"
"SRP086612","SRR4174901","Dual role of Act1 in keratinocyte differentiation and host defense: TRAF3IP2 silencing alters keratinocyte differentiation while inhibiting IL-17 responses","GSM2302881: CTL_TNF_Batch2_336_11042; Homo sapiens; RNA-Seq","batch id;;2|source_name;;keratinocyte|tetracycline;;TET(-)|treatment;;TNF","GEO Accession;;GSM2302881"
"SRP086612","SRR4174902","Dual role of Act1 in keratinocyte differentiation and host defense: TRAF3IP2 silencing alters keratinocyte differentiation while inhibiting IL-17 responses","GSM2302882: CTL_IL17TNF_Batch2_336_11043; Homo sapiens; RNA-Seq","batch id;;2|source_name;;keratinocyte|tetracycline;;TET(-)|treatment;;IL17+TNF","GEO Accession;;GSM2302882"
"SRP086612","SRR4174904","Dual role of Act1 in keratinocyte differentiation and host defense: TRAF3IP2 silencing alters keratinocyte differentiation while inhibiting IL-17 responses","GSM2302884: TET_IL17_Batch2_336_11045; Homo sapiens; RNA-Seq","batch id;;2|source_name;;keratinocyte|tetracycline;;TET(+)|treatment;;IL17","GEO Accession;;GSM2302884"
"SRP086612","SRR4174905","Dual role of Act1 in keratinocyte differentiation and host defense: TRAF3IP2 silencing alters keratinocyte differentiation while inhibiting IL-17 responses","GSM2302885: TET_TNF_Batch2_336_11046; Homo sapiens; RNA-Seq","batch id;;2|source_name;;keratinocyte|tetracycline;;TET(+)|treatment;;TNF","GEO Accession;;GSM2302885"
"SRP086612","SRR4174906","Dual role of Act1 in keratinocyte differentiation and host defense: TRAF3IP2 silencing alters keratinocyte differentiation while inhibiting IL-17 responses","GSM2302886: TET_IL17TNF_Batch2_336_11047; Homo sapiens; RNA-Seq","batch id;;2|source_name;;keratinocyte|tetracycline;;TET(+)|treatment;;IL17+TNF","GEO Accession;;GSM2302886"
"SRP086612","SRR4174908","Dual role of Act1 in keratinocyte differentiation and host defense: TRAF3IP2 silencing alters keratinocyte differentiation while inhibiting IL-17 responses","GSM2302888: CTL_IL17_Batch3_336_11057; Homo sapiens; RNA-Seq","batch id;;3|source_name;;keratinocyte|tetracycline;;TET(-)|treatment;;IL17","GEO Accession;;GSM2302888"
"SRP086612","SRR4174909","Dual role of Act1 in keratinocyte differentiation and host defense: TRAF3IP2 silencing alters keratinocyte differentiation while inhibiting IL-17 responses","GSM2302889: CTL_TNF_Batch3_336_11058; Homo sapiens; RNA-Seq","batch id;;3|source_name;;keratinocyte|tetracycline;;TET(-)|treatment;;TNF","GEO Accession;;GSM2302889"
"SRP086612","SRR4174910","Dual role of Act1 in keratinocyte differentiation and host defense: TRAF3IP2 silencing alters keratinocyte differentiation while inhibiting IL-17 responses","GSM2302890: CTL_IL17TNF_Batch3_336_11059; Homo sapiens; RNA-Seq","batch id;;3|source_name;;keratinocyte|tetracycline;;TET(-)|treatment;;IL17+TNF","GEO Accession;;GSM2302890"
"SRP086612","SRR4174911","Dual role of Act1 in keratinocyte differentiation and host defense: TRAF3IP2 silencing alters keratinocyte differentiation while inhibiting IL-17 responses","GSM2302891: TET_CTL_Batch3_336_11060; Homo sapiens; RNA-Seq","batch id;;3|source_name;;keratinocyte|tetracycline;;TET(+)|treatment;;control","GEO Accession;;GSM2302891"
"SRP086612","SRR4174912","Dual role of Act1 in keratinocyte differentiation and host defense: TRAF3IP2 silencing alters keratinocyte differentiation while inhibiting IL-17 responses","GSM2302892: TET_IL17_Batch3_336_11061; Homo sapiens; RNA-Seq","batch id;;3|source_name;;keratinocyte|tetracycline;;TET(+)|treatment;;IL17","GEO Accession;;GSM2302892"
"SRP086612","SRR4174913","Dual role of Act1 in keratinocyte differentiation and host defense: TRAF3IP2 silencing alters keratinocyte differentiation while inhibiting IL-17 responses","GSM2302893: TET_TNF_Batch3_336_11062; Homo sapiens; RNA-Seq","batch id;;3|source_name;;keratinocyte|tetracycline;;TET(+)|treatment;;TNF","GEO Accession;;GSM2302893"
"SRP086612","SRR4174915","Dual role of Act1 in keratinocyte differentiation and host defense: TRAF3IP2 silencing alters keratinocyte differentiation while inhibiting IL-17 responses","GSM2302895: CTL_CTL_Batch4_425_13587; Homo sapiens; RNA-Seq","batch id;;4|source_name;;keratinocyte|tetracycline;;TET(-)|treatment;;control","GEO Accession;;GSM2302895"
"SRP086612","SRR4174916","Dual role of Act1 in keratinocyte differentiation and host defense: TRAF3IP2 silencing alters keratinocyte differentiation while inhibiting IL-17 responses","GSM2302896: CTL_IL17_Batch4_425_13588; Homo sapiens; RNA-Seq","batch id;;4|source_name;;keratinocyte|tetracycline;;TET(-)|treatment;;IL17","GEO Accession;;GSM2302896"
"SRP086612","SRR4174917","Dual role of Act1 in keratinocyte differentiation and host defense: TRAF3IP2 silencing alters keratinocyte differentiation while inhibiting IL-17 responses","GSM2302897: CTL_TNF_Batch4_425_13589; Homo sapiens; RNA-Seq","batch id;;4|source_name;;keratinocyte|tetracycline;;TET(-)|treatment;;TNF","GEO Accession;;GSM2302897"
"SRP086612","SRR4174918","Dual role of Act1 in keratinocyte differentiation and host defense: TRAF3IP2 silencing alters keratinocyte differentiation while inhibiting IL-17 responses","GSM2302898: CTL_IL17TNF_Batch4_425_13590; Homo sapiens; RNA-Seq","batch id;;4|source_name;;keratinocyte|tetracycline;;TET(-)|treatment;;IL17+TNF","GEO Accession;;GSM2302898"
"SRP086612","SRR4174919","Dual role of Act1 in keratinocyte differentiation and host defense: TRAF3IP2 silencing alters keratinocyte differentiation while inhibiting IL-17 responses","GSM2302899: TET_CTL_Batch4_425_13591; Homo sapiens; RNA-Seq","batch id;;4|source_name;;keratinocyte|tetracycline;;TET(+)|treatment;;control","GEO Accession;;GSM2302899"
