"project","external_id","sra.study_title","sra.experiment_title","sra.sample_attributes","sra.experiment_attributes"
"SRP086612","SRR4174920","Dual role of Act1 in keratinocyte differentiation and host defense: TRAF3IP2 silencing alters keratinocyte differentiation while inhibiting IL-17 responses","GSM2302900: TET_IL17_Batch4_425_13592; Homo sapiens; RNA-Seq","batch id;;4|source_name;;keratinocyte|tetracycline;;TET(+)|treatment;;IL17","GEO Accession;;GSM2302900"
"SRP086612","SRR4174921","Dual role of Act1 in keratinocyte differentiation and host defense: TRAF3IP2 silencing alters keratinocyte differentiation while inhibiting IL-17 responses","GSM2302901: TET_TNF_Batch4_425_13593; Homo sapiens; RNA-Seq","batch id;;4|source_name;;keratinocyte|tetracycline;;TET(+)|treatment;;TNF","GEO Accession;;GSM2302901"
"SRP086612","SRR4174922","Dual role of Act1 in keratinocyte differentiation and host defense: TRAF3IP2 silencing alters keratinocyte differentiation while inhibiting IL-17 responses","GSM2302902: TET_IL17TNF_Batch4_425_13594; Homo sapiens; RNA-Seq","batch id;;4|source_name;;keratinocyte|tetracycline;;TET(+)|treatment;;IL17+TNF","GEO Accession;;GSM2302902"
"SRP086612","SRR4174923","Dual role of Act1 in keratinocyte differentiation and host defense: TRAF3IP2 silencing alters keratinocyte differentiation while inhibiting IL-17 responses","GSM2302903: CTL_CTL_Batch5_425_13595; Homo sapiens; RNA-Seq","batch id;;5|source_name;;keratinocyte|tetracycline;;TET(-)|treatment;;control","GEO Accession;;GSM2302903"
"SRP086612","SRR4174924","Dual role of Act1 in keratinocyte differentiation and host defense: TRAF3IP2 silencing alters keratinocyte differentiation while inhibiting IL-17 responses","GSM2302904: CTL_IL17_Batch5_425_13596; Homo sapiens; RNA-Seq","batch id;;5|source_name;;keratinocyte|tetracycline;;TET(-)|treatment;;IL17","GEO Accession;;GSM2302904"
"SRP086612","SRR4174925","Dual role of Act1 in keratinocyte differentiation and host defense: TRAF3IP2 silencing alters keratinocyte differentiation while inhibiting IL-17 responses","GSM2302905: CTL_TNF_Batch5_425_13597; Homo sapiens; RNA-Seq","batch id;;5|source_name;;keratinocyte|tetracycline;;TET(-)|treatment;;TNF","GEO Accession;;GSM2302905"
"SRP086612","SRR4174926","Dual role of Act1 in keratinocyte differentiation and host defense: TRAF3IP2 silencing alters keratinocyte differentiation while inhibiting IL-17 responses","GSM2302906: CTL_IL17TNF_Batch5_425_13598; Homo sapiens; RNA-Seq","batch id;;5|source_name;;keratinocyte|tetracycline;;TET(-)|treatment;;IL17+TNF","GEO Accession;;GSM2302906"
"SRP086612","SRR4174927","Dual role of Act1 in keratinocyte differentiation and host defense: TRAF3IP2 silencing alters keratinocyte differentiation while inhibiting IL-17 responses","GSM2302907: TET_CTL_Batch5_425_13599; Homo sapiens; RNA-Seq","batch id;;5|source_name;;keratinocyte|tetracycline;;TET(+)|treatment;;control","GEO Accession;;GSM2302907"
"SRP086612","SRR4174928","Dual role of Act1 in keratinocyte differentiation and host defense: TRAF3IP2 silencing alters keratinocyte differentiation while inhibiting IL-17 responses","GSM2302908: TET_IL17_Batch5_425_13600; Homo sapiens; RNA-Seq","batch id;;5|source_name;;keratinocyte|tetracycline;;TET(+)|treatment;;IL17","GEO Accession;;GSM2302908"
"SRP086612","SRR4174929","Dual role of Act1 in keratinocyte differentiation and host defense: TRAF3IP2 silencing alters keratinocyte differentiation while inhibiting IL-17 responses","GSM2302909: TET_TNF_Batch5_425_13601; Homo sapiens; RNA-Seq","batch id;;5|source_name;;keratinocyte|tetracycline;;TET(+)|treatment;;TNF","GEO Accession;;GSM2302909"
"SRP086612","SRR4174930","Dual role of Act1 in keratinocyte differentiation and host defense: TRAF3IP2 silencing alters keratinocyte differentiation while inhibiting IL-17 responses","GSM2302910: TET_IL17TNF_Batch5_425_13602; Homo sapiens; RNA-Seq","batch id;;5|source_name;;keratinocyte|tetracycline;;TET(+)|treatment;;IL17+TNF","GEO Accession;;GSM2302910"
