"collection","pathway","NES","ES","padj","pval","size","leadingEdge"
"GO:BP","GOBP_ENDOCRINE_PANCREAS_DEVELOPMENT",-1.26983670330402,-0.375491489502441,0.252259663902418,0.143187066974596,29,"NKX6-2;GATA6;BMP4;HES1;CDH2;BMP6;SIDT2;PAX6;SMO;RFX3;SOX4;BMP5"
"GO:BP","GOBP_POSITIVE_REGULATION_OF_GTPASE_ACTIVITY",1.21837287011219,0.310862947599479,0.252259663902418,0.143094841930116,75,"EZH2;RGS1;RASGRP1;ARHGAP11A;ECT2;NDEL1;USP6NL;RALGAPA2;RHOG;ARHGAP11B;RANGAP1;DOCK10;TBC1D7;RGP1;DOCK8;BCR;SEMA4D;SH3BP1;ADCYAP1;PIP5K1A;ZC3H15;TBC1D2;ABR;TGM2;RALBP1;ITGA6;SCRIB;THY1;RIC1"
"GO:BP","GOBP_REGULATION_OF_MYOTUBE_DIFFERENTIATION",-1.24494556960387,-0.35832795951057,0.252259663902418,0.143192488262911,33,"BCL2;BHLHE41;MYOCD;PLPP7;CYP26B1;SIK1;TBX1;DMPK;SHOX2;HDAC5;MAMSTR;HDAC9;RBM24;TMEM119;NACA"
"GO:BP","GOBP_REGULATION_OF_TRANSLATION_IN_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS",1.30481793534271,0.532601825923302,0.252259663902418,0.143137254901961,10,"SESN2;EIF2S1;EIF4G1;DDX3X"
"GO:BP","GOBP_NEGATIVE_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_DISASSEMBLY",-1.18399168481745,-0.281791228252968,0.253373313343328,0.143920595533499,79,"SCIN;TMOD1;SPTAN1;SPTBN1;LMOD1;GSN;DMTN;MAP1B;ADD2;FGF13;EPS8;VILL;WDR47;ADD3;SVIL;SPTBN4;ASB2;TTBK2;APC2;BBOF1"
"GO:BP","GOBP_REGULATION_OF_NEURON_APOPTOTIC_PROCESS",1.16835022335179,0.256800160219654,0.253373313343328,0.143928035982009,222,"CDK5R1;LCN2;CASP4;SOD2;STAT3;PLA2G3;CASP7;PCSK9;CASP10;CASP5;NR4A3;MCL1;CCL2;KIF14;CCL3;AGAP2;HIF1A;CASP1;ZPR1;HYOU1;DNAJC5;CASP8;AIMP2;ATF4;FASLG;MAP2K4;ADAM8;EPHA4;XRCC2;FPR2"
"GO:BP","GOBP_POSITIVE_REGULATION_OF_SMOOTH_MUSCLE_CELL_MIGRATION",-1.25478317563507,-0.369087136958413,0.253736378439314,0.144186046511628,30,"BCL2;FOXO4;IGFBP5;LPAR1;ITGB3;PDGFB;FGF9;PDGFD;DOCK7;NRP1;DOCK4;DDR2;PDGFRB;MDK;ADAMTS1;IGF1;DOCK5;SEMA6D"
"GO:BP","GOBP_POSITIVE_REGULATION_OF_COLD_INDUCED_THERMOGENESIS",-1.171459444174,-0.270807317972136,0.253852444864467,0.144303797468354,94,"ACADL;ADRB2;PDGFC;THRA;GATM;PRLR;LEPR;LETMD1;CAV1;PPARGC1A;ADRB1;FFAR4;YBX2;PRKAB2;ELOVL3;ESRRG;MFAP2;LPIN1;ACSL1;EBF2"
"GO:BP","GOBP_NEUROBLAST_PROLIFERATION",-1.19030317123345,-0.309880920005636,0.254244102351278,0.144578313253012,52,"ID4;SOX5;PTN;NDE1;FGFR1;FGF13;SOX10;NUMBL;GLI3;DAGLA;PAX6;SMO;CTNNB1;EML1;VEGFC;DOCK7;FGFR2"
"GO:BP","GOBP_CELLULAR_RESPONSE_TO_REACTIVE_NITROGEN_SPECIES",1.28969999924913,0.474228642443445,0.25425566425925,0.144688644688645,14,"CCNA2;MAP3K5;CDK2;AIFM1;CFLAR;HNRNPD;TRAF2;PTPN1"
"GO:BP","GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_DEGRANULATION",1.27426506855331,0.408775436163315,0.25425566425925,0.144642857142857,24,"SYK;PLA2G3;CD177;VAMP8;ADORA2B;FGR;STX4;ITGB2;FCER1G;AP1G1;HLA-F"
"GO:BP","GOBP_ADAPTIVE_THERMOGENESIS",-1.15086277190784,-0.243388239621736,0.254584177445328,0.144927536231884,156,"SLC25A4;ACADL;ADRB2;PDGFC;HOXC10;THRA;GATM;PRLR;LEPR;LETMD1;CAV1;ZNF423;PPARGC1A;ABHD6;ADRB1;FFAR4;YBX2;PRKAB2;NOVA1;NR1D1;TRPV4;ELOVL3;ESRRG;NR1H3;MFAP2;LPIN1;ACSL1;EBF2;CKB;DDIT3"
"GO:BP","GOBP_EXPLORATION_BEHAVIOR",-1.26790671679253,-0.374920791311065,0.255400616740671,0.145496535796767,29,"ATP1A2;CRHR1;APOE;CHL1;TUBA1A;ABAT;CRBN"
"GO:BP","GOBP_NEUROEPITHELIAL_CELL_DIFFERENTIATION",-1.2652626821836,-0.374138948660733,0.255400616740671,0.145496535796767,29,"BMP4;MAP1B;HES1;CDH2;CTNNB1;WNT11;MSX1;SOX4;NFE2L1;TMEM231;NODAL;FGF2;INSM1"
"GO:BP","GOBP_REGULATION_OF_TYPE_2_IMMUNE_RESPONSE",1.24976565071321,0.387418070914075,0.255964415180557,0.145869947275923,29,"NOD2;ARG1;IDO1;RSAD2;TBX21;IL6;CD86;DENND1B;ANXA1;ARG2;NLRP3;CCR2;XCL1;ASCL2;CD74;IL27RA;IL33"
"GO:BP","GOBP_CATECHOLAMINE_UPTAKE",-1.31818790683941,-0.479185901709997,0.256424106026507,0.146236559139785,13,"RAB3B;SNCA;SLC6A2;DRD4;GDNF;DRD1;MAPK15;DRD2"
"GO:BP","GOBP_POSITIVE_REGULATION_OF_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY",1.23344911835693,0.336076138555241,0.256424106026507,0.146218487394958,50,"WNT5A;EZH2;RASGRP1;LTF;S100A12;CEMIP;PIM1"
"GO:BP","GOBP_POSITIVE_REGULATION_OF_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MITOCHONDRION",1.25683961610902,0.373151590252853,0.256442692905281,0.146299483648881,35,"GZMB;FZD5;NPEPPS;RAC2;UBE2L3;UBE2D3;SREBF2;ATG13;UBE2J2;SAE1;TOMM70;ARIH2;UBL5;HTRA2;MAPK8;GSK3A"
"GO:BP","GOBP_REGULATION_OF_EXTRACELLULAR_MATRIX_DISASSEMBLY",1.27625993295733,0.428177121117923,0.256656415004193,0.146473779385172,21,"HPSE;STAT3;FSCN1;IL6;PDPN;CARMIL2"
"GO:BP","GOBP_PORPHYRIN_CONTAINING_COMPOUND_METABOLIC_PROCESS",1.2304859426766,0.346648185795474,0.256824411480168,0.146690518783542,45,"ABCC1;COX10;HMOX1;HMOX2;UGT1A4;UGT1A1;ALAS1;HMBS;ABCB6;UROS"
"GO:BP","GOBP_POSITIVE_REGULATION_OF_MACROPHAGE_DERIVED_FOAM_CELL_DIFFERENTIATION",1.26768214245458,0.443801584685104,0.256824411480168,0.146690518783542,17,"PLA2G3;NFKB1;PRKCH;CD36;IL1B"
"GO:BP","GOBP_REGULATION_OF_RECEPTOR_CLUSTERING",-1.28524826271571,-0.434356088847575,0.256824411480168,0.146726862302483,17,"GSN;LRP4;LARGE1;CD81;LAMC1;ZDHHC2;SHISA6;DAG1;GIT1;LAMA1"
"GO:BP","GOBP_MAINTENANCE_OF_GASTROINTESTINAL_EPITHELIUM",1.28831078927017,0.457939083612594,0.257220165730284,0.147005444646098,16,"NOD2;IL17A;STRAP;MUC4;SERPINA3;IL10RA;VSIG1"
"GO:BP","GOBP_MACROPINOCYTOSIS",1.29050649961586,0.50938126821534,0.257424952369388,0.147227533460803,11,"MAPKAPK3;PYCARD;MAPKAPK2;DOCK2"
"GO:BP","GOBP_TRIF_DEPENDENT_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY",1.28697798489969,0.507988513276425,0.257424952369388,0.147227533460803,11,"CD274;TRAF3;CD300LF;IKBKB;MAP3K7;TLR6;TICAM1;IRF3"
"GO:BP","GOBP_EPITHELIAL_TUBE_BRANCHING_INVOLVED_IN_LUNG_MORPHOGENESIS",-1.25311952612007,-0.377507368309239,0.257565256806514,0.147465437788018,27,"SPRY2;WNT2;WNT2B;BMP4;SPRY1;FOXA1;CTNNB1;CTSH;FGFR2;DAG1;DLG5;HOXA5;SOX9;LAMA1"
"GO:BP","GOBP_REGULATION_OF_CELL_MIGRATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS",-1.24980521522669,-0.339226621945167,0.257565256806514,0.147392290249433,41,"TGFBR3;GREM1;GATA2;SRPX2;MEOX2;STARD13;MMRN2;RHOJ;TBXA2R;AKT3;FOXC2;ITGB1BP1;HDAC5;HDAC9;NRP1;MAP2K5;KDR;KLF4;MMRN1"
"GO:BP","GOBP_RESPONSE_TO_ELECTRICAL_STIMULUS",-1.24072916722336,-0.373774722155375,0.257565256806514,0.147465437788018,27,"NEUROD2;TACR2;PALM;TACR1;AKAP12;P2RX7;MSTN;GRIA1;MMP2;PRICKLE1;GHRL;BRD1;RAB3A;TRIM63;FZD3"
"GO:BP","GOBP_RNA_DECAPPING",1.24608812296845,0.38627806462266,0.25775631220718,0.147627416520211,29,"NOCT;ZFP36;PATL1;PNRC2;LSM2;LSM1;CAPRIN1;LSM4;LSM7;LSM5;LSM6;DCP2"
"GO:BP","GOBP_REGULATION_OF_POSTSYNAPTIC_SPECIALIZATION_ASSEMBLY",-1.28648918126366,-0.428908609876927,0.25797622102472,0.147806004618938,19,"ARHGEF9;FGFR1;CBLN1;PTPRS;GAP43;PTK2B;LRFN1;PRICKLE1;SPTBN2;LRRC4B"
"GO:BP","GOBP_CARDIAC_MUSCLE_CELL_MEMBRANE_REPOLARIZATION",-1.23434816801636,-0.352290049743537,0.258172886162871,0.147971360381862,34,"CASQ2;KCNH2;CACNA2D1;SCN5A;KCNE1;SNTA1;CACNA1D;SCN2B;KCNJ8;NOS1;NOS1AP;ANK2;SCN1B;FLNA;KCNIP2"
"GO:BP","GOBP_PROTEIN_CONTAINING_COMPLEX_LOCALIZATION",1.21136950770418,0.301493123313211,0.25828186711353,0.148086522462562,86,"KIF2C;LMNB1;BIRC5;RAN;NETO2;RALB;LMNB2;RCC2;AKIRIN2;OLFM1;RAB8A;ADAM10;STX3;WASL;RALGAPA2;RAB11A;GRIP2;SEH1L;AP3D1;EXOC3;NDC1;SLC1A1"
