statistic,source,condition,score,p_value,padj,rank,axis
ulm,FOXM1,PPvsNN,3.90892032317877,9.29586627626361e-05,0.00113409568570416,59,FALSE
ulm,STAT4,PPvsNN,3.83794988661928,0.00012437689575918,0.00146844980154387,60,FALSE
ulm,HCFC1,PPvsNN,3.81116296082358,0.000138652336214543,0.00158623306310417,61,FALSE
ulm,AHR,PPvsNN,3.81110106122781,0.000138687043768671,0.00158623306310417,62,FALSE
ulm,EP300,PPvsNN,3.7705431849481,0.00016327468715694,0.00183872416921354,63,FALSE
ulm,RARA,PPvsNN,3.74633384823152,0.000179848560082723,0.00199468403000839,64,FALSE
ulm,STOX1,PPvsNN,3.73826042555387,0.000185718742207523,0.00202904655665533,65,FALSE
ulm,STAT6,PPvsNN,3.73363471136655,0.000189162779565275,0.00203628168590855,66,FALSE
ulm,CEBPG,PPvsNN,3.7250299007596,0.000195729684932431,0.00207643665754405,67,FALSE
ulm,ELF3,PPvsNN,3.71007491724244,0.000207655247432169,0.00217148058743354,68,FALSE
ulm,CREB1,PPvsNN,3.70138780950142,0.000214892581880329,0.00221551225262537,69,FALSE
ulm,BACH1,PPvsNN,3.69547147063461,0.000219956430455717,0.00223622370963312,70,FALSE
ulm,NFKBIZ,PPvsNN,3.5927495678505,0.000327847219258309,0.00318699344081313,71,FALSE
ulm,IRF2,PPvsNN,3.59034109891754,0.000330890029374041,0.00318699344081313,72,FALSE
ulm,IRF8,PPvsNN,3.55750652677015,0.00037509779216024,0.00356586472547137,73,FALSE
ulm,EHF,PPvsNN,3.45492623756529,0.000551373982882853,0.00504507194337811,74,FALSE
ulm,FOS,PPvsNN,3.3834398781787,0.000716958428777845,0.00647917987488127,75,TRUE
ulm,ZNF143,PPvsNN,3.32113576731525,0.000897827946480936,0.00801475679053713,76,FALSE
ulm,MEOX2,PPvsNN,3.23678709182962,0.00121044018005601,0.0105438389348505,77,FALSE
ulm,TFDP2,PPvsNN,3.23128024366268,0.00123399599672289,0.0105438389348505,78,FALSE
ulm,GTF3A,PPvsNN,3.22151127158086,0.00127682774632814,0.0107429644863471,79,FALSE
ulm,IRF9,PPvsNN,3.16647735395413,0.0015448623632258,0.0127060589874302,80,FALSE
ulm,TBX21,PPvsNN,3.14797180299031,0.00164604510481486,0.0133878335191608,81,FALSE
ulm,HSF1,PPvsNN,3.11564937143392,0.00183752062606182,0.0144630655728737,82,FALSE
ulm,ELF4,PPvsNN,3.09484480826977,0.00197137508195953,0.0153515591488764,83,FALSE
ulm,ESR1,PPvsNN,3.08994100164239,0.00200420250186748,0.0154429076985999,84,FALSE
ulm,KAT7,PPvsNN,3.08312384907761,0.00205067225349999,0.0156363759329375,85,FALSE
ulm,STAT5B,PPvsNN,3.06015059898304,0.00221464607974779,0.0165420503099529,86,FALSE
ulm,ETV7,PPvsNN,3.01210401678214,0.0025970808184812,0.0190106315912824,87,FALSE
ulm,CEBPD,PPvsNN,3.00455970084988,0.00266234133092171,0.019295384695393,88,FALSE
ulm,MBD2,PPvsNN,2.97240185481979,0.00295766555552852,0.0212255998690871,89,FALSE
ulm,CIITA,PPvsNN,2.93115401339361,0.00338016935575618,0.0237911920039762,90,FALSE
ulm,HDAC7,PPvsNN,2.89231196786861,0.0038275420432165,0.0265849109783751,91,FALSE
ulm,KLF5,PPvsNN,2.8489803823724,0.0043896089778533,0.0294788419430148,92,FALSE
ulm,NFYA,PPvsNN,2.80700867081236,0.00500433405681596,0.0333015684508116,93,FALSE
ulm,ARID4B,PPvsNN,2.77368364960244,0.00554674250277315,0.0362519242145531,94,FALSE
ulm,MTF2,PPvsNN,2.72379078490054,0.00645830558193148,0.0404058092818277,95,FALSE
ulm,HSF4,PPvsNN,2.6587446558944,0.00784832922340519,0.0467071300124602,96,FALSE
ulm,MYB,PPvsNN,2.64427878419304,0.00819173120518917,0.0478889721907937,97,FALSE
ulm,RCOR2,PPvsNN,2.64215828424112,0.00824318373775957,0.0478889721907937,98,FALSE
ulm,ELF2,PPvsNN,2.58818907291823,0.0096538906144984,0.0543588302293295,99,FALSE
ulm,ATF4,PPvsNN,2.5729626774284,0.0100890311902299,0.0559482638730933,100,FALSE
ulm,PML,PPvsNN,2.56826707300946,0.0102267020321414,0.0562853074250186,101,FALSE
ulm,MYBL2,PPvsNN,2.56011323654215,0.0104697426817641,0.0567800167516026,102,FALSE
ulm,HIF1A,PPvsNN,2.55832964942944,0.0105235859572394,0.0567800167516026,103,FALSE
ulm,POU2F3,PPvsNN,2.5574809605061,0.0105492927298059,0.0567800167516026,104,FALSE
ulm,MYCN,PPvsNN,2.54406215070371,0.0109632378976518,0.0581668607244822,105,FALSE
ulm,MTA1,PPvsNN,2.54145410089062,0.0110453465036926,0.0581668607244822,106,FALSE
ulm,IRF6,PPvsNN,2.53045984963982,0.0113975133732803,0.0595927127802943,107,FALSE
ulm,DNMT3B,PPvsNN,2.5226900682524,0.0116523707212749,0.0604931586381078,108,FALSE
ulm,TFAM,PPvsNN,2.51466853343403,0.011920778114215,0.061312575739706,109,FALSE
ulm,NKX6-1,PPvsNN,2.46748132898531,0.013613508235867,0.068254027593525,110,FALSE
ulm,LHX2,PPvsNN,2.39987919533482,0.0164078920901572,0.0790169540131252,111,FALSE
ulm,FHL2,PPvsNN,2.37687894195108,0.0174674432766934,0.0835697286179059,112,FALSE
ulm,HR,PPvsNN,2.3660768960715,0.0179854383356797,0.0849376829788228,113,FALSE
ulm,CREB3,PPvsNN,2.35996360503134,0.0182845143372205,0.0857965672746503,114,FALSE
ulm,GABPA,PPvsNN,2.33372028388959,0.019618408515667,0.0914692677290972,115,FALSE
ulm,NR1D1,PPvsNN,2.31858922755827,0.0204254985842324,0.0946295250864437,116,FALSE
ulm,BATF,PPvsNN,2.31276849637868,0.020743604767357,0.0954988596836814,117,FALSE
ulm,DMAP1,PPvsNN,2.30151075724947,0.0213711187804216,0.097772868420429,118,FALSE
ulm,OLIG2,PPvsNN,2.28662597279903,0.0222261455298843,0.0990695757415064,119,FALSE
ulm,FOSL1,PPvsNN,2.28477860277397,0.0223343120145672,0.0990695757415064,120,FALSE
ulm,MAFK,PPvsNN,2.28287320351155,0.0224463554390132,0.0990695757415064,121,FALSE
ulm,DMTF1,PPvsNN,2.28024103602229,0.022601938727912,0.0990695757415064,122,FALSE
ulm,EZH2,PPvsNN,2.27431327160074,0.0229557557103325,0.100021507023592,123,FALSE
ulm,IRF4,PPvsNN,2.27087192726531,0.0231633625284627,0.100328883851093,124,FALSE
ulm,KLF2,PPvsNN,2.20835172176488,0.0272289794570532,0.115211635621751,125,FALSE
ulm,PRDM1,PPvsNN,2.18774481529381,0.02869760041319,0.119194891161153,126,FALSE
ulm,FOSL2,PPvsNN,2.10514338825249,0.035288971297254,0.138879177363387,127,FALSE
ulm,CUX1,PPvsNN,2.10206200037402,0.0355580146205481,0.139189661509311,128,FALSE
ulm,VENTX,PPvsNN,2.09957310517884,0.0357766017927411,0.139300385703651,129,FALSE
ulm,FOXD1,PPvsNN,2.08409078058253,0.0371622342725539,0.143929923214336,130,FALSE
ulm,ATF2,PPvsNN,2.06915074802397,0.0385423927646293,0.1477122068257,131,FALSE
ulm,NFATC1,PPvsNN,2.06062184800954,0.0393496518643652,0.150020547732892,132,FALSE
ulm,ZNF300,PPvsNN,2.05746131989662,0.039652419269788,0.150391559095776,133,FALSE
ulm,CREBBP,PPvsNN,2.04322854456824,0.0410404835538207,0.153735169640899,134,FALSE
ulm,HEYL,PPvsNN,2.04198128877156,0.0411640618164157,0.153735169640899,135,FALSE
ulm,EOMES,PPvsNN,2.01587916574341,0.0438234961056682,0.162033689870356,136,FALSE
ulm,PAWR,PPvsNN,2.01582860618057,0.0438287849649322,0.162033689870356,137,FALSE
ulm,MAF,PPvsNN,1.97372729414715,0.0484239654842585,0.17634996385312,138,FALSE
ulm,VDR,PPvsNN,1.90665685861244,0.0565767106927405,0.200656526787696,139,FALSE
ulm,NFIA,PPvsNN,1.90537492607306,0.0567430342145533,0.200656526787696,140,FALSE
ulm,SPIC,PPvsNN,1.90239006024906,0.0571318809438017,0.201060273321456,141,FALSE
ulm,RFX5,PPvsNN,1.8638001774194,0.0623617110637159,0.216344893358484,142,FALSE
ulm,NR0B2,PPvsNN,1.85202816692547,0.0640337869050962,0.22109779252137,143,FALSE
ulm,NKRF,PPvsNN,1.84334082746911,0.0652913212968314,0.224025385998854,144,FALSE
ulm,NRF1,PPvsNN,1.83419987436873,0.0666364380180599,0.226873826182418,145,FALSE
ulm,KAT6B,PPvsNN,1.83017696916789,0.0672356101181334,0.227854012067008,146,FALSE
ulm,HNF1A,PPvsNN,1.82640029047231,0.0678021379341902,0.228459142702852,147,FALSE
ulm,ETS2,PPvsNN,1.82453688840816,0.0680831044268527,0.228459142702852,148,FALSE
ulm,TBP,PPvsNN,1.81691555913698,0.0692422432042797,0.230387827388785,149,FALSE
ulm,SP1,PPvsNN,1.80853531984794,0.0705354666800543,0.23178290926922,150,FALSE
ulm,SSRP1,PPvsNN,1.80839793461324,0.0705568316774834,0.23178290926922,151,FALSE
ulm,BRCA1,PPvsNN,1.80804680797637,0.0706114600642568,0.23178290926922,152,FALSE
ulm,FLI1,PPvsNN,1.80240840758335,0.0714934455374382,0.233630366666985,153,FALSE
ulm,NFAT5,PPvsNN,1.79970578529706,0.0719193924515518,0.233977756775715,154,FALSE
ulm,RXRA,PPvsNN,1.78423110027903,0.0743984790034567,0.237815225460831,155,FALSE
ulm,NFATC2,PPvsNN,1.76342575854985,0.0778411583484271,0.246470357983907,156,FALSE
ulm,ONECUT1,PPvsNN,1.75878282211059,0.0786268726934206,0.247016612925253,157,FALSE
ulm,RFXAP,PPvsNN,1.74102123439534,0.0816923959806116,0.254463122799182,158,FALSE
ulm,NANOG,PPvsNN,1.70623502129183,0.0879769908430315,0.268329822071246,159,FALSE
ulm,RORC,PPvsNN,1.69738765389464,0.0896360822739191,0.272255652383854,160,TRUE
ulm,REST,PPvsNN,1.69093792631101,0.0908613645735917,0.273705838962424,161,FALSE
ulm,ETV5,PPvsNN,1.68541266145598,0.0919217036784343,0.275765111035303,162,FALSE
ulm,ATF1,PPvsNN,1.68327855869308,0.092333906091985,0.275871099017686,163,FALSE
ulm,PATZ1,PPvsNN,1.66246454175399,0.096432445752874,0.285783604417424,164,FALSE
ulm,BHLHA15,PPvsNN,1.6502876342666,0.098896924872709,0.290733128541458,165,FALSE
