"gene","logFC","AveExpr","t","P.Value","adj.P.Val","qvalue","B"
"SKP1",-0.0339005579063196,7.07216099984547,-0.902573632789797,0.367951664433718,0.410046271023636,0.0546715552995494,-7.77330279667167
"AC012066.1",0.0473432922942866,1.35767856858596,0.902221182601518,0.368138316294644,0.410235637729999,0.0546968036022178,-7.29713064704836
"GUCD1",0.0349575621037265,5.84795132625201,0.901697347661222,0.368415840510691,0.410526246413149,0.0547355505188808,-7.76328075703847
"LOXL2",0.0725192310771426,4.41652068097385,0.901240364223167,0.368658054447666,0.410777484190813,0.0547690481044596,-7.68223398195751
"HIST2H2BE",-0.0482584847447399,3.97686474271687,-0.901184849166285,0.368687485776391,0.410791616749492,0.0547709324014719,-7.63986322889595
"FAM167A",0.0547236130190062,5.40326368188184,0.901048229910081,0.368759920804599,0.41085366057212,0.054779204717353,-7.74870187622139
"RP11-101E13.5",-0.0884370198351677,2.13021776275453,-0.900968394329252,0.368802253468876,0.410882161749845,0.0547830047853555,-7.41167234595361
"ZNF846",-0.0595867835032278,2.14361478240217,-0.900749238451298,0.368918476123301,0.410981719169737,0.0547962787970263,-7.41350486534348
"RPL36AP26",-0.0693279762189944,3.34443124264991,-0.900736700219748,0.368925126087706,0.410981719169737,0.0547962787970263,-7.56871544168869
"CLDN7",0.101186061057446,2.68794083901864,0.900307572765504,0.369152769874143,0.411216637425541,0.0548276004973334,-7.4855998683972
"FUT4",-0.0496012908210702,2.15471122539212,-0.900206696964841,0.369206295311967,0.411257584532785,0.0548330599837287,-7.41548136535121
"TTC28-AS1_2",-0.116628111301193,-1.59682048776449,-0.899940880326849,0.369347362869126,0.411396036349572,0.0548515197934933,-6.76598523778397
"ANKRD11",0.0446710677581109,6.44548826232313,0.899486861728346,0.369588386396494,0.411645806081792,0.0548848216442652,-7.77525018559027
"RP11-840I19.3",0.043021561308424,2.23406933182945,0.899261616998635,0.36970799798417,0.411760331224434,0.0549000913055488,-7.4265341666267
"RP11-95I16.4",-0.162351448384183,-2.04166967613263,-0.899126078459957,0.369779984630734,0.411821806348649,0.0549082877967513,-6.68809915554259
"ZFAND4",-0.0515830533714721,2.27337282732707,-0.898615194547418,0.370051402039192,0.41210537067956,0.0549460954884532,-7.43321173756951
"RPL18P11",-0.088335045177648,0.812572200544814,-0.898501984874283,0.37011156385454,0.412153656507044,0.0549525334479569,-7.21410598832511
"HELQ",0.0428835372692942,2.66613375624802,0.898446752418917,0.370140917675827,0.412167631940468,0.0549543967954258,-7.48503506286755
"SPDYE2",0.106117617042903,-0.492152938600177,0.898217492880139,0.370262775457808,0.412284608517756,0.0549699933070048,-6.97177992212072
"RPL12P19",-0.107039578514256,0.710163773173535,-0.898136497553921,0.370305832718278,0.412301568362966,0.0549722545667231,-7.19746065916355
"ALOX5",0.0580103711742494,3.20937456798955,0.898096668836368,0.370327006885934,0.412301568362966,0.0549722545667231,-7.55383706221489
"SELENOH",0.0467647622961307,4.63834417169422,0.898093982680329,0.370328434956152,0.412301568362966,0.0549722545667231,-7.70427943749023
"SUPT5H",-0.0461178013266834,6.94878801359685,-0.897097816876599,0.370858275148003,0.412872720262809,0.055048406369296,-7.77869931182456
"ELMOD2",0.0594677834616556,4.11565670166237,0.896058538753329,0.371411551343706,0.413469910196452,0.0551280298283753,-7.658203535302
"RP3-342P20.2",-0.054899169585585,3.19957410114874,-0.894963171027569,0.371995246293875,0.414100907737867,0.0552121608628882,-7.55622680549632
"TMEM191C",0.0915978414107196,-0.379345961972071,0.894891511212194,0.372033452049701,0.414124643152942,0.0552153255107572,-6.99681715712141
"FOXJ1",-0.0949661888268067,0.0145817196812199,-0.894716559552013,0.372126738625544,0.414209686195651,0.0552266643174745,-7.07586203319431
"CTC-260E6.2",0.0406224522582418,6.62251002766797,0.893857296525676,0.372585121434345,0.414701087196153,0.055292182915915,-7.78145183014678
"METTL25",-0.0399103875723969,1.95417308717046,-0.892582587985745,0.373265777470414,0.415439830737559,0.0553906797472002,-7.39421538512895
"RPS13P2",0.0533162397377402,6.21967887551657,0.892524120074119,0.373297016185874,0.415455747221159,0.0553928018952962,-7.77884855143458
"RP11-134K1.2",0.0800664987786365,0.163171920704877,0.89243506762589,0.373344598994328,0.415481565915498,0.0553962443072265,-7.1045194993177
"RUSC1-AS1",0.0677884304319263,5.75984078036062,0.892417300103711,0.373354093050534,0.415481565915498,0.0553962443072265,-7.76919890535054
"STXBP4",-0.0601879732513907,2.61791811049106,-0.892336072108472,0.373397499061119,0.415511017919024,0.0554001711490325,-7.48496665566282
"RP11-375N15.2",-0.106637947243867,0.11804207333884,-0.892292845262009,0.373420599585236,0.41551787264105,0.0554010850905577,-7.09780391555062
"LUC7L2",0.024439184188808,6.22937153340592,0.89223921616182,0.373449260337019,0.415530913515986,0.0554028238331475,-7.77925444599948
"RIMBP3C",0.139095071729517,-1.96034747476142,0.891957965283559,0.373599590422858,0.415679326554406,0.0554226117746811,-6.70567734504688
"ZNF592",0.0351197873410113,5.64954269858063,0.891661942389214,0.373757857016049,0.415836556150306,0.0554435752296726,-7.76653092889983
"PIGBOS1",-0.0369053448845148,1.8815515718208,-0.891510940514451,0.373838605234215,0.41590476831678,0.0554526699721321,-7.38482047926734
"MIR639",-0.103849360384775,-0.456785836088469,-0.891483875465307,0.373853079413257,0.41590476831678,0.0554526699721321,-6.9870225608195
"LRRC37B",-0.0407384582338863,3.23532465177461,-0.891205320919015,0.37400206854753,0.416051645758711,0.0554722531722641,-7.56383787240985
"DAPK3",0.0758288408934552,5.16088738975579,0.891057546923962,0.374081122749888,0.416120715592256,0.0554814622676541,-7.74581621175115
"CHMP1B",0.0371429522213018,6.27574919223178,0.89074152890587,0.374250216917505,0.416289933361415,0.0555040241082999,-7.78122332750535
"GABRR1",-0.216817679363003,-2.7828937924777,-0.890709401258532,0.374267410371397,0.416290179647634,0.0555040569456931,-6.56900947799748
"TFPT",0.063372735775725,3.10551495626314,0.888879705732592,0.375247404225581,0.417361281043171,0.0556468671193628,-7.54922838145851
"GAS2L2",-0.129180294574652,-1.93550261430453,-0.888797674618349,0.37529137789953,0.417391263132297,0.0556508646375931,-6.71556049747567
"ALS2CL",0.0828858454296532,6.11501623952643,0.888603438766483,0.375395512946009,0.417488149695748,0.0556637825434144,-7.78063863044175
