gene,k,logFC,SE,z,P,FDR,I2,tau2,Q,direction
PI4K2B,4,-0.196,0.104,-1.89,0.0585425632219424,0.104705404548255,54,0.0216,6.52,down
RINL,3,0.182,0.096,1.89,0.0585658815999579,0.10473986735592,0,0,0.04,up
COA3,4,-0.195,0.103,-1.89,0.0585802900142485,0.10475839182248,77.9,0.0279,13.59,down
AC016894.1,3,0.268,0.142,1.89,0.0585866631619391,0.104762545355392,0,0,1.48,up
APOBEC3F,4,-0.198,0.105,-1.89,0.0585945682470245,0.104769437479505,0,0,1.22,down
TLCD2,4,-0.35,0.185,-1.89,0.0586111732074989,0.104791883301448,65.9,0.074,8.79,down
CHST15,4,0.192,0.102,1.89,0.0586850314077161,0.104916682956326,33.6,0.0138,4.52,up
RP11-252K23.2,2,-0.518,0.274,-1.89,0.0586925214945688,0.104922821118021,0,0,0.41,down
AC006042.8,4,0.313,0.166,1.89,0.0587152874891705,0.104956264815807,0,0,0.28,up
LLNLR-245B6.1,4,0.064,0.034,1.89,0.0588116570203232,0.105121264490231,0,0,2.72,up
RP11-739B23.1,2,-0.475,0.251,-1.89,0.0588158718319456,0.105121533346793,0,0,0.49,down
RPL7P50,2,0.323,0.171,1.89,0.0588250448664544,0.105130663379352,0,0,0.13,up
RP11-74C13.3,2,1.089,0.576,1.89,0.0588552153194837,0.105177315623791,65.1,0.4504,2.86,up
SNORD100,2,-0.824,0.436,-1.89,0.0588798124533506,0.105214002300225,81.1,0.313,5.29,down
PON3,4,-0.207,0.109,-1.89,0.0589022735962463,0.105246357895008,0,0,0.4,down
KATNAL2,4,-0.165,0.087,-1.89,0.0589060577206979,0.105246357895008,0,0,2.41,down
MIR570,2,0.519,0.275,1.89,0.0589794669296035,0.105370237802533,0,0,0.28,up
RP11-212P7.2,4,0.241,0.128,1.89,0.0589889373044745,0.105379878052419,59.5,0.0296,7.41,up
MIF4GD,4,0.301,0.159,1.89,0.0590123823406514,0.105414480064825,89.4,0.0671,28.4,up
TMEM50A,4,-0.124,0.065,-1.89,0.0590423057615394,0.105460648909976,60.3,0.0083,7.56,down
MDFIC,4,0.422,0.223,1.89,0.0590617425999428,0.105488081665971,91.7,0.1647,35.95,up
RP1-68D18.2,4,0.206,0.109,1.89,0.0590888282547752,0.105529170969583,0,0,1.41,up
FOXH1,4,0.241,0.128,1.89,0.0591075535492059,0.10555532451817,22.9,0.0153,3.89,up
RP11-54D18.4,4,0.187,0.099,1.89,0.0591194484030177,0.105569277374734,0,0,0.28,up
LL21NC02-21A1.1,2,0.495,0.263,1.89,0.0591420797966909,0.105602399162003,0,0,0.46,up
RPL7P4,2,0.542,0.287,1.89,0.0591769534867463,0.105657254359986,18.4,0.031,1.22,up
TAF9B,4,0.083,0.044,1.89,0.0591809713854438,0.105657254359986,25.9,0.002,4.05,up
EIF4A1P6,2,-1.199,0.635,-1.89,0.0591992959617611,0.105682674679389,74.4,0.6044,3.91,down
COTL1,4,-0.82,0.435,-1.89,0.0592661910248653,0.105794021569972,96.6,0.6316,87.9,down
PCMTD1P3,2,0.618,0.328,1.89,0.059269848923171,0.105794021569972,0,0,0,up
NUP58,4,-0.254,0.135,-1.89,0.0592875156596665,0.105818253055111,76.1,0.0416,12.54,down
CTD-3110H11.1,3,0.35,0.185,1.89,0.0593241786594726,0.10587115585939,0,0,1.42,up
VLDLR-AS1,4,-0.386,0.205,-1.89,0.0593253426333955,0.10587115585939,68.7,0.1099,9.6,down
HAGLR,4,0.234,0.124,1.88,0.0594385401776164,0.106065848154676,0,0,0.37,up
CD109,4,0.29,0.154,1.88,0.0594496857845561,0.106078418291256,84.2,0.0677,18.96,up
CHCHD4P4,2,-0.54,0.286,-1.88,0.0594896758774259,0.106142451496533,0,0,0.78,down
LINC00694,2,0.582,0.309,1.88,0.0594996048822009,0.106152844083138,0,0,0,up
TPMTP1,4,-0.224,0.119,-1.88,0.0595326858342482,0.106204537620154,25.6,0.0149,4.03,down
ETV7,4,0.543,0.288,1.88,0.0595488454847361,0.106226039010774,85.6,0.2085,20.88,up
SULT1B1,4,-0.692,0.367,-1.88,0.0596233176887391,0.106351550944934,32.5,0.1718,4.44,down
NTAN1,4,0.214,0.114,1.88,0.0596535326413733,0.106398108284703,79.7,0.035,14.75,up
CTA-331F8.1,2,0.574,0.305,1.88,0.0596628617786674,0.10640740980854,0,0,0.34,up
PLXNB3,3,0.197,0.105,1.88,0.059712032027237,0.106487760901362,0,0,1.5,up
EIF4HP2,3,-0.374,0.198,-1.88,0.0597265776229631,0.106506357118058,0,0,0.11,down
PLAUR,4,-0.611,0.324,-1.88,0.0597480878918774,0.106532543251592,86.8,0.3269,22.81,down
THAP3,4,-0.182,0.097,-1.88,0.059749500170414,0.106532543251592,75.9,0.0192,12.42,down
CMSS1,4,-0.236,0.125,-1.88,0.0597586365979362,0.106541488727443,77,0.0393,13.02,down
PRKACB,4,0.117,0.062,1.88,0.0597723738818832,0.106545540003942,17.2,0.0031,3.62,up
AAAS,4,-0.155,0.082,-1.88,0.0597731156042322,0.106545540003942,68.4,0.0133,9.51,down
LDHAL6A,3,0.361,0.192,1.88,0.0597732673003865,0.106545540003942,0,0,0.71,up
