gene,k,logFC,SE,z,P,FDR,I2,tau2,Q,direction
EPB41L4B,4,1.05,0.039,26.72,2.64320639994158e-157,6.8363890328089e-153,0,0,2.14,up
PDZK1IP1,4,-1.872,0.073,-25.8,8.59555845493313e-147,1.11157761939195e-142,0,0,1.63,down
AGR3,2,5.493,0.214,25.64,5.40119237511668e-145,4.65654798633393e-141,0,0,0.07,up
EPHX2,4,0.768,0.031,24.95,2.40439641349039e-137,1.55468272096289e-133,0,0,0.4,up
NINJ1,4,0.865,0.035,24.75,3.29517047567407e-135,1.70452578365668e-131,0,0,2.87,up
ZFYVE21,4,0.538,0.022,24.55,3.96123921734611e-133,1.70755818529066e-129,0,0,0.67,up
CTD-2385L22.2,2,2.065,0.084,24.54,5.63555045005866e-133,2.0822553834331e-129,0,0,0.13,up
IFI27,4,-3.487,0.145,-24.13,1.23639910028699e-128,3.99727829122784e-125,10.8,0.0187,3.36,down
WNT7B,4,1.592,0.067,23.82,2.20782290881368e-125,6.34479241261744e-122,0,0,1.7,up
PARP9,4,-1.842,0.078,-23.75,1.02361924397004e-124,2.64748881260411e-121,0,0,2.82,down
TAF7,4,0.564,0.024,23.08,7.08762601416204e-118,1.66649417482079e-114,0,0,1.85,up
TLE3,4,-0.938,0.041,-22.76,1.15940262592968e-114,2.49889912642043e-111,0,0,1.76,down
IFI6,4,-2.926,0.13,-22.52,2.66587567638511e-112,5.30386219184803e-109,0,0,2.71,down
SPRR2A,4,-6.365,0.283,-22.5,3.71196040992685e-112,6.85758171731057e-109,0,0,2.64,down
RP11-1008C21.1,3,4.85,0.219,22.13,1.68851725330794e-108,2.91145401597044e-105,0,0,0.14,up
RP11-255M2.3,3,1.083,0.049,22.08,4.69977032493415e-108,7.59717873025605e-105,0,0,0.44,up
GYS1,4,-0.876,0.04,-21.99,3.90580438865818e-107,5.94233674754441e-104,0,0,2.85,down
PLBD1,4,-1.681,0.077,-21.85,7.39779456948982e-106,1.06298088191825e-102,0,0,2.17,down
SYNGR1,4,0.594,0.027,21.77,4.85916271862273e-105,6.61459918707676e-102,0,0,2.09,up
MX1,4,-2.805,0.129,-21.68,3.12902137879317e-104,4.04645044705533e-101,0,0,1.78,down
GATM,4,0.865,0.04,21.66,5.26180148147983e-104,6.48053492938068e-101,0,0,2.04,up
NOD2,4,-1.45,0.068,-21.41,1.144625756198e-101,1.34566366174114e-98,0,0,1.71,down
TCEA3,4,0.906,0.043,21.3,1.0403585098001e-100,1.16990576075956e-97,7.4,8e-04,3.24,up
IVL,4,-1.542,0.073,-21.25,3.11425340228891e-100,3.35612708320002e-97,0,0,2.09,down
RP11-363E6.3,4,-2.776,0.134,-20.78,6.14695756534044e-96,6.35939641879861e-93,0,0,2.87,down
FABP5,4,-2.736,0.133,-20.62,1.69339618069452e-94,1.68453841605704e-91,25.5,0.0182,4.03,down
FABP5P1,4,-2.807,0.138,-20.38,2.71075438434161e-92,2.5967019035782e-89,34.5,0.0255,4.58,down
KLK10,4,-2.081,0.102,-20.36,3.53195208300107e-92,3.26251459552642e-89,0,0,0.65,down
CNFN,4,-2.204,0.108,-20.36,4.03841830765408e-92,3.60171210721259e-89,0,0,1.62,down
PLA2G4E,4,-1.765,0.088,-20.12,5.05049473152473e-90,4.35419985787185e-87,0,0,2.12,down
LGALS3,4,0.97,0.049,19.94,2.01380488903144e-88,1.68016289193255e-85,0,0,1.24,up
RHOC,4,0.805,0.041,19.76,6.8388665430316e-87,5.52751388340529e-84,0,0,2.87,up
RNF128,4,0.982,0.05,19.69,2.654431748408e-86,2.0804309921462e-83,0,0,0.57,up
GPNMB,4,0.589,0.03,19.56,3.58796755535515e-85,2.72938802505017e-82,0,0,1.69,up
CBX7,4,0.92,0.047,19.46,2.34013915705063e-84,1.72929597594165e-81,0,0,2.91,up
CLEC2A,4,1.692,0.087,19.4,7.09707717940179e-84,5.09885567133466e-81,0,0,0.71,up
IRF9,4,-1.044,0.054,-19.33,3.08033587681083e-83,2.15323803021176e-80,0,0,2.23,down
TTC39A,4,-1.746,0.09,-19.32,3.35419113049022e-83,2.28296840523682e-80,0,0,2.95,down
IRF8,3,-1.412,0.073,-19.32,3.57800139197029e-83,2.37285712825435e-80,0,0,0.23,down
TLE2,4,1.139,0.059,19.31,4.65445008617454e-83,3.00956742572045e-80,0,0,2.67,up
CTB-191K22.5,4,1.839,0.095,19.28,8.0125832162711e-83,5.05457200745453e-80,0,0,2.09,up
KPNA2,4,-1.573,0.082,-19.15,9.74598835486563e-82,6.00167244786297e-79,13,0.0045,3.45,down
VAMP2,4,0.708,0.037,19.07,4.5788162683739e-81,2.75410474337727e-78,0,0,2.2,up
LMNB2,4,-1.005,0.053,-18.95,4.30302388333174e-80,2.52939567542028e-77,0,0,1.66,down
LDLR,4,-1.204,0.064,-18.91,9.42613792405544e-80,5.41772513928377e-77,0,0,1.62,down
LTB4R,4,-1.078,0.057,-18.87,2.02970559798537e-79,1.14122403448464e-76,3.3,6e-04,3.1,down
FABP5P7,4,-2.747,0.146,-18.83,4.12078021742949e-79,2.26765658603396e-76,49.6,0.038,5.96,down
MTURN,4,0.921,0.049,18.82,5.42993357880869e-79,2.92582921004808e-76,0,0,2.71,up
ALAD,4,0.556,0.03,18.81,6.57466512952283e-79,3.47034977367303e-76,0,0,1.19,up
PSCA,2,2.518,0.134,18.76,1.58622414221919e-78,8.20522024287144e-76,0,0,0.02,up
RP11-680F20.6,3,2.265,0.121,18.72,3.69725222225844e-78,1.87501434267632e-75,0,0,1.88,up
SERPINB3,4,-5.626,0.303,-18.59,3.88770613347518e-77,1.93368521992696e-74,50.5,0.1667,6.07,down
SEPT10,4,0.43,0.023,18.58,4.51132393431211e-77,2.20152607994431e-74,0,0,1.18,up
TFDP1,4,-0.606,0.033,-18.57,5.54891435965269e-77,2.65772446292699e-74,0,0,3,down
ADAP2,4,-1.687,0.092,-18.36,2.76642801023037e-75,1.30092534648361e-72,0,0,0.26,down
SERPINB13,4,-2.24,0.122,-18.31,7.38518968561569e-75,3.4109026076565e-72,33.3,0.0194,4.5,down
LYPD6B,4,1.329,0.073,18.28,1.15600575287091e-74,5.24542680565848e-72,0,0,2.94,up
MED8,4,-0.688,0.038,-18.09,3.55839934478949e-73,1.58680070092475e-70,0,0,2.97,down
SLC27A4,4,-0.904,0.05,-18.07,5.42170872955875e-73,2.37673007764928e-70,0,0,1,down
LINC01805,3,2.146,0.119,18.07,5.88205257825834e-73,2.5355567980679e-70,15.7,0.0074,2.37,up
TGM1,4,-2.068,0.115,-17.99,2.42378865457233e-72,1.02768638953867e-69,11.5,0.0072,3.39,down
IL36G,4,-3.915,0.218,-17.97,3.49577469312154e-72,1.4583018816596e-69,7.6,0.0163,3.25,down
ESPN,4,1.311,0.073,17.92,8.48145909205717e-72,3.48197552312646e-69,0,0,1.94,up
AC091177.1,3,-1.725,0.097,-17.87,2.19662275808052e-71,8.8771017210929e-69,0,0,0.24,down
CDH3,4,-1.451,0.081,-17.86,2.40089169927455e-71,9.55333275539032e-69,0,0,2.14,down
SERPINB4,4,-6.781,0.38,-17.82,4.67735931826037e-71,1.83295790011343e-68,47.7,0.2469,5.74,down
PLA2G4D,4,-3.615,0.203,-17.81,5.95519920550982e-71,2.29888466046725e-68,18.6,0.0321,3.68,down
RP11-296A16.1,4,0.8,0.045,17.75,1.63680554694143e-70,6.22563803913135e-68,0,0,1.6,up
METAP1,4,-0.659,0.037,-17.73,2.42843014914925e-70,9.10274164892697e-68,0,0,2.46,down
LTB4R2,4,-0.951,0.054,-17.54,6.74105679469754e-69,2.49072418482939e-66,0,0,1.46,down
KLK13,4,-2.952,0.169,-17.44,3.78186406943195e-68,1.3776638350956e-65,0,0,0.93,down
IFIT3,4,-1.832,0.105,-17.4,7.65206146788281e-68,2.7487905250739e-65,0,0,2.72,down
SLC5A1,4,-1.644,0.094,-17.4,7.79370239468038e-68,2.76131943473991e-65,0,0,1.95,down
XPOT,4,-0.607,0.035,-17.38,1.19722329568055e-67,4.18445720533538e-65,0,0,1.4,down
NOLC1,4,-0.683,0.039,-17.36,1.64242293659023e-67,5.66395024426264e-65,0,0,0.97,down
EIF4E3,4,0.704,0.041,17.3,4.51350539076531e-67,1.53601715035202e-64,0,0,2.75,up
CTC-518B2.8,4,-1.764,0.103,-17.19,3.02513002337503e-66,1.0161293886308e-63,0,0,2.76,down
GBP6,4,-2.897,0.169,-17.18,3.83141892299193e-66,1.27045921825979e-63,1.7,0.0027,3.05,down
CTD-3088G3.8,2,2.362,0.138,17.17,4.20989286237859e-66,1.37828694927291e-63,0,0,0.52,up
VPS51,4,0.516,0.03,17.05,3.58945357999321e-65,1.1604703424118e-62,0,0,1.37,up
FAM43A,4,-1.574,0.093,-16.95,2.00381503204714e-64,6.39835456652683e-62,0,0,2.72,down
SRSF1,4,-0.548,0.032,-16.93,2.55028500961779e-64,8.04397213277495e-62,1,1e-04,3.03,down
NOP14,4,-0.55,0.033,-16.91,3.73813571084287e-64,1.16485713283422e-61,0,0,1.42,down
PI3,4,-6.302,0.373,-16.88,6.86199281310144e-64,2.11284026331019e-61,47.8,0.2484,5.74,down
EIF4A1,4,-0.753,0.045,-16.83,1.58611254001313e-63,4.82626055704702e-61,15.6,0.0015,3.56,down
FABP5P2,4,-2.705,0.161,-16.79,2.85986705692439e-63,8.60088390235958e-61,42.1,0.0405,5.18,down
LANCL1,4,0.433,0.026,16.76,4.95134720072963e-63,1.47197291953645e-60,0,0,2.86,up
ZNF598,4,-0.705,0.042,-16.71,1.19827914694949e-62,3.52185134735245e-60,0,0,1.4,down
DUOXA1,4,-1,0.06,-16.7,1.31483881153131e-62,3.82101022712873e-60,0,0,1.66,down
DNMT1,4,-0.837,0.05,-16.65,2.8012622086213e-62,8.05020508486459e-60,0,0,2.44,down
ARSF,3,-3.043,0.183,-16.59,7.90326729178909e-62,2.24626489269047e-59,0,0,0.84,down
KYNU,4,-4.007,0.242,-16.53,2.35243684532803e-61,6.61341593125697e-59,0,0,2.35,down
RDH16,4,-2.151,0.131,-16.45,8.67612677046353e-61,2.4128961590459e-58,0,0,0.69,down
ACPP,4,-1.032,0.063,-16.44,9.32694905851242e-61,2.56630011116346e-58,0,0,2.8,down
NOP56,4,-0.641,0.039,-16.43,1.2511810106896e-60,3.40637322741851e-58,0,0,0.3,down
YWHAG,4,-0.423,0.026,-16.37,2.93247444663893e-60,7.90057490498639e-58,0,0,2.29,down
DDX25,3,2.732,0.167,16.36,3.9289227818076e-60,1.04760473019249e-57,0,0,0.37,up
PGAM5,4,-0.858,0.052,-16.35,4.18870688240492e-60,1.10547668169919e-57,0,0,2.96,down
MARS,4,-0.659,0.04,-16.35,4.44460871863904e-60,1.16116525150384e-57,0,0,2.51,down
RCC1,4,-1.014,0.062,-16.32,7.03978064752236e-60,1.82076886667518e-57,0,0,0.89,down
ABCF2,4,-0.713,0.044,-16.29,1.20538419687467e-59,3.08673830375906e-57,0,0,1.52,down
TMEM256-PLSCR3,4,-0.448,0.028,-16.26,1.86104173397712e-59,4.71901798113572e-57,0,0,1.99,down
RP11-426L16.10,4,0.793,0.049,16.24,2.54710962812832e-59,6.39596538076804e-57,13,0.0015,3.45,up
NKIRAS2,4,-0.447,0.028,-16.22,3.3789116872268e-59,8.40309344984941e-57,0,0,1.22,down
CYP4F22,4,-0.996,0.061,-16.22,3.53854222379475e-59,8.71627200725975e-57,0,0,1.05,down
CIDEB,4,-0.617,0.038,-16.21,4.015488096864e-59,9.72460544261622e-57,0,0,2.81,down
ANAPC16,4,0.438,0.027,16.21,4.02309303417853e-59,9.72460544261622e-57,0,0,1.61,up
PRMT2,4,0.369,0.023,16.21,4.46105957410612e-59,1.06834115578408e-56,0,0,2.8,up
ORAI1,4,0.612,0.038,16.18,7.09290963465368e-59,1.68303683294204e-56,0,0,2.07,up
TUBG1,4,-0.815,0.05,-16.15,1.20405702086986e-58,2.83106643525256e-56,0,0,2.12,down
RP11-218E20.5,4,-1.254,0.078,-16.09,3.00804621188993e-58,7.00901866885776e-56,0,0,1.76,down
HSPA4,4,-0.579,0.036,-16.07,3.8485626685642e-58,8.8874307910486e-56,0,0,1.46,down
TAP1,4,-0.772,0.048,-16.03,7.42537340235783e-58,1.68500930440921e-55,0,0,2.06,down
MUC7,2,4.255,0.265,16.03,7.42696646700627e-58,1.68500930440921e-55,6,0.0193,1.06,up
ASF1B,4,-1.232,0.077,-16.03,7.91947658270089e-58,1.76643351363327e-55,0,0,1.98,down
IFIT1,4,-1.963,0.122,-16.03,7.92245157676535e-58,1.76643351363327e-55,0,0,2.56,down
RP4-742C19.13,4,0.838,0.052,16.02,9.98247999275257e-58,2.20672532079105e-55,0,0,2.71,up
CREBL2,4,0.489,0.031,16.01,1.01885277076127e-57,2.23318712398046e-55,0,0,2.45,up
IFI44,4,-2.886,0.181,-15.99,1.57388747216744e-57,3.42075845211248e-55,0,0,2,down
LMBRD1,4,0.612,0.038,15.94,3.27986245317065e-57,7.06919687406715e-55,7.3,6e-04,3.24,up
REEP5,4,0.408,0.026,15.91,5.13804075050832e-57,1.09826682620783e-54,0,0,0.49,up
KHSRP,4,-0.368,0.023,-15.85,1.32127706375561e-56,2.80110737516189e-54,0,0,0.84,down
IARS,4,-0.535,0.034,-15.85,1.34294989003194e-56,2.8239069882753e-54,0,0,1.93,down
ZWILCH,4,-0.765,0.048,-15.83,1.88263212805961e-56,3.92680623872047e-54,0,0,1.75,down
CRY2,4,1.328,0.084,15.79,3.64729748643323e-56,7.54669617512873e-54,17.3,0.0068,3.63,up
GDPD2,4,1.357,0.086,15.78,4.17367663584934e-56,8.56729940552439e-54,17.4,0.0057,3.63,up
S100A9,4,-5.938,0.378,-15.7,1.62685005547858e-55,3.31313778227543e-53,32.2,0.2118,4.42,down
BIRC5,4,-1.346,0.086,-15.69,1.80951889518975e-55,3.65635911759278e-53,0,0,1.56,down
LRG1,4,-2.838,0.181,-15.67,2.25397946236153e-55,4.51914145848981e-53,0,0,2.04,down
ZNF662,4,-0.958,0.061,-15.63,4.27410413345703e-55,8.50349456213327e-53,0,0,2.5,down
AC006262.4,4,2.137,0.137,15.63,4.51120726688091e-55,8.90670723287083e-53,0,0,2.04,up
TMEM79,4,-0.761,0.049,-15.62,5.37355651057832e-55,1.0528914059818e-52,0,0,0.71,down
PLD2,4,-0.719,0.046,-15.56,1.33411225639242e-54,2.59439694731831e-52,0,0,1.68,down
CARD6,4,-1.868,0.12,-15.56,1.42640790523743e-54,2.75318015381051e-52,0,0,2.87,down
H2AFX,3,-0.981,0.063,-15.54,1.88154418786061e-54,3.60475991665384e-52,0,0,1.24,down
IGFBP3,4,-1.195,0.077,-15.53,2.05982664138832e-54,3.9173056068285e-52,0,0,0.37,down
VNN3,3,-5.967,0.384,-15.53,2.1124897482609e-54,3.98813393058539e-52,0,0,0.5,down
EFNA5,4,0.703,0.045,15.51,3.08734441984808e-54,5.78630986050367e-52,0,0,2.9,up
AP001610.5,4,-3.053,0.198,-15.45,7.74690362306825e-54,1.4414814050866e-51,5,0.0113,3.16,down
HDAC11,4,0.57,0.037,15.43,1.03442923085091e-53,1.91103411619485e-51,0,0,2.09,up
GPT2,4,-0.8,0.052,-15.4,1.67140199384268e-53,3.06589653679057e-51,0,0,1.69,down
RANP1,4,-0.854,0.056,-15.38,2.1780537865852e-53,3.96712557297462e-51,0,0,2.96,down
CYB5R3,4,0.654,0.043,15.38,2.25697469471459e-53,4.08212541986701e-51,0,0,1.83,up
FRMD8,4,-0.869,0.057,-15.38,2.27753925383019e-53,4.09071355979611e-51,15.9,0.0024,3.57,down
DIRAS2,2,3.394,0.221,15.35,3.321180252771e-53,5.92406938328753e-51,0,0,0.48,up
KLRF2,3,3.012,0.196,15.35,3.8218055350666e-53,6.77035468212073e-51,0,0,0.18,up
KIAA1211L,4,1.264,0.082,15.34,3.88498030401749e-53,6.83545106007539e-51,0,0,2.89,up
IRF7,3,-1.937,0.126,-15.33,4.6599486541181e-53,8.14357513446692e-51,0,0,1.08,down
SLC7A5,4,-1.725,0.113,-15.28,1.06995293381919e-52,1.85726595169796e-50,13.5,0.0094,3.47,down
CLUH,4,-0.587,0.038,-15.27,1.19220082017334e-52,2.05567213419755e-50,0,0,0.19,down
TSPAN9,4,0.423,0.028,15.27,1.24084569237587e-52,2.12537966805361e-50,0,0,1.42,up
SPC24,4,-1.075,0.07,-15.26,1.5093614750435e-52,2.56829770990296e-50,0,0,1.11,down
CLPX,4,-0.606,0.04,-15.24,1.93247471480492e-52,3.26676640677872e-50,0,0,2.71,down
S100A8,4,-5.89,0.387,-15.23,2.09050088953387e-52,3.51095551992883e-50,56.1,0.2977,6.84,down
TGM3,4,-1.813,0.119,-15.2,3.44093794621926e-52,5.74170445425903e-50,0,0,2.44,down
AURKB,4,-1.405,0.093,-15.17,5.86020695384735e-52,9.71592260604538e-50,0,0,2.17,down
CLN5,4,0.385,0.025,15.15,8.15120301360397e-52,1.34281983913282e-49,0,0,1.34,up
SLC26A9,4,-2.474,0.163,-15.14,8.8327580785088e-52,1.44588895533261e-49,0,0,1.57,down
SLC6A14,4,-3.175,0.21,-15.11,1.49830511581055e-51,2.43724298838517e-49,20.6,0.0372,3.78,down
RALGPS2,4,-0.699,0.046,-15.08,2.04832808602873e-51,3.31112235106545e-49,0,0,2.78,down
DEFB4A,4,-6.65,0.441,-15.06,2.83828548147793e-51,4.55959103682889e-49,5.2,0.0452,3.16,down
MGST3,4,0.629,0.042,15.06,2.90750945502148e-51,4.6419644780664e-49,0,0,0.34,up
FOXE1,4,-3.046,0.202,-15.04,3.73595927428051e-51,5.92802764846571e-49,13.8,0.0251,3.48,down
ING4,4,0.724,0.048,15.02,5.77616729874493e-51,9.10943847650847e-49,16.5,0.0022,3.59,up
RANGAP1,4,-0.595,0.04,-15,6.81728162012511e-51,1.06861922316919e-48,0,0,1.41,down
CCT2,4,-0.605,0.04,-15,7.26947570082027e-51,1.13263686461455e-48,0,0,2.38,down
AC144831.1,3,1.128,0.075,14.99,8.00491389226983e-51,1.23975504736327e-48,0,0,0.53,up
ENHO,2,2.392,0.16,14.98,1.02735673084884e-50,1.58164014801634e-48,0,0,0.89,up
HOMER1,4,-0.983,0.066,-14.97,1.13698487724073e-50,1.74005780266001e-48,7.7,0.0017,3.25,down
UBE2C,4,-1.293,0.087,-14.93,1.99962801144686e-50,3.04225758165068e-48,0,0,2.35,down
DMTN,4,1.062,0.071,14.91,2.70562326951385e-50,4.09229475103545e-48,0,0,2.24,up
GDPD3,4,-1.799,0.121,-14.91,2.97466090115676e-50,4.47305985741386e-48,0,0,0.67,down
CKAP5,4,-0.458,0.031,-14.87,5.12947367118622e-50,7.66871138910754e-48,0,0,2.26,down
USP18,4,-1.552,0.104,-14.87,5.29026586192835e-50,7.86364576166178e-48,0,0,0.59,down
MT1X,4,1.036,0.07,14.87,5.36029425756899e-50,7.92220861015796e-48,2.3,8e-04,3.07,up
SLC17A5,4,0.585,0.039,14.85,7.32805161462883e-50,1.07689049409523e-47,3.3,3e-04,3.1,up
KRT6C,4,-3.409,0.23,-14.81,1.26214475819708e-49,1.8443001144638e-47,28.7,0.0681,4.21,down
ITSN2,4,-0.742,0.05,-14.79,1.73047443720035e-49,2.51443768785111e-47,7.3,9e-04,3.24,down
CCT3,4,-0.646,0.044,-14.79,1.8244145191048e-49,2.63612609620819e-47,6.6,7e-04,3.21,down
DDX52,4,-0.622,0.042,-14.78,1.9201770775943e-49,2.75908110749439e-47,5.1,5e-04,3.16,down
S100A12,3,-5.799,0.393,-14.77,2.13544589856919e-49,3.05144600666263e-47,0,0,1.8,down
PARK2,4,1.4,0.095,14.77,2.20037156537164e-49,3.12694561355891e-47,0,0,2.88,up
IRAK2,4,-1.571,0.106,-14.76,2.48490484058315e-49,3.50908800373127e-47,4.7,0.0027,3.15,down
CHRM4,2,4.373,0.296,14.76,2.49641274623629e-49,3.50908800373127e-47,28.5,0.0545,1.4,up
C6orf106,4,-0.361,0.024,-14.76,2.56467862846537e-49,3.5855593538718e-47,0,0,2.73,down
ACP7,4,-2.933,0.199,-14.75,3.17470882336218e-49,4.41455209717416e-47,0,0,1.27,down
IPPK,4,-0.531,0.036,-14.74,3.45184750954504e-49,4.77425582817503e-47,0,0,1.32,down
RANBP10,4,-0.603,0.041,-14.72,4.9990122031432e-49,6.87736444798381e-47,0,0,2.96,down
VARS,4,-0.566,0.038,-14.71,5.25794203453587e-49,7.19531284556803e-47,0,0,1.08,down
CCNK,4,-0.51,0.035,-14.71,5.5737737718243e-49,7.5873728860244e-47,0,0,2.79,down
LINC01206,3,-4.719,0.321,-14.69,7.05620783550934e-49,9.55506594018919e-47,0,0,0.29,down
DBX2,2,3.859,0.263,14.66,1.12935416739971e-48,1.52080478295005e-46,0,0,0,up
CDC6,4,-1.377,0.094,-14.66,1.13484118121466e-48,1.52080478295005e-46,0,0,1.52,down
FBXL3,4,0.387,0.026,14.66,1.18982951884106e-48,1.58627580800542e-46,0,0,0.85,up
CHRNA9,3,-2.471,0.169,-14.65,1.33718331395098e-48,1.77358508882195e-46,0,0,0.27,down
FPR3,3,-1.07,0.073,-14.64,1.67551357542043e-48,2.21099403646295e-46,0,0,0.55,down
SERPINB11,4,-5.473,0.375,-14.6,2.62391620805815e-48,3.44492227437644e-46,55.9,0.2838,6.81,down
BHLHE41,4,1.23,0.084,14.59,3.35540659412585e-48,4.38304222982176e-46,0,0,2.69,up
CARD14,4,-1.033,0.071,-14.58,4.02844644181132e-48,5.23576576738734e-46,0,0,0.5,down
TMEM117,4,-0.727,0.05,-14.53,7.8136256321459e-48,1.01045806674911e-45,0,0,2.6,down
PRAL,4,-2.265,0.156,-14.52,8.75585901128234e-48,1.12667431576023e-45,0,0,1.27,down
TRIP13,4,-1.075,0.074,-14.51,1.09508894199777e-47,1.40214754434803e-45,0,0,2.14,down
CEMIP,4,-1.201,0.083,-14.5,1.1818187996914e-47,1.5057419426216e-45,0,0,1.27,down
CTC-518B2.12,4,-2.031,0.141,-14.43,3.44521224776438e-47,4.36798870471461e-45,0,0,0.86,down
GTPBP2,4,-0.621,0.043,-14.42,4.04745095958938e-47,5.10650105457657e-45,0,0,2.57,down
KLK8,4,-1.134,0.079,-14.41,4.37590318159569e-47,5.49409514023257e-45,0,0,2.76,down
GTPBP4,4,-0.548,0.038,-14.41,4.56060350520504e-47,5.69833087239725e-45,0,0,0.85,down
MYO1E,4,-0.564,0.039,-14.38,6.67407776310167e-47,8.29895900311835e-45,0,0,1.18,down
DTWD1,4,0.49,0.034,14.38,7.35593117397838e-47,9.10305281740558e-45,0,0,1.78,up
RP11-540D14.8,3,0.632,0.044,14.35,1.03829298584677e-46,1.27878141837813e-44,0,0,0.55,up
RP11-327F22.1,4,-1.21,0.084,-14.34,1.31333018878535e-46,1.60985649302106e-44,0,0,1.86,down
LCE3D,4,-4.154,0.29,-14.34,1.32201582199347e-46,1.61285930283204e-44,29,0.098,4.23,down
LTF,3,-4.292,0.3,-14.29,2.39512226116864e-46,2.90833061797492e-44,0,0,1.29,down
DSG2,4,0.817,0.057,14.26,4.06326103374572e-46,4.91084969050464e-44,0,0,1.02,up
RALGDS,4,0.436,0.031,14.23,5.8092881454832e-46,6.98843853929198e-44,0,0,2.49,up
CYP27A1,4,0.955,0.067,14.23,5.85202584468178e-46,7.00725909476156e-44,0,0,1.27,up
ARHGAP12,4,0.536,0.038,14.22,6.74810689352292e-46,8.04299708267635e-44,11.1,8e-04,3.37,up
DTX3L,4,-1.243,0.087,-14.21,7.81345262756222e-46,9.27005223666373e-44,19.1,0.0066,3.71,down
ABO,3,1.398,0.099,14.19,1.08599641150373e-45,1.28256672087363e-43,0,0,0.92,up
FST,4,1.298,0.092,14.18,1.30077154158066e-45,1.52923432506555e-43,0,0,0.54,up
RP1-92O14.6,4,-0.781,0.055,-14.17,1.31044232393231e-45,1.5336325912301e-43,0,0,2.96,down
AC053503.6,2,2.092,0.148,14.17,1.47855867020066e-45,1.72258745252567e-43,0,0,0,up
RHBDF2,4,-0.745,0.053,-14.16,1.7116455632109e-45,1.98520183169896e-43,0,0,2.08,down
VAC14,4,-0.421,0.03,-14.13,2.38971760488132e-45,2.75927036306476e-43,0,0,0.87,down
MCM2,4,-0.754,0.053,-14.11,3.16676087691929e-45,3.64022681425069e-43,0,0,0.96,down
PSMD12,4,-0.47,0.033,-14.11,3.51728664855606e-45,4.02526999461301e-43,0,0,2.99,down
ADCY2,4,1.506,0.107,14.09,4.15338899400137e-45,4.73230189166747e-43,0,0,1.94,up
UBA6,4,-0.855,0.061,-14.09,4.35074484486737e-45,4.935423888932e-43,0,0,2.76,down
AKR1B15,3,-4.456,0.317,-14.06,6.29767663860913e-45,7.11279950135312e-43,0,0,1.94,down
NOP2,4,-0.777,0.055,-14.06,6.64862480501906e-45,7.47652312856578e-43,0,0,0.79,down
TJP2,4,-0.671,0.048,-14.04,8.34856935808845e-45,9.3475064016277e-43,0,0,1.25,down
TNFRSF18,4,1.033,0.074,14.02,1.24426102337822e-44,1.38713651330407e-42,1.4,4e-04,3.04,up
TACC3,4,-0.981,0.07,-14.01,1.36776351504626e-44,1.51827620399814e-42,0,0,2.73,down
RNF222,4,-1.528,0.109,-14.01,1.44434533229282e-44,1.59643366130006e-42,0,0,0.42,down
AC006994.2,2,2.915,0.208,14,1.59716278638165e-44,1.75592259241302e-42,0,0,0.33,up
MIEF1,4,-0.359,0.026,-14,1.60221826403292e-44,1.75592259241302e-42,0,0,2.97,down
MYO3A,3,3.461,0.247,13.99,1.68309025100833e-44,1.83676988405399e-42,0,0,0.68,up
NSUN2,4,-0.43,0.031,-13.99,1.89210822791462e-44,2.0561969414615e-42,0,0,1.03,down
DLGAP5,4,-1.562,0.112,-13.94,3.72952546493134e-44,4.03600195083616e-42,0,0,2.54,down
CRTAP,4,0.601,0.043,13.92,4.82325851423376e-44,5.19786492550592e-42,2.7,3e-04,3.08,up
RP11-1263C18.1,2,2.617,0.188,13.91,5.21399989355285e-44,5.59563872393572e-42,0,0,0.03,up
AGPAT5,4,-0.637,0.046,-13.91,5.6448840567138e-44,6.03302815053081e-42,0,0,1.37,down
NDC80,4,-1.286,0.092,-13.9,5.90983682584086e-44,6.29020657051638e-42,0,0,2.3,down
TEX101,3,-3.805,0.274,-13.89,7.50714281063426e-44,7.95757137927231e-42,0,0,1.48,down
PITPNB,4,-0.444,0.032,-13.87,9.36729105297227e-44,9.88880064465612e-42,0,0,2.8,down
RP11-350J20.12,3,-1.698,0.122,-13.87,9.60935636143085e-44,1.01031054037418e-41,0,0,1.81,down
XAF1,4,-2.215,0.16,-13.85,1.28793147575475e-43,1.34862589833688e-41,0,0,1.51,down
RP11-91P24.6,4,1.108,0.08,13.82,1.93632182722063e-43,2.01939627980784e-41,2.5,9e-04,3.08,up
OAS2,4,-3.305,0.239,-13.81,2.32761272756519e-43,2.4177259271384e-41,21.1,0.0531,3.8,down
FBXL16,4,1.014,0.074,13.78,3.14484870529543e-43,3.25353467655044e-41,0,0,0.61,up
CCNA2,4,-1.347,0.098,-13.78,3.27497109146742e-43,3.3746554705065e-41,13.5,0.0058,3.47,down
TMEM45B,4,-1.587,0.115,-13.78,3.42522232919335e-43,3.51547421913717e-41,22.5,0.0125,3.87,down
SENP3-EIF4A1,4,-0.775,0.056,-13.75,4.83737219515492e-43,4.94520926701529e-41,31.8,0.004,4.4,down
CXCL16,4,-0.638,0.046,-13.75,5.14126517224846e-43,5.23518434704859e-41,0,0,1.75,down
KIF4A,4,-1.314,0.096,-13.74,5.74021632194201e-43,5.8221550961062e-41,0,0,1.32,down
PFKFB2,4,-0.733,0.053,-13.74,6.02780450116421e-43,6.07634666558331e-41,0,0,2.44,down
