pathway,collection,gsea_nes,gsea_padj,gsea_size,ora_padj,ora_fold,ora_k,ora_setsize,gsea_sig,ora_sig
GOBP_MIDGUT_DEVELOPMENT,GO:BP,-0.952602136801094,0.608001654088701,10,0.594213709778933,1.88271155595996,3,10,FALSE,FALSE
GOBP_MINERALOCORTICOID_BIOSYNTHETIC_PROCESS,GO:BP,-1.47547245773387,0.145090681676048,10,0.594213709778933,1.88271155595996,3,10,FALSE,FALSE
GOBP_MINERALOCORTICOID_METABOLIC_PROCESS,GO:BP,-1.448301239192,0.176589146937682,12,0.719442465053918,1.5689262966333,3,12,FALSE,FALSE
GOBP_MIRNA_CATABOLIC_PROCESS,GO:BP,1.5040363282912,0.156060533440183,12,1,0.522975432211101,1,12,FALSE,FALSE
GOBP_MIRNA_MEDIATED_GENE_SILENCING_BY_INHIBITION_OF_TRANSLATION,GO:BP,0.937241640310545,0.63325788227749,20,,,,,FALSE,FALSE
GOBP_MIRNA_MEDIATED_GENE_SILENCING_BY_MRNA_DESTABILIZATION,GO:BP,-0.704943732534672,0.879129612753878,12,,,,,FALSE,FALSE
GOBP_MIRNA_METABOLIC_PROCESS,GO:BP,0.903232752695929,0.705260932614815,96,0.906741278758732,1.0459508644222,16,96,FALSE,FALSE
GOBP_MIRNA_PROCESSING,GO:BP,1.19460090339435,0.294934658222424,42,1,0.448264656180944,3,42,FALSE,FALSE
GOBP_MIRNA_TRANSCRIPTION,GO:BP,-1.34025807484128,0.135146745779641,71,0.514476726561972,1.32585320842251,15,71,FALSE,FALSE
GOBP_MISMATCH_REPAIR,GO:BP,1.07276333117577,0.481902306322448,34,1,0.1845795643098,1,34,FALSE,FALSE
GOBP_MITOCHONDRIAL_CALCIUM_ION_HOMEOSTASIS,GO:BP,1.06185212976415,0.498790521226353,23,1,0.272856747240574,1,23,FALSE,FALSE
GOBP_MITOCHONDRIAL_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT,GO:BP,1.08781049446988,0.461982261258934,23,1,0.272856747240574,1,23,FALSE,FALSE
GOBP_MITOCHONDRIAL_DEPOLARIZATION,GO:BP,1.05340463374172,0.500362409300903,25,0.594213709778933,1.50616924476797,6,25,FALSE,FALSE
GOBP_MITOCHONDRIAL_DNA_METABOLIC_PROCESS,GO:BP,1.68472489227596,0.0420295821843906,20,1,0.313785259326661,1,20,TRUE,FALSE
GOBP_MITOCHONDRIAL_DNA_REPLICATION,GO:BP,1.5124617332373,0.144993778779921,15,1,0.418380345768881,1,15,FALSE,FALSE
GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_CYTOCHROME_C_TO_OXYGEN,GO:BP,1.48724263186667,0.111115158186422,20,1,0.627570518653321,2,20,FALSE,FALSE
GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_NADH_TO_UBIQUINONE,GO:BP,1.25939230571864,0.226249455810533,52,,,,,FALSE,FALSE
GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_UBIQUINOL_TO_CYTOCHROME_C,GO:BP,1.76084795569498,0.0389195779907078,14,1,0.448264656180944,1,14,TRUE,FALSE
GOBP_MITOCHONDRIAL_FISSION,GO:BP,1.34458747602269,0.179243323268497,39,1,0.804577588017079,5,39,FALSE,FALSE
GOBP_MITOCHONDRIAL_FRAGMENTATION_INVOLVED_IN_APOPTOTIC_PROCESS,GO:BP,-0.929779267593868,0.631135508536487,10,0.906741278758732,1.25514103730664,2,10,FALSE,FALSE
GOBP_MITOCHONDRIAL_FUSION,GO:BP,1.51095805649841,0.105087188393291,34,1,0.553738692929401,3,34,FALSE,FALSE
GOBP_MITOCHONDRIAL_GENE_EXPRESSION,GO:BP,2.62584139607317,6.75678664154836e-16,165,1,0.0380345768880801,1,165,TRUE,FALSE
GOBP_MITOCHONDRIAL_LARGE_RIBOSOMAL_SUBUNIT_ASSEMBLY,GO:BP,1.63974792419971,0.0896925277605301,15,,,,,FALSE,FALSE
GOBP_MITOCHONDRIAL_MEMBRANE_ORGANIZATION,GO:BP,1.66228254424989,0.0105635370662899,109,1,0.230301107762687,4,109,TRUE,FALSE
GOBP_MITOCHONDRIAL_OUTER_MEMBRANE_PERMEABILIZATION,GO:BP,1.38006734617589,0.157424275101295,29,1,0.216403627121835,1,29,FALSE,FALSE
GOBP_MITOCHONDRIAL_PROTEIN_PROCESSING,GO:BP,0.530110418382237,0.983183504859528,13,,,,,FALSE,FALSE
GOBP_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_ASSEMBLY,GO:BP,1.24507635273038,0.214735699113864,90,1,0.20919017288444,3,90,FALSE,FALSE
GOBP_MITOCHONDRIAL_RIBOSOME_ASSEMBLY,GO:BP,1.63805120052864,0.0583718162594025,26,,,,,FALSE,FALSE
GOBP_MITOCHONDRIAL_RNA_METABOLIC_PROCESS,GO:BP,2.06692451791459,0.000271408034529261,59,1,0.106367884517512,1,59,TRUE,FALSE
GOBP_MITOCHONDRIAL_RNA_MODIFICATION,GO:BP,1.80287108646802,0.031286329374782,16,,,,,TRUE,FALSE
GOBP_MITOCHONDRIAL_RNA_PROCESSING,GO:BP,2.01160696854795,0.00287705939187123,28,1,0.224132328090472,1,28,TRUE,FALSE
GOBP_MITOCHONDRIAL_TRANSCRIPTION,GO:BP,0.909039021100089,0.665295222375727,18,,,,,FALSE,FALSE
GOBP_MITOCHONDRIAL_TRANSLATION,GO:BP,2.71297033082901,7.11917174465706e-16,128,,,,,TRUE,FALSE
GOBP_MITOCHONDRIAL_TRANSMEMBRANE_TRANSPORT,GO:BP,1.41068235215236,0.155560634050036,22,1,0.285259326660601,1,22,FALSE,FALSE
GOBP_MITOCHONDRIAL_TRANSPORT,GO:BP,1.48276190311933,0.0588692804448041,84,1,0.448264656180944,6,84,FALSE,FALSE
