gene,k,logFC,SE,z,P,FDR,I2,tau2,Q,direction
LLNLR-285B5.1,2,-1.05,0.177,-5.92,3.18694118418538e-09,6.20051276795107e-05,0,0,0.01,down
H2AFJ,2,0.33,0.062,5.31,1.10921388073628e-07,0.00100061766766074,0,0,0.21,up
BGN,2,-0.646,0.123,-5.25,1.54289319643411e-07,0.00100061766766074,0,0,0.38,down
NFATC2,2,-0.377,0.073,-5.18,2.21467700983264e-07,0.0010772188975826,0,0,0.06,down
IFI27,2,2.057,0.403,5.11,3.29720476344951e-07,0.00128300831755347,0,0,0.04,up
OCIAD2,2,0.402,0.08,5.03,4.8212153204916e-07,0.00137309557920729,0,0,0.59,up
ZNF667-AS1,2,-0.742,0.147,-5.03,4.94020818999335e-07,0.00137309557920729,0,0,0.07,down
CXCR2,2,0.552,0.111,4.97,6.83355567841509e-07,0.00140740124645492,0,0,0,up
OTUD4P1,2,-0.291,0.059,-4.96,7.17595897124844e-07,0.00140740124645492,0,0,0.04,down
NT5C3A,2,0.447,0.09,4.95,7.35027808893557e-07,0.00140740124645492,0,0,0.57,up
SIK2,2,-0.241,0.049,-4.92,8.4823230547884e-07,0.00140740124645492,0,0,0.56,down
TMEM45A,2,0.35,0.071,4.91,9.0422876636211e-07,0.00140740124645492,0,0,0.62,up
IFI16,2,0.375,0.077,4.89,9.95714974892298e-07,0.00140740124645492,0,0,0.4,up
MEGF8,2,-0.295,0.06,-4.89,1.01272704823031e-06,0.00140740124645492,0,0,0.03,down
KMT2A,2,-0.322,0.067,-4.82,1.46988099969641e-06,0.00168197638224657,0,0,0,down
ERC1,2,-0.245,0.051,-4.81,1.50867484011426e-06,0.00168197638224657,0,0,0.64,down
ZNF221,2,-0.555,0.115,-4.81,1.51686915170975e-06,0.00168197638224657,0,0,0.02,down
PSMA3,2,0.245,0.051,4.79,1.63885909082925e-06,0.00168197638224657,0,0,0.33,up
ST6GALNAC1,2,1.256,0.262,4.79,1.64255506078766e-06,0.00168197638224657,0,0,0.01,up
ASXL2,2,-0.254,0.053,-4.77,1.86401596499427e-06,0.00181331473074643,0,0,0,down
PRRC2A,2,-0.267,0.056,-4.74,2.10230795960501e-06,0.00192992982709103,0,0,0.74,down
MYL12A,2,0.29,0.061,4.74,2.18228084888993e-06,0.00192992982709103,0,0,0.64,up
ZFAND2A,2,0.377,0.08,4.72,2.3676412563334e-06,0.00198471610708999,0,0,0.9,up
EFNA5,2,-0.26,0.055,-4.71,2.44825177683799e-06,0.00198471610708999,0,0,0.25,down
NDUFV2P1,2,0.3,0.064,4.7,2.64323212657424e-06,0.00205706897018514,0,0,0.15,up
RP11-270C12.3,2,0.384,0.082,4.68,2.9371791111701e-06,0.00219791372257406,0,0,0.56,up
BPGM,2,0.305,0.065,4.66,3.17122050810591e-06,0.00228515800761883,0,0,0.26,up
WFDC12,2,0.873,0.188,4.64,3.47152525380798e-06,0.00241221411921743,0,0,0.62,up
LINC00665,2,-0.65,0.141,-4.62,3.8745102309832e-06,0.00251872567439391,23.7,0.0139,1.31,down
KMT2D,2,-0.461,0.1,-4.62,3.88372585484259e-06,0.00251872567439391,0,0,0.95,down
IGF2R,2,-0.24,0.052,-4.58,4.68086585945807e-06,0.00293165708920501,0,0,0.68,down
PHLPP1,2,-0.218,0.048,-4.57,4.82180442303455e-06,0.00293165708920501,0,0,0.5,down
NDUFB4P12,2,0.411,0.09,4.56,5.1964797418322e-06,0.0030109325005385,0,0,0.1,up
LYST,2,-0.271,0.06,-4.55,5.41430941227947e-06,0.0030109325005385,0,0,0.71,down
PLBD1,2,0.401,0.088,4.54,5.52563750209224e-06,0.0030109325005385,0,0,0.25,up
NOTCH2,2,-0.21,0.046,-4.54,5.57121556431878e-06,0.0030109325005385,0,0,0.11,down
LRCH3,2,-0.222,0.049,-4.52,6.1173432119366e-06,0.00321673052787671,0,0,0.21,down
MED12,2,-0.261,0.058,-4.51,6.58203317333244e-06,0.00337000098474621,0,0,0.49,down
IL18,2,0.336,0.075,4.49,7.14047562370025e-06,0.00356218189063364,0,0,0.29,up
GLA,2,0.332,0.074,4.47,7.81083538781449e-06,0.00365513403819155,0,0,0.41,up
MED31,2,0.228,0.051,4.47,7.82059349278156e-06,0.00365513403819155,0,0,0.09,up
VWA8,2,-0.235,0.053,-4.47,7.8904003702737e-06,0.00365513403819155,0,0,0.39,down
NDUFA4,2,0.318,0.071,4.45,8.42020414814724e-06,0.00380984864898495,0,0,0.1,up
ZNF549,2,-0.248,0.056,-4.44,9.04804528997868e-06,0.00400088111731421,0,0,0,down
HAL,2,0.536,0.121,4.43,9.30199124126519e-06,0.00401635550464088,0,0,0.97,up
EP300,2,-0.28,0.063,-4.43,9.4959063123705e-06,0.00401635550464088,0,0,0.55,down
LRTOMT,2,0.178,0.04,4.41,1.01613667315015e-05,0.00419531138899764,0,0,0.36,up
EIF2B1,2,0.185,0.042,4.41,1.05722179074004e-05,0.00419531138899764,0,0,0.04,up
SPEN,2,-0.291,0.066,-4.4,1.07121059395761e-05,0.00419531138899764,0,0,0.12,down
C8orf59,2,0.25,0.057,4.4,1.07815362587316e-05,0.00419531138899764,0,0,0.02,up
RAB31,2,0.476,0.109,4.38,1.1825676097374e-05,0.00451137949314722,0,0,0.03,up
ZNF667,2,-0.714,0.164,-4.36,1.31659864222458e-05,0.00492610445829257,0,0,0.08,down
NDUFB4,2,0.3,0.069,4.33,1.47754765095008e-05,0.00542399379186504,0,0,0.32,up
PSMC6,2,0.199,0.046,4.33,1.52243032610699e-05,0.0054852600786551,0,0,0.02,up
ATP1B3,2,0.255,0.059,4.32,1.56568207591396e-05,0.00553852917617856,0,0,0.17,up
IGFBP5,2,-0.58,0.135,-4.3,1.67523511557973e-05,0.00571960837744498,0,0,0.76,down
POLR2A,2,-0.355,0.083,-4.3,1.68444082064745e-05,0.00571960837744498,0,0,0.12,down
RP11-547D13.1,2,-0.439,0.102,-4.3,1.70506417501958e-05,0.00571960837744498,0,0,0.11,down
EGR3,2,-0.326,0.076,-4.29,1.79657402796915e-05,0.00592443123528268,0,0,0.3,down
KIAA1671,2,-0.257,0.06,-4.28,1.87653501073703e-05,0.00608497752814995,0,0,0.31,down
EHD2,2,-0.368,0.086,-4.27,1.91339395446799e-05,0.00610278570133264,0,0,0.3,down
ITM2A,2,0.735,0.173,4.26,2.02999948640485e-05,0.0063702693560472,0,0,0,up
EP400,2,-0.349,0.082,-4.26,2.07959940162639e-05,0.00642233110445128,0,0,0,down
ZNF229,2,-0.777,0.183,-4.24,2.19028185608937e-05,0.00665845684251168,0,0,0.19,down
IFI30,2,0.442,0.105,4.2,2.66162111280118e-05,0.00789205622972175,0.8,8e-04,1.01,up
ARID1B,2,-0.231,0.055,-4.2,2.67719835095413e-05,0.00789205622972175,0,0,0.79,down
WDR61,2,0.177,0.042,4.18,2.92835087346441e-05,0.00842609774776731,0,0,0.17,up
TRRAP,2,-0.244,0.058,-4.18,2.94497659769828e-05,0.00842609774776731,0,0,0.12,down
JHDM1D-AS1,2,0.341,0.082,4.16,3.15105087340404e-05,0.00880995414825024,0,0,0.23,up
ABCA2,2,-0.299,0.072,-4.16,3.21708769176681e-05,0.00880995414825024,0,0,0.27,down
STYK1,2,0.394,0.095,4.16,3.23544465031468e-05,0.00880995414825024,0,0,0.85,up
NDUFA9,2,0.193,0.046,4.15,3.26026263709918e-05,0.00880995414825024,0,0,0.54,up
INVS,2,-0.238,0.057,-4.15,3.36395472510234e-05,0.00887350968137953,0,0,0.12,down
FIGN,2,-0.535,0.129,-4.15,3.37499854246549e-05,0.00887350968137953,0,0,0.02,down
KIAA1549L,2,-0.347,0.084,-4.14,3.45422736912032e-05,0.00896072635914733,0,0,0.1,down
PEG10,2,-0.635,0.154,-4.13,3.60410827556655e-05,0.00922503740114264,0,0,0.49,down
SNRPF,2,0.305,0.074,4.13,3.68222146590842e-05,0.00922503740114264,0,0,0.04,up
ZNF585B,2,-0.29,0.07,-4.12,3.72205376797562e-05,0.00922503740114264,0,0,0.07,down
AHNAK,2,-0.251,0.061,-4.12,3.76566604992725e-05,0.00922503740114264,0,0,0.03,down
TESMIN,2,-0.59,0.143,-4.12,3.79318972086458e-05,0.00922503740114264,0,0,0.65,down
AJAP1,2,0.85,0.207,4.11,3.87200708334822e-05,0.0092675748955048,0,0,0.64,up
SCAMP1-AS1,2,0.358,0.087,4.11,3.9483226647143e-05,0.0092675748955048,0,0,0.98,up
LMX1B,2,-0.52,0.127,-4.11,3.95358098441046e-05,0.0092675748955048,0,0,0.02,down
NUP214,2,-0.236,0.058,-4.11,4.00299348860011e-05,0.00927169539454807,0,0,0.12,down
DBI,2,0.33,0.08,4.1,4.05188102082577e-05,0.0092745173107278,0,0,0.01,up
BECN1,2,0.17,0.041,4.1,4.10097664397093e-05,0.00927774437036029,0,0,0.51,up
RP11-342D11.2,2,0.539,0.132,4.09,4.27440714692023e-05,0.00955895005177931,0,0,0.48,up
PDCD5,2,0.227,0.056,4.09,4.38194988029011e-05,0.00966274247667116,0,0,0.58,up
IFITM1,2,0.829,0.203,4.08,4.42014843967791e-05,0.00966274247667116,0,0,0.25,up
EHBP1,2,-0.275,0.068,-4.08,4.59830942145376e-05,0.00985543677370514,0,0,0.12,down
AKAP13,2,-0.218,0.053,-4.07,4.65071834520107e-05,0.00985543677370514,0,0,0.07,down
RP11-1148L6.9,2,0.318,0.078,4.07,4.67824935907409e-05,0.00985543677370514,0,0,0,up
GPATCH8,2,-0.193,0.047,-4.07,4.71210069303277e-05,0.00985543677370514,0,0,0.03,down
ARV1,2,0.244,0.06,4.07,4.76156998729587e-05,0.00985543677370514,0,0,0.19,up
RTP4,2,1.183,0.291,4.06,4.8252543700774e-05,0.00988212094991851,0,0,0.01,up
RPAP1,2,-0.233,0.058,-4.06,4.99962443337158e-05,0.00994294426087353,0,0,0.1,down
KMT2C,2,-0.261,0.064,-4.06,5.00281420954703e-05,0.00994294426087353,0,0,0.03,down
SRSF9,2,0.149,0.037,4.05,5.04644181427126e-05,0.00994294426087353,0,0,0.64,up
C14orf2,2,0.242,0.06,4.05,5.09439977082848e-05,0.00994294426087353,0,0,0.76,up
SLC52A1,2,0.568,0.14,4.05,5.11540542615648e-05,0.00994294426087353,0,0,0.02,up
TMEM131,2,-0.193,0.048,-4.05,5.16158187884574e-05,0.00994294426087353,0,0,0.04,down
C1orf131,2,0.188,0.046,4.04,5.30559062914185e-05,0.0101201540471161,0,0,0.07,up
HMBOX1,2,-0.235,0.058,-4.04,5.36673051305085e-05,0.0101373892098949,0,0,0.01,down
IDH3B,2,0.209,0.052,4.03,5.62872104259859e-05,0.0105300381350768,0,0,0.08,up
RP11-793H13.10,2,-0.296,0.074,-4.02,5.75762765367468e-05,0.0106382245681261,0,0,0.56,down
SLC2A3P2,2,-1.286,0.32,-4.02,5.79590771084171e-05,0.0106382245681261,0,0,0.19,down
FNBP1,2,-0.148,0.037,-4.01,6.01576021772172e-05,0.0109056235327767,0,0,0.49,down
PET100,2,0.296,0.074,4.01,6.05369727353969e-05,0.0109056235327767,0,0,0.14,up
SRCAP,2,-0.321,0.08,-4,6.20701887299998e-05,0.0110422848683602,0,0,0.55,down
ATP6V1G1,2,0.278,0.069,4,6.32015014053766e-05,0.0110422848683602,0,0,0.5,up
NDUFB6,2,0.299,0.075,4,6.39074186825177e-05,0.0110422848683602,0,0,0.05,up
AC007098.1,2,-0.385,0.096,-3.99,6.49315200961887e-05,0.0110422848683602,0,0,0.23,down
MANF,2,0.234,0.059,3.99,6.49651366605059e-05,0.0110422848683602,0,0,0.67,up
PSME2P2,2,0.411,0.103,3.99,6.53786569831063e-05,0.0110422848683602,0,0,0.03,up
BCL9L,2,-0.393,0.098,-3.99,6.57039384206164e-05,0.0110422848683602,3.3,0.0012,1.03,down
PDCD6,2,0.141,0.035,3.99,6.58359911970489e-05,0.0110422848683602,0,0,0.83,up
ANKRD17,2,-0.155,0.039,-3.98,6.74963853836986e-05,0.011224014307908,0,0,0.87,down
KATNAL1,2,-0.237,0.059,-3.98,6.81972463160697e-05,0.0112420800302213,0,0,0.46,down
RP11-369J21.12,2,-0.305,0.077,-3.98,6.97739596720799e-05,0.0112420800302213,0,0,0.47,down
RP11-111K18.1,2,0.249,0.063,3.98,7.00230199011121e-05,0.0112420800302213,0,0,0.73,up
PEAK1,2,-0.265,0.067,-3.97,7.07001202580208e-05,0.0112420800302213,0,0,0.89,down
RNF7,2,0.176,0.044,3.97,7.08646888194969e-05,0.0112420800302213,0,0,0.02,up
IFNGR1,2,0.253,0.064,3.97,7.17974484102562e-05,0.0112420800302213,0,0,0.29,up
RIN2,2,0.186,0.047,3.97,7.23805530405836e-05,0.0112420800302213,0,0,0.21,up
UBN2,2,-0.252,0.063,-3.97,7.24509173072771e-05,0.0112420800302213,0,0,0.15,down
SNHG14,2,-0.262,0.066,-3.97,7.28054113799282e-05,0.0112420800302213,0,0,0.45,down
LAP3P2,2,0.516,0.13,3.96,7.46709810765703e-05,0.0113692278556352,0,0,0.49,up
ADH7,2,0.945,0.239,3.96,7.47975516818105e-05,0.0113692278556352,0,0,0.7,up
NR3C2,2,-0.351,0.089,-3.95,7.71714841516708e-05,0.0115041730422624,0,0,0.82,down
SOS1,2,-0.207,0.052,-3.95,7.76631276949307e-05,0.0115041730422624,0,0,0.65,down
NDUFA4L2,2,0.472,0.12,3.95,7.89373057460044e-05,0.0115041730422624,0,0,0.46,up
RP11-467L13.7,2,0.485,0.123,3.95,7.89902882643306e-05,0.0115041730422624,0,0,0.56,up
ARID1A,2,-0.254,0.064,-3.95,7.94285360695888e-05,0.0115041730422624,0,0,0.09,down
OAS2,2,1.408,0.357,3.94,7.99639642118209e-05,0.0115041730422624,0,0,0.47,up
SOGA1,2,-0.349,0.089,-3.94,8.01883971536758e-05,0.0115041730422624,0,0,0,down
KIAA1549,2,-0.617,0.157,-3.94,8.04156832723931e-05,0.0115041730422624,0,0,0.22,down
CNTD1,2,0.223,0.057,3.94,8.22277136748135e-05,0.0116775357464027,0,0,0,up
NIPBL,2,-0.21,0.054,-3.92,8.75062156965513e-05,0.0123371082071891,0,0,0.03,down
PSMA2,2,0.243,0.062,3.92,9.00697215383079e-05,0.0125461849774635,0,0,0.62,up
MOB2,2,0.194,0.05,3.92,9.02788803888203e-05,0.0125461849774635,0,0,0.19,up
CXCR5,2,-0.368,0.094,-3.91,9.14732053793241e-05,0.0125600028416927,0,0,0,down
VAMP2,2,-0.338,0.086,-3.91,9.1669428634887e-05,0.0125600028416927,0,0,0.94,down
RBM3,2,0.268,0.069,3.91,9.40340225384013e-05,0.0126982744862253,0,0,0.37,up
CSNK2B,2,0.202,0.052,3.9,9.44262297507342e-05,0.0126982744862253,0,0,0.41,up
DMXL1,2,-0.171,0.044,-3.9,9.46366057001784e-05,0.0126982744862253,0,0,0.02,down
CCSER1,2,-0.353,0.091,-3.9,9.56652715054307e-05,0.0127483802904771,0,0,0.62,down
NF1,2,-0.199,0.051,-3.9,9.74385967313099e-05,0.0128431946644149,0,0,0.32,down
BTBD16,2,0.506,0.13,3.9,9.76969988863795e-05,0.0128431946644149,0,0,0.24,up
AKAP11,2,-0.204,0.052,-3.89,9.88095578213159e-05,0.0129022735367216,0,0,0.18,down
TSTA3,2,0.227,0.059,3.89,0.000102130742413535,0.0130546824874782,0,0,0,up
AC113404.1,2,0.2,0.052,3.89,0.000102263876591819,0.0130546824874782,0,0,0,up
EYA3,2,-0.165,0.043,-3.89,0.000102313880802208,0.0130546824874782,0,0,0,down
LAP3,2,0.299,0.077,3.88,0.000102912490197617,0.0130546824874782,0,0,0.21,up
PLAG1,2,-0.39,0.101,-3.88,0.000103331676761495,0.0130546824874782,0,0,0.19,down
ZNF8,2,-0.185,0.048,-3.87,0.000106992597547369,0.0133706843880941,0,0,0.1,down
EPSTI1,2,0.822,0.212,3.87,0.000107207378934143,0.0133706843880941,0,0,0.04,up
TMSB4X,2,0.289,0.075,3.87,0.000108598435598457,0.0133803410460129,0,0,0.15,up
CA3,2,-0.555,0.143,-3.87,0.000108660253149159,0.0133803410460129,0,0,0.2,down
TIAL1,2,-0.21,0.054,-3.85,0.000116004253088427,0.0141107939766851,0,0,0.33,down
PANDAR,2,0.503,0.131,3.85,0.000116042713624055,0.0141107939766851,0,0,0.54,up
SAMD4B,2,-0.235,0.061,-3.85,0.000119347732420584,0.014399689705239,0,0,0.58,down
CELSR2,2,-0.312,0.081,-3.85,0.000120344662084684,0.014399689705239,0,0,0.36,down
EXOSC8,2,0.162,0.042,3.84,0.00012063884775668,0.014399689705239,0,0,0.04,up
HEXB,2,0.215,0.056,3.84,0.000124235497843681,0.0147385722319919,0,0,0.11,up
ALG5,2,0.231,0.06,3.84,0.000125501595558705,0.014798539655698,0,0,0.67,up
DAD1,2,0.237,0.062,3.83,0.000128701978505954,0.0150844921313967,0,0,0.11,up
SUPT4H1,2,0.208,0.054,3.83,0.000129973712552644,0.015142326655235,0,0,0.08,up
GLTPD2,2,0.366,0.096,3.83,0.000130753485742784,0.0151424989203072,0,0,0.81,up
PLA2G2F,2,0.44,0.115,3.82,0.000131657709978788,0.0151569964813449,0,0,0.99,up
SNHG16,2,0.181,0.047,3.82,0.000133606048886812,0.0152908193361283,0,0,0.3,up
NOTCH3,2,-0.336,0.088,-3.82,0.000135960744107174,0.0154468700736699,0,0,0.36,down
HAT1,2,0.262,0.069,3.81,0.000136557445141407,0.0154468700736699,0,0,0.15,up
RAPGEF4,2,0.272,0.071,3.81,0.000139805954996171,0.0156524775437223,0,0,0.15,up
POLR2K,2,0.283,0.074,3.81,0.0001404714008704,0.0156524775437223,0,0,0.03,up
ZNHIT3,2,0.151,0.04,3.81,0.00014078862922242,0.0156524775437223,0,0,0.08,up
NCOA6,2,-0.232,0.061,-3.8,0.000142625512183024,0.0157666020740507,0,0,0.01,down
ARHGEF28,2,-0.254,0.067,-3.8,0.000143523832358416,0.0157762693918946,0,0,0,down
FOLH1,2,0.93,0.245,3.8,0.000147087218524408,0.0159666938066457,4.2,0.0296,1.04,up
IRF2BP2,2,-0.153,0.04,-3.8,0.000147276443875406,0.0159666938066457,0,0,0.15,down
ANKHD1-EIF4EBP3,2,-0.196,0.052,-3.79,0.000148216509577043,0.0159666938066457,0,0,1,down
BNC2,2,-0.329,0.087,-3.79,0.000148538835269473,0.0159666938066457,0,0,0.03,down
USF1,2,0.196,0.052,3.79,0.000150003083002196,0.0160000684165868,0,0,0.84,up
GATC,2,0.127,0.033,3.79,0.000150494064568019,0.0160000684165868,0,0,0.5,up
C10orf99,2,1.076,0.284,3.78,0.000154842901255425,0.0163616403385707,0,0,0.71,up
RAPH1,2,-0.248,0.066,-3.78,0.000155768550830915,0.0163616403385707,0,0,0.93,down
NCOR2,2,-0.303,0.08,-3.78,0.000156417819848589,0.0163616403385707,0,0,0.37,down
PTPN23,2,-0.358,0.095,-3.78,0.000158310886459074,0.016471104849988,0,0,0.16,down
CNOT4,2,-0.192,0.051,-3.77,0.000163354077112216,0.0167831833474468,0,0,0.12,down
KIAA1958,2,-0.248,0.066,-3.77,0.00016353542445263,0.0167831833474468,0,0,0.01,down
PRRC2B,2,-0.207,0.055,-3.77,0.00016389827487741,0.0167831833474468,0,0,0.02,down
CMIP,2,-0.269,0.072,-3.76,0.000167666973291915,0.0170792074993063,0,0,0.66,down
RPL39L,2,0.323,0.086,3.76,0.000171954805577484,0.0173028047598295,0,0,0.01,up
CLCA2,2,0.266,0.071,3.76,0.000171970160844334,0.0173028047598295,0,0,0.58,up
SON,2,-0.223,0.059,-3.76,0.000172530022790241,0.0173028047598295,0,0,0.08,down
TXNDC17,2,0.237,0.063,3.74,0.000181658104724076,0.0179886764809286,0,0,0.59,up
BCORL1,2,-0.433,0.116,-3.74,0.000181814697675786,0.0179886764809286,0,0,0.42,down
WRB,2,0.218,0.058,3.74,0.000182142746029139,0.0179886764809286,0,0,0.21,up
TES,2,0.18,0.048,3.74,0.000184517550563535,0.0181311791099199,0,0,0.99,up
ZCRB1,2,0.215,0.058,3.73,0.000190318592747433,0.0186072288467038,0,0,0.08,up
SRP14,2,0.221,0.059,3.73,0.000193739503490351,0.0188469788995413,0,0,0,up
COX6C,2,0.274,0.074,3.72,0.000197866676069532,0.0191527067144717,0,0,0.1,up
EIF2B5,2,0.152,0.041,3.72,0.000199527880860703,0.0192178933169596,0,0,0.19,up
STS,2,0.419,0.113,3.71,0.000203447253242546,0.0194988658083102,0,0,0.11,up
ARPC4-TTLL3,2,0.134,0.036,3.71,0.000205825171778571,0.0196300712849209,0,0,0.34,up
IRS1,2,-0.376,0.101,-3.71,0.000209337846738109,0.0198676933957886,0,0,0.82,down
CHAD,2,-0.383,0.103,-3.71,0.00021090125208405,0.0199189066045984,0,0,0.77,down
TXNDC12,2,0.171,0.046,3.7,0.000217027935136367,0.0203107680798588,0,0,0.2,up
NFAT5,2,-0.258,0.07,-3.7,0.000218574245505724,0.0203107680798588,0,0,0.21,down
RP11-449P15.2,2,-0.456,0.123,-3.7,0.000218938586331355,0.0203107680798588,0,0,0.68,down
SLC35B1,2,0.189,0.051,3.7,0.00021922601237512,0.0203107680798588,0,0,0.13,up
PRDX4,2,0.255,0.069,3.69,0.00022569390979962,0.0207370333969296,0,0,0,up
TRAPPC2L,2,0.176,0.048,3.69,0.000227016215311951,0.0207370333969296,0,0,0.07,up
SYF2,2,0.217,0.059,3.69,0.000227392425288889,0.0207370333969296,0,0,0.03,up
SURF1,2,0.224,0.061,3.69,0.000228090313884814,0.0207370333969296,0,0,0,up
DEPDC7,2,0.356,0.097,3.68,0.000230344959161874,0.0207520187949673,0,0,0.4,up
NCKAP5,2,-0.306,0.083,-3.68,0.000230388366555969,0.0207520187949673,0,0,0.98,down
SPCS1,2,0.188,0.051,3.68,0.000233001727087753,0.0208466399095889,0,0,0.42,up
PLAGL2,2,-0.26,0.071,-3.68,0.000233581799973807,0.0208466399095889,0,0,0.78,down
RIOK2,2,0.188,0.051,3.68,0.000236804364916342,0.0210052929001971,0,0,0.08,up
DNAJC8,2,0.181,0.049,3.68,0.000237518731396143,0.0210052929001971,0,0,0.04,up
HCFC1,2,-0.222,0.06,-3.67,0.000239586188402728,0.0210922573826402,0,0,0.01,down
MRPS28,2,0.209,0.057,3.67,0.000242429173807904,0.0212464054306603,0,0,0.27,up
MRPS36,2,0.243,0.066,3.67,0.000246616335607481,0.0214697696483488,0,0,0.61,up
PAIP2,2,0.194,0.053,3.67,0.000247184847925069,0.0214697696483488,0,0,0.65,up
RP11-282O18.3,2,0.244,0.067,3.66,0.00025056316945722,0.0215760076477527,0,0,0,up
VSIG8,2,0.428,0.117,3.66,0.000250625911204364,0.0215760076477527,0,0,0.78,up
MRC2,2,-0.377,0.103,-3.66,0.000255696961101314,0.0218243061384184,0,0,0.28,down
ZNF462,2,-0.239,0.065,-3.66,0.000255753587559591,0.0218243061384184,0,0,0.95,down
RP11-732A19.9,2,-0.343,0.094,-3.65,0.00025879672975937,0.0219875509790319,0,0,0.02,down
MRPL22,2,0.177,0.049,3.65,0.000263850286839937,0.0223194399163383,0,0,0.38,up
BEX2,2,0.351,0.096,3.65,0.000265206686371566,0.0223370618616675,0,0,0.01,up
PHACTR4,2,-0.206,0.056,-3.65,0.000267085069240989,0.0223494692821613,0,0,0.24,down
SKP1,2,0.174,0.048,3.64,0.00026765143620187,0.0223494692821613,0,0,0.02,up
MARK2,2,-0.18,0.05,-3.64,0.000276259915097577,0.022969713282643,0,0,0.41,down
ARID2,2,-0.161,0.044,-3.64,0.000277832159599408,0.0229914544455713,0,0,0.88,down
NCBP2-AS2,2,0.237,0.065,3.63,0.000278884829829092,0.0229914544455713,0,0,0.01,up
ARL10,2,-0.362,0.1,-3.63,0.000281585708441211,0.0231101753417173,0,0,0.57,down
HSPE1,2,0.289,0.08,3.63,0.000283731042521463,0.0231101753417173,0,0,0.18,up
ANO5,2,-0.905,0.249,-3.63,0.000283888358689886,0.0231101753417173,0,0,0.88,down
ZSCAN18,2,-0.343,0.095,-3.63,0.000286933267063081,0.0232607235165805,0,0,0.81,down
APOL3,2,0.566,0.156,3.62,0.000290447263993828,0.0234478919844976,0,0,0.52,up
SNRPEP2,2,0.295,0.081,3.62,0.000291788652950119,0.0234588431066013,0,0,0.03,up
ATP5L,2,0.226,0.062,3.62,0.00029817029967946,0.0237713618828966,0,0,0.63,up
ZNF528-AS1,2,-0.397,0.11,-3.62,0.000299203188126178,0.0237713618828966,0,0,0,down
ERH,2,0.259,0.072,3.62,0.000299823842348919,0.0237713618828966,0,0,0.34,up
ATXN2L,2,-0.323,0.089,-3.61,0.000301420753787879,0.0237713618828966,0,0,0.15,down
GLUL,2,0.314,0.087,3.61,0.000304096403261258,0.0237713618828966,0,0,0.19,up
NDUFV2,2,0.187,0.052,3.61,0.000304401676483927,0.0237713618828966,0,0,0.1,up
CCDC97,2,-0.222,0.061,-3.61,0.000304634206681495,0.0237713618828966,0,0,0.14,down
INPP5K,2,0.155,0.043,3.61,0.000307507341241307,0.0237713618828966,0,0,0.07,up
PAK1IP1,2,0.264,0.073,3.61,0.000309062688845146,0.0237713618828966,0,0,0.9,up
RP11-57H14.4,2,-0.231,0.064,-3.61,0.000309201965536088,0.0237713618828966,0,0,0.02,down
ZNF135,2,-0.321,0.089,-3.61,0.000309363354385543,0.0237713618828966,0,0,0.7,down
BRD4,2,-0.301,0.084,-3.61,0.000311220822008847,0.0237713618828966,0,0,0.18,down
KDM6B,2,-0.45,0.125,-3.61,0.000311997193425264,0.0237713618828966,0,0,0.03,down
RP11-544A12.4,2,-0.332,0.092,-3.6,0.000313373439637067,0.0237713618828966,0,0,0.71,down
CAMTA2,2,-0.259,0.072,-3.6,0.000314002878490153,0.0237713618828966,0,0,0.48,down
TRNAU1AP,2,0.173,0.048,3.6,0.000322018538289278,0.0240884091563682,0,0,0,up
SARNP,2,0.156,0.043,3.6,0.000322114000783276,0.0240884091563682,0,0,0.29,up
GHITM,2,0.213,0.059,3.6,0.000323252975871485,0.0240884091563682,0,0,0.3,up
ATP2B4,2,-0.174,0.048,-3.6,0.000323849241301275,0.0240884091563682,0,0,0.23,down
MAP9,2,-0.504,0.14,-3.6,0.000324381332183824,0.0240884091563682,0,0,0.57,down
ANAPC15,2,0.249,0.069,3.59,0.000327402568718703,0.0240942935787885,11,0.0023,1.12,up
KB-1460A1.5,2,-0.38,0.106,-3.59,0.00032785271696534,0.0240942935787885,0,0,0.52,down
SLIRP,2,0.213,0.059,3.59,0.000328186035752355,0.0240942935787885,0,0,0.99,up
PSME1,2,0.264,0.073,3.59,0.000329414170022499,0.0240942935787885,0,0,0.26,up
HERC2,2,-0.187,0.052,-3.59,0.000336534463946908,0.0244597896184914,0,0,0.26,down
COX7A2,2,0.241,0.067,3.59,0.000336925556011292,0.0244597896184914,0,0,0.43,up
TMEM254,2,-0.249,0.07,-3.58,0.000346535324707364,0.0249673103330572,0,0,0.5,down
RPP21,2,0.243,0.068,3.58,0.000346796682280344,0.0249673103330572,0,0,0.89,up
LINC00302,2,0.526,0.147,3.58,0.000349145305544612,0.0249673103330572,0,0,0.61,up
H3F3AP4,2,0.228,0.064,3.58,0.000349488299901126,0.0249673103330572,0,0,0.04,up
MT1G,2,0.634,0.177,3.57,0.000351407383541802,0.0249673103330572,0,0,0.13,up
IFI44,2,1.101,0.308,3.57,0.000351616109748031,0.0249673103330572,0,0,0.34,up
C6orf226,2,0.398,0.112,3.57,0.00036115080897753,0.025551091416243,0,0,0.37,up
FLRT2,2,-0.355,0.1,-3.56,0.000369885879082433,0.0259906109551236,0,0,0.58,down
RN7SL1,2,-0.327,0.092,-3.56,0.000370189851122884,0.0259906109551236,0,0,0.43,down
