gene,k,logFC,SE,z,P,FDR,I2,tau2,Q,direction
CTA-398F10.2,2,-3.603,0.147,-24.46,3.86932998353497e-132,4.31319740878906e-129,0,0,0.01,down
TRIM10,2,4.181,0.172,24.25,6.86883340527226e-130,7.30875096290992e-127,0,0,0,up
CRYAB,3,-1.292,0.053,-24.22,1.35652398723261e-129,1.38064652248383e-126,0,0,0.5,down
C16orf70,3,0.747,0.031,24.17,4.4461754120337e-129,4.33668834251237e-126,0,0,1.45,up
IL17A,2,5.604,0.233,24.05,8.07392573714806e-128,7.56010110323595e-125,0,0,0.67,up
LCE5A,2,-2.931,0.122,-23.94,1.31084998133424e-126,1.18021873896359e-123,0,0,0.68,down
PARK2,3,-1.427,0.06,-23.88,4.93588858193947e-126,4.27941540054152e-123,0,0,1.38,down
IL37,3,-3.141,0.134,-23.44,1.87433658241378e-121,1.56701232349015e-118,10.4,0.0079,2.23,down
HMOX1,3,1.348,0.058,23.17,8.16556653663062e-119,6.59130162262022e-116,0.3,0,2.01,up
SERPINA12,3,-2.378,0.103,-23.06,1.06743191570466e-117,8.32917123824343e-115,0,0,1.53,down
TNNT2,3,-1.828,0.08,-22.94,1.70932661773952e-116,1.29076215466659e-113,0,0,0.3,down
GZMB,2,3.948,0.174,22.63,2.44803114735841e-113,1.79081128526603e-110,0,0,0.76,up
SP110,3,0.975,0.043,22.59,5.25080313921752e-113,3.72472880866493e-110,0,0,0.44,up
RP4-724E13.2,3,-1.583,0.07,-22.57,8.76660341153308e-113,6.03580644884052e-110,11.3,0.0028,2.25,down
IL7R,3,1.984,0.088,22.55,1.26484532301115e-112,8.45964690467659e-110,0,0,1.88,up
DTX3L,3,1.487,0.066,22.4,4.19684472356364e-111,2.72899828149726e-108,25,0.0037,2.67,up
LTF,2,5.7,0.255,22.33,1.7584649074527e-110,1.1125379734746e-107,0,0,0.63,up
WDR72,2,-2.534,0.114,-22.32,2.1968794745043e-110,1.3533355689124e-107,0,0,0,down
PGLYRP4,3,1.643,0.074,22.07,5.74108663305419e-108,3.4459768459786e-105,0,0,1.7,up
GSTA3,2,-2.526,0.115,-21.97,5.62448525124195e-107,3.26067309103804e-104,0,0,0.2,down
CTD-3088G3.8,2,-2.071,0.094,-21.97,5.7109486408031e-107,3.26067309103804e-104,0,0,0.24,down
ICOS,2,2.904,0.133,21.83,1.23778340526217e-105,6.89887422232907e-103,0,0,0.16,up
GLT1D1,3,1.627,0.075,21.8,2.1885143493632e-105,1.19141703265682e-102,0,0,1.12,up
HRH3,2,4.329,0.199,21.71,1.75524730351037e-104,9.33831457451687e-102,0,0,0.13,up
LIFR-AS1,2,-1.575,0.073,-21.69,2.78853999543129e-104,1.45059850562336e-101,0,0,0.58,down
CTLA4,2,3.125,0.144,21.67,4.34391247646275e-104,2.21057928611993e-101,0,0,0.03,up
TEX101,2,4.391,0.203,21.66,5.31937107386644e-104,2.64938632910935e-101,0,0,0.27,up
TCEA3,3,-0.82,0.038,-21.35,3.84823435948793e-101,1.87673579419277e-98,0,0,1.29,down
CYP4F22,3,1.124,0.053,21.28,1.84080284593742e-100,8.79415384092836e-98,0,0,0.66,up
PRKCH,3,0.69,0.032,21.26,2.93132087410534e-100,1.37238580683864e-97,0,0,1.34,up
ATP1A2,2,-1.79,0.084,-21.22,6.67745526333069e-100,3.06495196586878e-97,0,0,0.09,down
CTD-2547L24.4,2,3.254,0.155,20.95,1.82335506394347e-97,8.20825359458704e-95,0,0,0.45,up
SLC26A9,3,2.979,0.142,20.93,3.13838358107428e-97,1.38615889149751e-94,27.5,0.018,2.76,up
IDO1,2,3.086,0.148,20.89,5.96786325071844e-97,2.58706871918645e-94,0,0,0.26,up
SCEL,3,-1.765,0.085,-20.81,3.25913357813778e-96,1.38714650782959e-93,11.5,0.0034,2.26,down
CTD-2385L22.2,2,-2.331,0.112,-20.8,4.58643811515949e-96,1.89193318841986e-93,19.7,0.005,1.25,down
FABP5P10,2,3.331,0.16,20.8,4.60678336280627e-96,1.89193318841986e-93,0,0,0.41,up
RP11-1263C18.1,2,-2.825,0.136,-20.71,2.73803136293956e-95,1.10507889956986e-92,0,0,0.95,down
IL36A,2,10.061,0.488,20.62,1.81642756890757e-94,7.20690728145041e-92,0,0,0.31,up
CAMK2B,2,-2.602,0.126,-20.62,1.98282303980821e-94,7.73598408981174e-92,0,0,0.49,down
TMPRSS6,2,-2.874,0.14,-20.58,4.19784467160138e-94,1.61094009700847e-91,0,0,0.24,down
SLC46A2,2,-2.282,0.111,-20.54,9.81117353151915e-94,3.704350987086e-91,0,0,0.04,down
PSMB8,3,0.927,0.045,20.46,5.0596397636504e-93,1.88001757503638e-90,0,0,1.98,up
SNX20,2,1.13,0.055,20.42,1.07734122506795e-92,3.94054386525245e-90,0,0,0.37,up
CARD14,3,1.265,0.062,20.32,9.03575076613914e-92,3.25412137976232e-89,7.9,0.0011,2.17,up
AC006994.2,2,-2.841,0.141,-20.19,1.28784136938958e-90,4.56773918424859e-88,0,0,0.24,down
FAM43A,3,2.002,0.099,20.13,3.79800470591471e-90,1.32697749493668e-87,23.5,0.0077,2.61,up
LYPD6B,3,-1.237,0.062,-19.98,8.80607760926267e-89,3.03149221698868e-86,0,0,0.39,down
HS3ST6,2,-2.765,0.14,-19.8,3.03028804019355e-87,1.02805815554914e-84,27.3,0.011,1.37,down
FLG2,3,-2.54,0.128,-19.8,3.11792352130987e-87,1.02966734262806e-84,0,0,1.07,down
WFDC12,3,2.304,0.116,19.8,3.1230031751289e-87,1.02966734262806e-84,0,0,0.94,up
SPINK1,2,-3.964,0.201,-19.75,7.82281625926767e-87,2.5433931362944e-84,19.3,0.0199,1.24,down
IKZF3,2,1.639,0.083,19.74,9.07055298340327e-87,2.90866540806147e-84,0,0,0.36,up
BEST2,2,-2.969,0.152,-19.53,6.53277628693699e-85,2.06656432568795e-82,0,0,0.16,down
S100A12,2,8.802,0.453,19.42,5.24611796343836e-84,1.63741833874838e-81,0,0,0.05,up
MYO1H,2,1.95,0.101,19.37,1.40824284136813e-83,4.33757324652454e-81,0,0,0.3,up
PLBD1-AS1,3,1.202,0.062,19.28,7.8786540515569e-83,2.39521315185579e-80,0,0,0.79,up
RP11-535A19.1,3,-1.244,0.065,-19.28,8.49888345157186e-83,2.55064567586982e-80,0,0,0.07,down
AC006262.4,3,-2.034,0.106,-19.25,1.28589301331805e-82,3.81031260110914e-80,0,0,0.16,down
DSG2,3,-1.116,0.058,-19.15,9.76315138396535e-82,2.85682013434056e-79,0,0,1.04,down
IL2RA,2,2.157,0.113,19.12,1.67429570540123e-81,4.83871458860955e-79,2.7,0.0011,1.03,up
TIGIT,2,2.079,0.109,19.08,3.7570133096914e-81,1.07253566544593e-78,0,0,0.58,up
