"celltype","slope_per_tier","p","padj"
"Endothelial",0.0182838677335361,1.61816573276663e-20,1.2945325862133e-19
"Melanocyte",-0.0269329695205149,2.63131809583338e-15,1.05252723833335e-14
"Fibroblast",-0.0539238235707464,4.53347740980053e-12,1.20892730928014e-11
"NK",0.0378760658667459,7.5203755510203e-12,1.50407511020406e-11
"Mast",-0.00054155021562497,1.31244334577477e-07,2.09990935323963e-07
"Muscle",0.002013862444424,1.89660436671544e-07,2.52880582228726e-07
"Keratinocyte",0.0223624165644337,0.00447280016828132,0.00511177162089294
"DC",0.000862130697746555,0.195886260198426,0.195886260198426
