"alpha","n_pos","n_neg","selected_frac","lambda"
0.05,1583,1285,0.143242433323344,5.21245680170349e-08
0.1,1558,1229,0.139196883428229,5.2124567608714e-08
0.2,1609,1336,0.147088202976726,4.74939639071913e-08
0.3,1539,1245,0.139047048246928,4.74939630804497e-08
0.4,1578,1317,0.144590949955049,4.32747294899104e-08
0.5,1609,1339,0.147238038158026,3.94303209902805e-08
