"DC","Endothelial","Fibroblast","Keratinocyte","Mast","Melanocyte","Muscle","NK","tier","sample","tord"
0.0028625129341569,0,0.0938986907684013,0.812290357762404,0.00327263909741692,0.0876757994376204,0,0,"NN","SRR8052751",0
0.0108226927601684,0,0.246883890705056,0.678939078365752,0.00234278594411769,0.0610115522249063,0,0,"NN","SRR8052752",0
0.0165817480969942,0.00077241495546432,0.194841950310645,0.695847264421429,0.00317345867144663,0.0887831635440209,0,0,"NN","SRR8052753",0
0.00626696390376466,0,0.459524115705305,0.499734868642579,0.00456765125883329,0.0299064004895175,0,0,"NN","SRR8052754",0
0,0,0.149334558719895,0.780593125162485,0.00310401150746958,0.0669683046101505,0,0,"NN","SRR8052755",0
0.00859337989059923,0,0.103082183413822,0.798641920436201,0.00206339764918465,0.0876191186101926,0,0,"NN","SRR8052756",0
0.00278069152962327,0,0.103604892364527,0.819248392697323,0.00261872794977185,0.071747295458755,0,0,"NN","SRR8052757",0
0.00406908802940051,0,0.0718698115631786,0.837469734227448,0.00271846841298399,0.0838728977669886,0,0,"NN","SRR8052758",0
0.00808114947179709,0,0.174549650011045,0.74550288510243,0.00284060257665966,0.0690257128380684,0,0,"NN","SRR8052759",0
0.00274097966077983,0,0.0713694845444331,0.825126864657302,0.00193536919708831,0.098827301940397,0,0,"NN","SRR8052760",0
0.00238721924052885,0,0.0915799187321837,0.819920578887213,0.00240803064817987,0.0837042524918942,0,0,"NN","SRR8052761",0
0.00218700088526133,0,0.0781528504598312,0.786399598816455,0.00217039083214159,0.131090159006311,0,0,"NN","SRR8052762",0
0.00804369192428998,0,0.126283501215777,0.797683685855278,0.00275690959122569,0.0652322114134292,0,0,"NN","SRR8052763",0
0.00441052195982255,0,0.0902332991472084,0.831537566799324,0.00273657187085341,0.0710820402227915,0,0,"NN","SRR8052764",0
0.00045169686482439,0,0.156387659894897,0.791598674732599,0.00363253882995374,0.0479294296777257,0,0,"NN","SRR8052765",0
0.00686860441692708,0,0.102701101278629,0.814908096620308,0.00290796730422929,0.0726142303799069,0,0,"NN","SRR8052766",0
0.00600193933275609,0,0.175898898047813,0.756560105511373,0.00300863986263216,0.0585304172454259,0,0,"NN","SRR8052767",0
0.00408579325130313,0,0.0601060903148826,0.874095519373481,0.00296800487081438,0.0587445921895193,0,0,"NN","SRR8052768",0
0,0,0.0397611950925985,0.832622174146007,0.0024078675549836,0.125208763206411,0,0,"NN","SRR8052769",0
5.63816227282842e-05,0,0.130937087562121,0.778530126926311,0.00295010471806951,0.0875262991707701,0,0,"NN","SRR8052770",0
0.00966523071622214,0,0.191686455877083,0.697203352400102,0.00330648166697762,0.0981384793396147,0,0,"NN","SRR8052771",0
0.000872582734846444,0,0.0894108733933906,0.805744853462053,0.0025530901222466,0.101418600287463,0,0,"NN","SRR8052772",0
0.0103488446316918,0,0.06704144948236,0.854036897621857,0.00365433086348762,0.0649184774006041,0,0,"NN","SRR8052773",0
0.000855510371434295,0,0.112493637936311,0.795295356860412,0.00256159299643989,0.0887939018354024,0,0,"NN","SRR8052774",0
0.00997501938387839,0,0.0893470437044393,0.808781600479243,0.00253248084949374,0.0893638555829458,0,0,"NN","SRR8052775",0
0.00521118097615227,0,0.186431557253857,0.758085794123561,0.0027135050898202,0.0475579625566089,0,0,"NN","SRR8052776",0
0.000345482604124053,0,0.0724369852678928,0.852354409990955,0.00281229390330608,0.072050828233722,0,0,"NN","SRR8052777",0
0.000629654792130426,0,0.0656034980430153,0.849773403149662,0.00340539956516386,0.0805880444500284,0,0,"NN","SRR8052778",0
0,0,0.0448187284212913,0.856966103380662,0.00281205274117933,0.0954031154568677,0,0,"NN","SRR8052779",0
0.00331161369501449,0,0.114641264084031,0.80493452464774,0.00274659894449437,0.0743659986287201,0,0,"NN","SRR8052780",0
0.0014146896779212,0,0.0580067246993178,0.841026226692441,0.00170808677413564,0.0978442721561842,0,0,"NN","SRR8052781",0
0,0,0.0423950689202638,0.869731551461707,0.0035545689488345,0.0843188106691946,0,0,"NN","SRR8052782",0
0.00103138217564797,0,0.151225302707716,0.789709148736495,0.0031715594637863,0.0548626069163547,0,0,"NN","SRR8052783",0
0,0,0.0581667333992666,0.832169134215939,0.00244199518551777,0.107222137199277,0,0,"NN","SRR8052784",0
0.000703602179497827,0,0.113008820313858,0.801551670285837,0.0025501331846564,0.0821857740361503,0,0,"NN","SRR8052785",0
0.0162943751037382,0,0.184054580627472,0.722628481163614,0.0015078126632242,0.0755147504419514,0,0,"NN","SRR8052786",0
0.00604661269667342,0,0.143116163450091,0.778847013277731,0.00216411562704819,0.0698260949484568,0,0,"NN","SRR8052787",0
0.0128460361227855,0,0.169827568149306,0.776998841768477,0.00286244418200576,0.0374651097774254,0,0,"NN","SRR8052788",0
0.00351613363159052,0.0554459339250489,0.0117147656480922,0.795371634584816,0.00124830691745474,0.0137853483852351,0.00573129939535581,0.113186577512407,"PP","SRR8052789",2
0,0,0.112193601512148,0.819739891987792,0.00302473747162697,0.065041769028433,0,0,"PN","SRR8052790",1
0.0123904156201513,0.0562807376767345,0.0178632159581997,0.745980548848759,0.00115787046294086,0.0118320256306524,0.00563747062957237,0.14885771517299,"PP","SRR8052791",2
0.0142846031912535,0,0.149691980164616,0.768960681299705,0.00212939816752994,0.0649333371768958,0,0,"PN","SRR8052792",1
0.0108978773130853,0.0391734822491336,0.0201330040317305,0.86071764981841,0.00251899583384071,0.0366855065653223,0,0.0298734841884774,"PP","SRR8052793",2
0.00219833428992213,0,0.0652284601406647,0.813541528376446,0.00143519862434626,0.117596478568621,0,0,"PN","SRR8052794",1
0.00658067044364358,0.0479175300471674,0.0214027445876965,0.778479865150777,0.00108345690470208,0.0122426258203421,0.0117624846219026,0.120530622423769,"PP","SRR8052795",2
0.00575476750158567,0,0.0532381199771739,0.857962251304216,0.00254091932700707,0.0805039418900174,0,0,"PN","SRR8052796",1
0.0100057847439691,0.0302231084801114,0,0.920611147147437,0.00201799498532366,0.0371419646431591,0,0,"PP","SRR8052797",2
0,0,0.0476208960719654,0.883268564197883,0.000691032387620314,0.0684195073425317,0,0,"PN","SRR8052798",1
0.00965486135830937,0,0.103863352046581,0.824118975112104,0.00103022831153746,0.0613325831714688,0,0,"PP","SRR8052799",2
0.0159831893089056,0,0.106880910054537,0.78736943651025,0.00259833901143304,0.0871681251148743,0,0,"PN","SRR8052800",1
0.00236679741325551,0.0423144189946156,0,0.829624862889399,0.00117864685226101,0.0133567522465576,0.00222692793175222,0.108931593672159,"PP","SRR8052801",2
0.00157415866493678,0,0.0707494734523609,0.855105590106119,0.00203237511278894,0.0705384026637946,0,0,"PN","SRR8052802",1
0,0.0387968470139902,0,0.80645083186637,0.000506917779570923,0,0.0115831984902186,0.14266220484985,"PP","SRR8052803",2
0,0,0.105273056319689,0.785763477946993,0.00166229630764329,0.107301169425675,0,0,"PN","SRR8052804",1
0.00270543523783499,0.0561213326051288,0,0.766800193236389,0.000569239989005317,0.00409191729444087,0.00658380919566831,0.163128072441533,"PP","SRR8052805",2
0.000504077587668166,0,0.00979394015379562,0.946243602961025,0.00332488387249684,0.0401334954250141,0,0,"PN","SRR8052806",1
0.00776930590967745,0.0468707876075932,0.002265247297915,0.826094592725763,0.00218030254208536,0.024916807549734,0,0.0899029563672317,"PP","SRR8052807",2
0.0123443375060678,0,0.0846124815647838,0.831864141668774,0.00306426516308367,0.0681147740972904,0,0,"PN","SRR8052808",1
0.00689638050528733,0.022411955503272,0.00439036986570325,0.934697831860377,0.00324428835795664,0.0283591739074037,0,0,"PP","SRR8052809",2
0.0118546529260363,0.0200565841807755,0.0252535529789882,0.902817302648715,0.00276506476061368,0.0372528425048711,0,0,"PN","SRR8052810",1
0.0125575763288631,0.0507667477980523,0.0240585179921932,0.776504941401734,0.00127454588309347,0.00475848684892042,0.00603576716153611,0.124043416585607,"PP","SRR8052811",2
0.00998082012171919,0,0.169073936865277,0.772460482205825,0.00335945527425568,0.0451253055329229,0,0,"PN","SRR8052812",1
0.00737853721790616,0.0440400280806728,0.0193142655359776,0.807709400764817,0.00155840398243962,0.0180338588113168,0.00865383156392841,0.0933116740429416,"PP","SRR8052813",2
0.00478609960904371,0,0.0334770529275194,0.901046422970446,0.00184120858730916,0.0588492159056819,0,0,"PN","SRR8052814",1
0.00560546055990542,0.0556078305048524,0,0.71146744295372,8.11651016681822e-05,0.00188699048046885,0.0186892866408326,0.206661823758552,"PP","SRR8052815",2
0.00622999865892985,0,0.0445584548243292,0.854657135665859,0.00198918731917648,0.0925652235317059,0,0,"PN","SRR8052816",1
