"perm","null_selected_frac","null_tier_gap"
1,0.148029765769365,0.31597209410382
2,0.131099235878739,-0.326144056716158
3,0.131099235878739,-0.326144056716158
4,0.131099235878739,-0.326144056716158
5,0.131099235878739,-0.326144056716158
6,0.131099235878739,-0.326144056716158
7,0.131099235878739,-0.326144056716158
8,0.131099235878739,-0.326144056716158
9,0.131099235878739,-0.326144056716158
10,0.131099235878739,-0.326144056716158
11,0.131099235878739,-0.326144056716158
12,0.131099235878739,-0.326144056716158
13,0.131099235878739,-0.326144056716158
14,0.131099235878739,-0.326144056716158
15,0.131099235878739,-0.326144056716158
16,0.131099235878739,-0.326144056716158
17,0.131099235878739,-0.326144056716158
18,0.131099235878739,-0.326144056716158
19,0.131099235878739,-0.326144056716158
20,0.131099235878739,-0.326144056716158
21,0.131099235878739,-0.326144056716158
22,0.131099235878739,-0.326144056716158
23,0.131099235878739,-0.326144056716158
24,0.131099235878739,-0.326144056716158
25,0.131099235878739,-0.326144056716158
26,0.131099235878739,-0.326144056716158
27,0.131099235878739,-0.326144056716158
28,0.131099235878739,-0.326144056716158
29,0.131099235878739,-0.326144056716158
30,0.131099235878739,-0.326144056716158
